id,value
languages
languages.image,
languages.text,
languages.audio,
languages.video,
languages.application,
languages.application.gzip,
languages.application.gzip.is,1
languages.application.gzip.et,1
languages.application.gzip.lt,3
languages.application.gzip.pl,1
languages.application.gzip.hu,59
languages.application.gzip.sk,180
languages.text.x-matlab,
languages.text.x-matlab.eo,3
languages.text.x-matlab.en,319
languages.text.x-matlab.is,3
languages.text.x-matlab.it,57
languages.text.x-matlab.et,211
languages.text.x-matlab.gl,6
languages.text.x-matlab.no,44
languages.text.x-matlab.lt,98
languages.text.x-matlab.ro,45
languages.text.x-matlab.ca,14
languages.text.x-matlab.pl,2
languages.text.x-matlab.fr,50
languages.text.x-matlab.hu,69
languages.text.x-matlab.fi,1
languages.text.x-matlab.sv,4
languages.text.x-matlab.sk,7
languages.application.atom+xml,
languages.application.atom+xml.en,332
languages.application.atom+xml.it,37
languages.application.atom+xml.et,162
languages.application.atom+xml.gl,5
languages.application.atom+xml.ru,1
languages.application.atom+xml.no,14
languages.application.atom+xml.lt,487
languages.application.atom+xml.ro,30
languages.application.atom+xml.pl,1
languages.application.atom+xml.fr,55
languages.application.atom+xml.de,1
languages.application.atom+xml.hu,2
languages.application.atom+xml.fa,1
languages.application.atom+xml.fi,1
languages.application.atom+xml.sv,1
languages.application.atom+xml.sk,1432
languages.application.atom+xml.sl,1
languages.image.jpeg,
languages.image.jpeg.en,14
languages.image.jpeg.is,576
languages.image.jpeg.it,17
languages.image.jpeg.et,47
languages.image.jpeg.gl,33
languages.image.jpeg.no,11
languages.image.jpeg.lt,2393
languages.image.jpeg.ro,125
languages.image.jpeg.ca,4
languages.image.jpeg.pl,950
languages.image.jpeg.fr,1
languages.image.jpeg.hu,8563
languages.image.jpeg.fi,1
languages.image.jpeg.sv,1
languages.image.jpeg.sk,49974
languages.text.html,
languages.text.x-perl,
languages.text.x-perl.en,6
languages.text.x-perl.no,2
languages.text.x-perl.ro,2
languages.audio.mpeg,
languages.audio.mpeg.en,1
languages.audio.mpeg.lt,4
languages.audio.mpeg.hu,126
languages.audio.mpeg.sk,57
languages.video.quicktime,
languages.video.quicktime.is,9
languages.video.quicktime.gl,2
languages.video.quicktime.nl,1
languages.video.quicktime.lt,18
languages.video.quicktime.ro,4
languages.video.quicktime.ca,13
languages.video.quicktime.pl,6
languages.video.quicktime.be,1
languages.video.quicktime.hu,252
languages.video.quicktime.sk,373
languages.video.quicktime.uk,2
languages.image.png,
languages.image.png.en,3
languages.image.png.is,322
languages.image.png.it,2
languages.image.png.et,302
languages.image.png.gl,21
languages.image.png.es,1
languages.image.png.lt,1898
languages.image.png.ro,29
languages.image.png.pl,329
languages.image.png.fr,1
languages.image.png.hu,9902
languages.image.png.sk,15415
languages.image.png.sl,1
languages.application.x-tika-ooxml,
languages.application.x-tika-ooxml.is,2
languages.application.x-tika-ooxml.pl,9
languages.application.x-tika-ooxml.hu,52
languages.application.x-tika-ooxml.sk,447
languages.video.mp4,
languages.video.mp4.is,14
languages.video.mp4.gl,2
languages.video.mp4.no,2
languages.video.mp4.lt,41
languages.video.mp4.ca,2
languages.video.mp4.hu,92
languages.video.mp4.sk,80
languages.image.vnd,
languages.image.vnd.microsoft,
languages.image.vnd.microsoft.icon,
languages.image.vnd.microsoft.icon.en,1
languages.image.vnd.microsoft.icon.is,119
languages.image.vnd.microsoft.icon.et,3
languages.image.vnd.microsoft.icon.gl,15
languages.image.vnd.microsoft.icon.unknown,9
languages.image.vnd.microsoft.icon.lt,134
languages.image.vnd.microsoft.icon.ca,3
languages.image.vnd.microsoft.icon.pl,57
languages.image.vnd.microsoft.icon.be,5
languages.image.vnd.microsoft.icon.fr,2
languages.image.vnd.microsoft.icon.hu,121
languages.image.vnd.microsoft.icon.sv,2
languages.image.vnd.microsoft.icon.sk,79
languages.image.vnd.microsoft.icon.uk,3
languages.application.x-sh,
languages.application.x-sh.fr,1
languages.application.java-archive,
languages.application.java-archive.sk,1
languages.image.gif,
languages.image.gif.eo,5
languages.image.gif.en,54
languages.image.gif.is,461
languages.image.gif.it,29
languages.image.gif.et,3
languages.image.gif.gl,48
languages.image.gif.no,6
languages.image.gif.lt,636
languages.image.gif.ro,2
languages.image.gif.ca,6
languages.image.gif.pl,232
languages.image.gif.be,2
languages.image.gif.fr,1
languages.image.gif.hu,17898
languages.image.gif.fi,3
languages.image.gif.da,1
languages.image.gif.sk,2638
languages.image.gif.sl,9
languages.text.plain,
languages.text.plain.lt,1
languages.text.plain.fr,3
languages.text.plain.hu,3
languages.application.octet-stream,
languages.application.octet-stream.en,18
languages.application.octet-stream.is,48
languages.application.octet-stream.et,4
languages.application.octet-stream.gl,9
languages.application.octet-stream.nl,1
