"id","score","weight","color","label"
"Stratopause",0.7258,0.5,#998195,"Stratopause"
"Biota",6.29,0.5,#986912,"Biota"
"Glacier",3.335,0.5,#867409,"Glacier"
"Marsh",5.822,0.5,#567539,"Marsh"
"Equatorial",5.532,0.5,#222837,"Equatorial"
"Sediment",6.758,0.5,#546104,"Sediment"
"Fjord",0.5967,0.5,#1004904,"Fjord"
"Austral",6.86,0.5,#230736,"Austral"
"Grassland",1.451,0.5,#428647,"Grassland"
"Aerosol",3.69,0.5,#337920,"Aerosol"
"Dune",1.7903,0.5,#186854,"Dune"
"TerrestrialEcosystem",5.4677,0.5,#525274,"TerrestrialEcosystem"
"AquaticEcosystem",3.332,0.5,#664590,"AquaticEcosystem"
