date,price
19940627,1
19940724,5
19950630,1
19981020,1
19981110,10
19990130,19
19991207,3
20000127,1
20000215,1
20000221,7
20000508,3
20000705,3
20000719,1
20000725,2
20000809,6
20001016,1
20010423,10
20010424,4
20010510,4
20010523,1
20010618,3
20010627,1
20010828,2
20010906,1
20010926,1
20011001,2
20011002,2
20011016,1
20011206,1
20020101,1
20020108,3
20020206,1
20020210,4
20020212,2
20020226,2
20020405,1
20020418,5
20020826,1
20020904,1
20020910,8
20021015,1
20021114,1
20021207,1
20030213,1
20030407,1
20030409,1
20030428,1
20030508,2
20030515,1
20030519,1
20030520,5
20030527,1
20030530,7
20030603,1
20030605,9
20030929,3
20031013,1
20031020,5
20031117,1
20031123,1
20031205,2
20031211,2
20040108,2
20040514,2
20040628,2
20040913,3
20040914,5
20040927,1
20041101,2
20050208,1
20050318,4
20050404,4
20050425,2
20050506,4
20050629,1
20050922,1
20051020,1
20051108,1
20051129,3
20060124,1
20060209,1
20060317,6
20060321,2
20060428,3
20060501,3
20060714,1
20060727,5
20061018,1
20061214,1
20070628,4
20071116,8
20080224,3
20080411,1
20080414,1
20080613,1
20081021,4
20081104,2
20081119,4
20081122,1
20081212,2
20090116,3
20090416,1
20090430,1
20090513,1
20090730,1
20090811,3
20091005,1
20091110,4
20091214,1
20100318,1
20100422,1
20100514,6
20100706,6
20100816,1
20100817,2
20101011,1
20101119,1
20101209,1
20110505,6
20110519,3
20110822,1
20110823,1
20110921,1
20110923,3
20120116,3
20120216,4
20120329,1
20120718,5
20120905,8
20120914,1
20120921,6
20121022,1
20121030,3
20121211,1
20121214,2
20130109,1
20130110,1
20130213,3
20130217,1
20130221,5
20130312,6
20130329,1
20130405,1
20130416,2
20130531,1
20130604,2
20130726,10
20130826,1
20130923,2
20131230,2
20140113,1
20140206,1
20140214,1
20140225,1
20140313,2
20140317,1
20140321,1
20140529,2
20140625,1
20140707,1
20140916,5
20140919,6
20140923,15
20140925,35
20140926,6
20140929,7
20141118,2
