CapitalName,CapitalLatitude,CapitalLongitude,CountryCode
Canada,56.130366,-106.346771,CA
Silver Spring,38.9906657,-77.026088,US
North Park,33.2223371,-96.6146978,US
Denali National Park,63.3333335,-150.5000002,US
Mount Logan,60.5670008,-140.405293,CA
Colombo,6.9270786,79.861243,LK
Amazon River,-2.1651092,-55.1155133,BR
France,46.227638,2.213749,FR
Happy Valley,45.446787,-122.5303688,US
East Antarctic,25.2150624,55.1903678,AE
NEW YORK,40.7127837,-74.0059413,US
La Jolla,32.8328112,-117.2712717,US
Southern Ocean,-70,-150,
Florida Avenue,33.73729,-116.8347095,US
Maryland,39.0457549,-76.6412712,US
East,3.9505128,13.914399,CM
Norway,60.472024,8.468946,NO
Barrow,71.2905556,-156.7886111,US
Hudson Bay,59.712097,-85.253906,
Boulder,40.0149856,-105.2705456,US
Santiago,-33.4691199,-70.641997,CL
McMurdo Sound,-77.5,165,AQ
Tarpley,29.6571703,-99.2764299,US
Arctic,76.2505778,-100.1139521,
San Diego,32.715738,-117.1610838,US
El Nino,36.2534304,-115.164759,US
Logan,41.7369803,-111.8338359,US
Tunu,40.142128,94.661967,CN
Russia,61.52401,105.318756,RU
Baffin Bay,74.6932493,-68.4928018,
NEW MEXICO,34.5199402,-105.8700901,US
Amazon,46.320207,-112.1072224,US
California,36.778261,-119.4179324,US
Massachusetts,42.4072107,-71.3824374,US
Chile,-35.675147,-71.542969,CL
Berkeley,37.8715926,-122.272747,US
New Hampshire,43.1938516,-71.5723953,US
East Antarctica,-82.8627519,-135,
Cape Bird,72.0166667,-95.25,CA
King,47.5480339,-121.9836029,US
Patagonia,31.5395378,-110.7561963,US
Sea,47.4502499,-122.3088165,US
Rocky Mountains,43.74,-110.8,US
NEW JERSEY,40.0583238,-74.4056612,US
Denmark,56.26392,9.501785,DK
CA,36.778261,-119.4179324,US
Finland,61.92411,25.748151,FI
WASHINGTON,38.9071923,-77.0368707,US
Alaska,64.2008413,-149.4936733,US
Denali,63.8257173,-149.7317834,US
United States,37.09024,-95.712891,US
NEW HAMPSHIRE,43.1938516,-71.5723953,US
Sweden,60.128161,18.643501,SE
Australia,-25.274398,133.775136,AU
Antarctic Peninsula,,,
Signature,35.0214105,-92.0288455,US
Project,51.467335,-0.1181059,GB
Belcher Islands,56.19632,-78.877357,CA
New Zealand,-40.900557,174.885971,NZ
Oak Grove,45.4167863,-122.6400934,US
Austin,30.267153,-97.7430608,US
Rio Alerce,25.8734453,-97.4730897,MX
North America,54.5259614,-105.2551187,
Lake Inari,69.0321896,27.8101203,FI
Wyoming,43.0759678,-107.2902839,US
Carson River,39.7073399,-118.6550542,US
Colorado,39.5500507,-105.7820674,US
Estonia,58.595272,25.013607,EE
Hudson Strait,61.7854499,-70.2828932,
Washington,38.9071923,-77.0368707,US
Arctic Ocean,65.2481624,-60.4620976,
Little Bear River,41.6335866,-111.8936184,US
Slope Mountain,60.0661111,-152.6477778,US
South America,-8.783195,-55.491477,
New York,40.7127837,-74.0059413,US
London,51.5073509,-0.1277583,GB
Council,44.7298876,-116.4381985,US
Sheffield,53.381129,-1.470085,GB
Earth,34.2331373,-102.4107493,US
Portland,45.5230622,-122.6764816,US
Nevada,38.8026097,-116.419389,US
Sagavanirktok River,70.2170794,-147.9610978,US
