byte	frequency
0	0.8880174
1	0.53486687
2	0.4293615
3	0.42163375
4	0.423189
5	0.39877853
6	0.40791184
7	0.40311268
8	0.43393835
9	0.39854068
10	0.40282932
11	0.38497266
12	0.40239453
13	0.3833783
14	0.37932682
15	0.39623392
16	0.4155789
17	0.39528513
18	0.3887725
19	0.37952808
20	0.39499325
21	0.40248698
22	0.37867028
23	0.38874242
24	0.40684468
25	0.38452202
26	0.37863025
27	0.40331072
28	0.3797004
29	0.3739731
30	0.3820115
31	0.39546034
32	0.41259053
33	0.3957796
34	0.3806924
35	0.37899694
36	0.38512045
37	0.37995946
38	0.37534112
39	0.38167363
40	0.38203326
41	0.36982897
42	0.39173552
43	0.38427693
44	0.3813238
45	0.38551643
46	0.3816242
47	0.3890735
48	0.40080115
49	0.38463578
50	0.3874612
51	0.38157833
52	0.37382165
53	0.37662992
54	0.40505624
55	0.39056215
56	0.3804808
57	0.3632971
58	0.368651
59	0.37659574
60	0.37998408
61	0.38145322
62	0.38323084
63	0.40505156
64	0.4479739
65	0.38904664
66	0.37849757
67	0.3717347
68	0.37903866
69	0.37219024
70	0.37488785
71	0.37713057
72	0.37793913
73	0.37664425
74	0.37440854
75	0.38301945
76	0.3812573
77	0.38293803
78	0.37081376
79	0.38982445
80	0.3769572
81	0.38072324
82	0.37088627
83	0.38108048
84	0.3885157
85	0.4114832
86	0.39158845
87	0.39198384
88	0.390164
89	0.37696284
90	0.3850164
91	0.3912218
92	0.37579066
93	0.38469905
94	0.38884676
95	0.40315482
96	0.39973813
97	0.39216086
98	0.3858089
99	0.3882626
100	0.40311572
101	0.39338988
102	0.3866842
103	0.37771425
104	0.37613037
105	0.38123274
106	0.38530612
107	0.3819572
108	0.39505944
109	0.44402528
110	0.39225435
111	0.42121065
112	0.38669625
113	0.37811098
114	0.3785866
115	0.3780839
116	0.36921903
117	0.38312516
118	0.38121274
119	0.40064415
120	0.38779154
121	0.37408483
122	0.37772188
123	0.4014904
124	0.3820666
125	0.39459148
126	0.39245808
127	0.4561597
128	0.41057104
129	0.38979337
130	0.3928971
131	0.3823839
132	0.38240063
133	0.38348255
134	0.3800119
135	0.3749129
136	0.38575956
137	0.37000045
138	0.3828135
139	0.37454477
140	0.3828108
141	0.3973705
142	0.37191802
143	0.37710857
144	0.36956483
145	0.3687349
146	0.37620056
147	0.3810754
148	0.3656676
149	0.37937915
150	0.39047724
151	0.38521606
152	0.37594038
153	0.38057768
154	0.3728553
155	0.39458546
156	0.38262826
157	0.36575285
158	0.37447238
159	0.3979163
160	0.38365644
161	0.36740437
162	0.36765638
163	0.37233832
164	0.3671899
165	0.3758479
166	0.3859868
167	0.37369376
168	0.378862
169	0.3832453
170	0.4140016
171	0.39862674
172	0.3815485
173	0.39346358
174	0.3922589
175	0.4006086
176	0.38651407
177	0.38590127
178	0.37948328
179	0.3773139
180	0.377602
181	0.38911748
182	0.42908692
183	0.41552508
184	0.37884653
185	0.3801204
186	0.39394236
187	0.4017738
188	0.38243985
189	0.40302864
190	0.39904204
191	0.44271955
192	0.3966738
193	0.39163223
194	0.38729733
195	0.38211447
196	0.37781623
197	0.38639775
198	0.4040275
199	0.3720694
200	0.36370322
201	0.37952852
202	0.36969703
203	0.3947224
204	0.37779862
205	0.38545197
206	0.36545625
207	0.3827625
208	0.37484616
209	0.35962057
210	0.37366137
211	0.37956575
212	0.37541202
213	0.3977315
214	0.38618997
215	0.3881075
216	0.38773292
217	0.38061097
218	0.37948564
219	0.44779092
220	0.3849356
221	0.39948365
222	0.39840466
223	0.43948925
224	0.39375716
225	0.3862532
226	0.38144675
227	0.39885426
228	0.37087268
229	0.3813392
230	0.37936783
231	0.37305087
232	0.36434367
233	0.3780631
234	0.38835865
235	0.40778476
236	0.37888998
237	0.39161325
238	0.39490438
239	0.42656824
240	0.4024246
241	0.4046283
242	0.38132942
243	0.38220796
244	0.3865599
245	0.40008485
246	0.39367872
247	0.41933045
248	0.42296907
249	0.39042476
250	0.40634447
251	0.42014876
252	0.43225923
253	0.42508334
254	0.45994917
255	0.61487556
