byte	frequency
0	1.0
1	0.12518813
2	0.0886774
3	0.08066432
4	0.09485448
5	0.066886894
6	0.08301514
7	0.06158162
8	0.07442213
9	0.06493566
10	0.052953493
11	0.052665956
12	0.054177474
13	0.06849233
14	0.042612072
15	0.061857365
16	0.063222
17	0.04713883
18	0.04493077
19	0.04528859
20	0.053635217
21	0.05433467
22	0.06261769
23	0.04163544
24	0.054261077
25	0.036677737
26	0.03624734
27	0.035594333
28	0.04047341
29	0.02901802
30	0.03981814
31	0.03028988
32	0.18221956
33	0.03589652
34	0.042956512
35	0.03185223
36	0.045712706
37	0.02642376
38	0.031093238
39	0.02868238
40	0.044816554
41	0.03589355
42	0.034852732
43	0.027352704
44	0.04882374
45	0.039554436
46	0.063775845
47	0.046197873
48	0.0634209
49	0.040956333
50	0.040417332
51	0.03411843
52	0.03593313
53	0.041376214
54	0.053823292
55	0.029745845
56	0.03469508
57	0.031372078
58	0.04008223
59	0.024607508
60	0.026040183
61	0.033130202
62	0.02771455
63	0.027582498
64	0.04260664
65	0.04713487
66	0.034345858
67	0.052898996
68	0.045148514
69	0.03986609
70	0.03633139
71	0.03048927
72	0.046295907
73	0.047222413
74	0.064228885
75	0.02991713
76	0.03678215
77	0.038997747
78	0.04198316
79	0.05066373
80	0.048608974
81	0.036023304
82	0.041631237
83	0.045451745
84	0.04661925
85	0.03124593
86	0.030416183
87	0.03218784
88	0.026750112
89	0.02482372
90	0.024510259
91	0.02340389
92	0.03081172
93	0.023420004
94	0.04034591
95	0.04294899
96	0.03810624
97	0.12748179
98	0.055596445
99	0.090821154
100	0.088290565
101	0.15266785
102	0.069777295
103	0.066558816
104	0.099544585
105	0.11554759
106	0.032033868
107	0.04010047
108	0.094654426
109	0.08466341
110	0.1178566
111	0.12571882
112	0.074850164
113	0.030979017
114	0.11481267
115	0.1086103
116	0.13169791
117	0.07407921
118	0.0530947
119	0.04980519
120	0.03989039
121	0.05789355
122	0.02470936
123	0.02293827
124	0.022106813
125	0.021509262
126	0.019009568
127	0.02811539
128	0.05868894
129	0.033630792
130	0.022526098
131	0.021924539
132	0.05568329
133	0.022345375
134	0.019735899
135	0.026881495
136	0.028484339
137	0.020762578
138	0.02384975
139	0.020892577
140	0.018835545
141	0.018414026
142	0.018142344
143	0.018598625
144	0.040473357
145	0.022320328
146	0.02059132
147	0.021993235
148	0.025544764
149	0.018669948
150	0.026096763
151	0.018831471
152	0.047651745
153	0.020365527
154	0.02095209
155	0.018664202
156	0.027961306
157	0.01581818
158	0.023436768
159	0.021314897
160	0.03365601
161	0.021379067
162	0.023507789
163	0.019240715
164	0.026089694
165	0.021827497
166	0.018460963
167	0.022455389
168	0.024326323
169	0.020048916
170	0.021387639
171	0.019466668
172	0.021156322
173	0.021825587
174	0.023075597
175	0.020781262
176	0.034417044
177	0.01954291
178	0.021766558
179	0.023025988
180	0.022601211
181	0.02230613
182	0.019921228
183	0.022159707
184	0.020132659
185	0.017927032
186	0.022214208
187	0.020422127
188	0.022271655
189	0.022061786
190	0.019338787
191	0.023197858
192	0.031722777
193	0.024080696
194	0.019443499
195	0.022655126
196	0.019513298
197	0.018883526
198	0.034844704
199	0.0211315
200	0.022755086
201	0.021656454
202	0.0183682
203	0.019009188
204	0.02304322
205	0.022553975
206	0.02017386
207	0.022043347
208	0.03766017
209	0.02011581
210	0.02163056
211	0.018298289
212	0.02019948
213	0.023058701
214	0.03669312
215	0.021108795
216	0.025497474
217	0.023955734
218	0.020308305
219	0.022445938
220	0.019741746
221	0.019811396
222	0.02124389
223	0.020836236
224	0.034980115
225	0.022995697
226	0.022696981
227	0.01935342
228	0.025265807
229	0.022677053
230	0.0199828
231	0.019038297
232	0.023575196
233	0.021034427
234	0.020928709
235	0.018667316
236	0.026000127
237	0.02157459
238	0.019450456
239	0.01896148
240	0.041875854
241	0.024628878
242	0.026054703
243	0.021992052
244	0.022677563
245	0.021638652
246	0.030541496
247	0.026384288
248	0.024989616
249	0.026960647
250	0.022419734
251	0.021279372
252	0.023097152
253	0.03147636
254	0.04861878
255	0.28829768
