byte	frequency
0	0.8117546
1	0.17299539
2	0.3494548
3	0.23492251
4	0.24351667
5	0.29500845
6	0.22660533
7	0.1080095
8	0.14001885
9	0.23461169
10	0.25893894
11	0.13187547
12	0.15821375
13	0.12571652
14	0.10155181
15	0.12377529
16	0.24211758
17	0.28726777
18	0.14431211
19	0.13750763
20	0.14083588
21	0.18960151
22	0.11846078
23	0.160402
24	0.1324215
25	0.11204899
26	0.11319297
27	0.14227042
28	0.10573679
29	0.105828024
30	0.10267491
31	0.11161291
32	0.26218808
33	0.15803257
34	0.14926542
35	0.121888734
36	0.20961593
37	0.11526808
38	0.11650087
39	0.112647206
40	0.14527464
41	0.14958775
42	0.11038386
43	0.103642404
44	0.12480067
45	0.1861785
46	0.15056062
47	0.16646993
48	0.13629569
49	0.14189962
50	0.16089335
51	0.13172476
52	0.12796569
53	0.1288824
54	0.13065992
55	0.14125066
56	0.10107125
57	0.115029745
58	0.123289995
59	0.1397844
60	0.11650838
61	0.14889358
62	0.16348705
63	0.2108034
64	0.2150795
65	0.19791904
66	0.1774138
67	0.15279561
68	0.14021175
69	0.16911706
70	0.2716731
71	0.16463852
72	0.14069392
73	0.12776388
74	0.15459897
75	0.11719767
76	0.12768827
77	0.10988154
78	0.17282504
79	0.1337719
80	0.14817284
81	0.14489467
82	0.14183286
83	0.17686062
84	0.18532297
85	0.12367008
86	0.1597595
87	0.13250798
88	0.12223215
89	0.12951949
90	0.13393557
91	0.10478824
92	0.12881213
93	0.11136174
94	0.14019474
95	0.14205946
96	0.13996284
97	0.19082296
98	0.1563989
99	0.17045392
100	0.18318215
101	0.19926223
102	0.15504414
103	0.16929989
104	0.1720213
105	0.18768749
106	0.1318178
107	0.13501869
108	0.1805229
109	0.17654786
110	0.18841965
111	0.15487514
112	0.14459951
113	0.119073704
114	0.16568756
115	0.22408892
116	0.19192123
117	0.16954218
118	0.13110317
119	0.15089886
120	0.15446216
121	0.18974765
122	0.11670723
123	0.10662153
124	0.17382106
125	0.1577079
126	0.11986648
127	0.121319935
128	0.18430635
129	0.1300199
130	0.1512417
131	0.13630067
132	0.14560041
133	0.12591015
134	0.13154587
135	0.10584631
136	0.28003982
137	0.102984786
138	0.12012147
139	0.12422459
140	0.11280758
141	0.11977913
142	0.118237026
143	0.095585026
144	0.1352783
145	0.1501173
146	0.14259045
147	0.11635132
148	0.12336637
149	0.13881025
150	0.122057125
151	0.11710645
152	0.12929653
153	0.13323496
154	0.10260063
155	0.11532256
156	0.10967936
157	0.23415235
158	0.16511019
159	0.22880892
160	0.19359417
161	0.14000589
162	0.14687352
163	0.121728934
164	0.14779009
165	0.13619584
166	0.10560897
167	0.13366282
168	0.1329334
169	0.14807035
170	0.12952861
171	0.15245126
172	0.11420934
173	0.12820563
174	0.12239755
175	0.098529354
176	0.14428541
177	0.12974945
178	0.13258378
179	0.12592614
180	0.115956776
181	0.13860881
182	0.1111674
183	0.1204586
184	0.19607614
185	0.10041399
186	0.14357495
187	0.12001624
188	0.11085521
189	0.13475205
190	0.13021253
191	0.15847696
192	0.22115865
193	0.14582038
194	0.122784026
195	0.102045044
196	0.20568986
197	0.14761955
198	0.11603973
199	0.14249009
200	0.12349118
201	0.14672005
202	0.13082942
203	0.13674046
204	0.11326745
205	0.105486214
206	0.14443262
207	0.17073202
208	0.13134585
209	0.104781955
210	0.119691886
211	0.12582833
212	0.192466
213	0.13966699
214	0.15490788
215	0.12264421
216	0.13589089
217	0.09152601
218	0.13807724
219	0.117605224
220	0.10685712
221	0.11724859
222	0.14828214
223	0.090496525
224	0.13037625
225	0.12300401
226	0.16129728
227	0.11300911
228	0.10412082
229	0.13361086
230	0.090705015
231	0.12230625
232	0.13326524
233	0.14907767
234	0.08999084
235	0.1544219
236	0.13782097
237	0.100646645
238	0.107865475
239	0.11955434
240	0.13126065
241	0.11795449
242	0.11233299
243	0.13311112
244	0.13553458
245	0.09562194
246	0.13905796
247	0.13380994
248	0.12718885
249	0.09663546
250	0.13602012
251	0.14782658
252	0.13932575
253	0.10383894
254	0.13060604
255	0.15551867
