byte	frequency
0	0.53828615
1	0.43562236
2	0.42534333
3	0.4245298
4	0.422466
5	0.42141387
6	0.4218204
7	0.4230791
8	0.4202326
9	0.41618755
10	0.52703476
11	0.4126581
12	0.42564014
13	0.5187302
14	0.42012998
15	0.4195348
16	0.41886634
17	0.41862732
18	0.41582125
19	0.40952343
20	0.43702486
21	0.41967562
22	0.41724926
23	0.41173726
24	0.42276996
25	0.41439617
26	0.41831383
27	0.41168573
28	0.42467043
29	0.41804492
30	0.42007738
31	0.42402524
32	0.89475024
33	0.4155285
34	0.42902666
35	0.431287
36	0.45342693
37	0.43135712
38	0.4218245
39	0.4300586
40	0.4459182
41	0.43713236
42	0.42248756
43	0.42928892
44	0.42380068
45	0.44656992
46	0.46792212
47	0.6198552
48	0.7231278
49	0.5518126
50	0.5458574
51	0.51455593
52	0.5135797
53	0.5262538
54	0.5150523
55	0.50408226
56	0.50548404
57	0.49385846
58	0.45501667
59	0.42976767
60	0.5126686
61	0.43467996
62	0.5120102
63	0.43199393
64	0.42187366
65	0.4522726
66	0.4440804
67	0.45601034
68	0.4632103
69	0.45468143
70	0.4855189
71	0.4423028
72	0.44174862
73	0.48164964
74	0.4352527
75	0.43512323
76	0.44371256
77	0.44334376
78	0.4377311
79	0.44105148
80	0.4492788
81	0.43774548
82	0.49290216
83	0.459942
84	0.46319896
85	0.43610033
86	0.4340876
87	0.44301078
88	0.43386233
89	0.42949125
90	0.43484938
91	0.44659415
92	0.42344898
93	0.44621485
94	0.42066607
95	0.42550293
96	0.42472157
97	0.5358868
98	0.49818456
99	0.5010959
100	0.5197594
101	0.64483476
102	0.45332858
103	0.4655776
104	0.46421006
105	0.5125229
106	0.48575732
107	0.43951234
108	0.48453376
109	0.49303466
110	0.552437
111	0.56759
112	0.48102394
113	0.435344
114	0.53166676
115	0.5093958
116	0.58791786
117	0.45919567
118	0.43505222
119	0.4301298
120	0.45874602
121	0.45237467
122	0.42567152
123	0.4191319
124	0.41515735
125	0.42381886
126	0.42045304
127	0.42634472
128	0.41904536
129	0.41431397
130	0.4174091
131	0.41760296
132	0.41239914
133	0.4127108
134	0.4171804
135	0.41852075
136	0.41182053
137	0.41452765
138	0.43719435
139	0.4148402
140	0.4185467
141	0.4169506
142	0.424083
143	0.42480254
144	0.41414642
145	0.41968617
146	0.45159933
147	0.41911617
148	0.4225803
149	0.4192774
150	0.42485175
151	0.4182583
152	0.41107118
153	0.4128189
154	0.41879973
155	0.4143109
156	0.41804004
157	0.4180541
158	0.4201597
159	0.4213217
160	0.41710955
161	0.4139369
162	0.42968726
163	0.41876462
164	0.42596138
165	0.42915532
166	0.4202326
167	0.42576304
168	0.41360494
169	0.41986352
170	0.41811547
171	0.42242065
172	0.41663253
173	0.42472357
174	0.42253417
175	0.42539284
176	0.41307953
177	0.4217314
178	0.41706577
179	0.4173208
180	0.42608663
181	0.426844
182	0.42278174
183	0.42113617
184	0.41875994
185	0.41704667
186	0.42014575
187	0.42196167
188	0.4126458
189	0.4196227
190	0.41774604
191	0.4240498
192	0.41398352
193	0.4189281
194	0.41366974
195	0.42188132
196	0.41552594
197	0.42091137
198	0.41979417
199	0.42995518
200	0.4154901
201	0.4164131
202	0.4142545
203	0.4182248
204	0.4108962
205	0.4148686
206	0.41525844
207	0.4216917
208	0.41359895
209	0.4167875
210	0.42554227
211	0.42833027
212	0.42036417
213	0.42102936
214	0.42237788
215	0.42576328
216	0.4182019
217	0.41762507
218	0.42579454
219	0.4253786
220	0.4163621
221	0.42039126
222	0.41661215
223	0.42153445
224	0.4161892
225	0.41982865
226	0.4215749
227	0.42638087
228	0.41782206
229	0.41590568
230	0.41529417
231	0.42318672
232	0.41113153
233	0.42381275
234	0.42303863
235	0.42196238
236	0.4182179
237	0.42436078
238	0.419298
239	0.4226427
240	0.4192378
241	0.4210744
242	0.4170873
243	0.41657692
244	0.4189114
245	0.42376205
246	0.42240405
247	0.42533198
248	0.4213976
249	0.41460633
250	0.4231506
251	0.4250627
252	0.42180353
253	0.42500037
254	0.42565766
255	0.4518955
