byte	frequency
0	0.0
1	0.0
2	0.0
3	0.0
4	0.0
5	0.0
6	0.0
7	0.0
8	0.0
9	0.3471471
10	0.41346994
11	0.0
12	0.0
13	0.028750328
14	0.0
15	0.0
16	0.0
17	0.0
18	0.0
19	0.0
20	0.0
21	0.0
22	0.0
23	0.0
24	0.0
25	0.0
26	0.0
27	0.0
28	0.0
29	0.0
30	0.0
31	0.0
32	0.8372588
33	0.09175305
34	0.3750891
35	0.098039046
36	0.0053887106
37	0.013348401
38	0.15982705
39	0.020190053
40	0.03985574
41	0.040574517
42	0.00297343
43	0.098146476
44	0.1635323
45	0.30946973
46	0.41506842
47	0.6875131
48	0.39443043
49	0.34978676
50	0.29202345
51	0.1952504
52	0.17069247
53	0.18378086
54	0.11449308
55	0.11773046
56	0.16939388
57	0.115736425
58	0.39796156
59	0.16550373
60	0.51888937
61	0.30256528
62	0.51894534
63	0.14292702
64	0.012994635
65	0.23529202
66	0.1328975
67	0.19393134
68	0.21893641
69	0.0813853
70	0.16212684
71	0.0671827
72	0.061616812
73	0.10652971
74	0.061186865
75	0.028393414
76	0.08823068
77	0.10384027
78	0.095175035
79	0.07214761
80	0.16022499
81	0.01473994
82	0.0958605
83	0.16511996
84	0.19574454
85	0.10555578
86	0.035567928
87	0.08557638
88	0.010967272
89	0.027933635
90	0.008974451
91	0.11670609
92	2.0759125E-4
93	0.11670608
94	1.1688868E-4
95	0.07609387
96	6.8914625E-5
97	0.72221184
98	0.26942268
99	0.555056
100	0.54625833
101	0.9161547
102	0.3223298
103	0.4619281
104	0.48437735
105	0.71949106
106	0.065492965
107	0.2468234
108	0.63596
109	0.49810216
110	0.7280101
111	0.74401015
112	0.52557
113	0.13264005
114	0.7092061
115	0.735676
116	0.8839392
117	0.4906396
118	0.27328604
119	0.34133273
120	0.20832787
121	0.36169004
122	0.05237204
123	9.320207E-4
124	0.0026642494
125	9.5275877E-4
126	0.0041105137
127	0.0
128	0.03608154
129	0.0017930026
130	0.0014582525
131	0.0010414724
132	0.0013889238
133	4.3606473E-4
134	5.347096E-4
135	9.849041E-4
136	0.0015307154
137	0.0010579114
138	7.18976E-4
139	7.9644157E-4
140	8.11208E-4
141	5.9014396E-4
142	2.6463528E-4
143	3.2620202E-4
144	4.827538E-4
145	4.2064124E-4
146	5.714071E-4
147	0.0069316197
148	0.0058257207
149	9.1684633E-4
150	6.3169777E-4
151	0.0011644685
152	0.0026126867
153	0.023249077
154	8.8458764E-4
155	6.8996695E-4
156	0.010010594
157	0.009562758
158	6.0911564E-4
159	6.1614095E-4
160	0.02457862
161	0.0023391014
162	0.001956313
163	9.642294E-4
164	0.0010295289
165	0.0012258947
166	0.0018255005
167	0.0012941938
168	0.0011239818
169	0.0027302122
170	0.0010088574
171	8.664733E-4
172	5.237952E-4
173	0.002313011
174	7.025964E-4
175	4.827534E-4
176	0.0013440922
177	0.0017910454
178	0.0011922319
179	0.0016243167
180	8.843412E-4
181	0.0010672791
182	9.3271915E-4
183	7.491036E-4
184	0.0039659254
185	0.0021776499
186	9.631538E-4
187	7.037853E-4
188	0.0011070777
189	5.1315344E-4
190	3.7043524E-4
191	7.0383516E-4
192	0.0
193	0.0
194	0.02513382
195	0.0069569075
196	2.8700774E-4
197	3.266554E-4
198	4.4357967E-5
199	3.2238135E-5
200	0.0
201	5.8896817E-6
202	1.0201227E-5
203	5.949742E-5
204	3.1448035E-5
205	8.329267E-6
206	5.1306386E-4
207	2.5645303E-4
208	1.6649526E-4
209	1.10410465E-5
210	3.5234436E-6
211	1.9106075E-5
212	0.0
213	6.102782E-6
214	1.02543534E-4
215	1.2380308E-4
216	2.2021311E-5
217	2.0182839E-5
218	5.8896817E-6
219	0.0
220	0.0
221	0.0
222	0.0
223	4.7023045E-6
224	0.003633783
225	1.3192979E-4
226	0.035117317
227	9.897328E-4
228	3.8024923E-4
229	5.96591E-4
230	4.678834E-4
231	4.386088E-4
232	4.3710435E-4
233	3.7660098E-4
234	1.6664884E-4
235	2.113746E-4
236	2.972093E-4
237	1.9591674E-4
238	0.0
239	4.4215296E-4
240	3.0431258E-5
241	1.1779363E-5
242	0.0
243	4.7117454E-5
244	1.0201227E-5
245	1.7669045E-5
246	6.650063E-6
247	0.0
248	0.0
249	0.0
250	2.698991E-5
251	0.0
252	1.740791E-5
253	0.0
254	0.0
255	0.0
