byte	frequency
0	4.2958578E-5
1	3.1340032E-6
2	0.0
3	3.6188353E-6
4	0.0
5	0.0
6	0.0
7	0.0
8	5.3721546E-6
9	0.2107551
10	0.37703654
11	1.2325553E-5
12	0.0
13	0.14046249
14	0.0
15	0.0
16	0.0
17	0.0
18	0.0
19	0.0
20	0.0
21	0.0
22	0.0
23	0.0
24	0.0
25	0.0
26	9.164355E-6
27	0.0
28	0.0
29	1.603172E-6
30	0.0
31	0.0
32	0.977993
33	0.09889231
34	0.53063524
35	0.07042961
36	0.02136134
37	0.05299116
38	0.097028315
39	0.121870026
40	0.11919735
41	0.119300075
42	0.028770324
43	0.047922436
44	0.14576168
45	0.32455721
46	0.30607238
47	0.51420194
48	0.20877115
49	0.20145644
50	0.18924835
51	0.14114627
52	0.12112964
53	0.119723305
54	0.11113039
55	0.106380254
56	0.10664445
57	0.114532635
58	0.1841875
59	0.14666735
60	0.45998618
61	0.39310893
62	0.46018413
63	0.081962354
64	0.026018681
65	0.14868468
66	0.09383432
67	0.15346418
68	0.12858856
69	0.1265375
70	0.10268813
71	0.09223767
72	0.08348902
73	0.13165547
74	0.05457059
75	0.0441163
76	0.10190857
77	0.11388242
78	0.11447654
79	0.101953
80	0.123476334
81	0.037665498
82	0.10612779
83	0.16421293
84	0.13521415
85	0.0858729
86	0.055851456
87	0.07696754
88	0.03750656
89	0.047747694
90	0.026339492
91	0.061040893
92	0.04895385
93	0.060976185
94	0.012509312
95	0.17642598
96	2.9316585E-4
97	0.6390357
98	0.27963385
99	0.47446638
100	0.44479033
101	0.7091539
102	0.31372887
103	0.32249424
104	0.39415023
105	0.61026406
106	0.14016366
107	0.1683201
108	0.5372387
109	0.37958604
110	0.5245535
111	0.5301723
112	0.41490462
113	0.085223004
114	0.5449961
115	0.59397584
116	0.65215725
117	0.3548169
118	0.28975534
119	0.25401282
120	0.17924568
121	0.25476554
122	0.07413841
123	0.05786138
124	0.047549646
125	0.057826348
126	0.002413686
127	0.0
128	0.01285808
129	0.0029851948
130	0.0025062347
131	0.0024040856
132	0.0016745015
133	0.0013764624
134	0.0013269298
135	0.0014560573
136	0.0016704998
137	0.0012067253
138	0.0012507011
139	0.0012968603
140	0.0016288853
141	0.0011345645
142	7.1507366E-4
143	0.0011626723
144	0.001156195
145	0.0010895563
146	0.0011919773
147	0.0029767335
148	0.0028290374
149	0.0014678079
150	0.0015794584
151	0.0016067125
152	0.0014666949
153	0.006561874
154	9.4395643E-4
155	9.846744E-4
156	0.003546004
157	0.0027880007
158	0.0011206239
159	0.0011744282
160	0.00792838
161	0.0019461089
162	0.0019880533
163	0.0011901491
164	0.0018476655
165	0.0018040694
166	0.0019992401
167	0.0025680969
168	0.0025974691
169	0.0062333522
170	0.00216098
171	0.0013051527
172	0.0015150728
173	0.0022820956
174	0.0016124749
175	0.0013848505
176	0.0023605532
177	0.0026375866
178	0.0013814736
179	0.0023322357
180	0.0018466468
181	0.0019036814
182	0.001452435
183	0.0012670117
184	0.0026555483
185	0.0021773337
186	0.0029561212
187	0.0038550252
188	0.0021389571
189	0.0016144736
190	0.0016085077
191	0.0015102301
192	2.1523751E-4
193	2.302907E-4
194	0.010752909
195	0.0078023057
196	0.0010616134
197	8.0478686E-4
198	2.4034963E-4
199	2.582106E-4
200	2.6490338E-4
201	3.0513437E-4
202	3.3092557E-4
203	2.3795315E-4
204	3.1119373E-4
205	2.5830083E-4
206	6.1044155E-4
207	3.0379908E-4
208	0.002279657
209	0.0017816506
210	3.0324707E-4
211	2.344451E-4
212	2.260807E-4
213	2.2840645E-4
214	2.0745248E-4
215	4.585815E-4
216	0.0016293173
217	0.0011477448
218	3.8309523E-4
219	4.6075246E-4
220	1.0170809E-4
221	1.3887174E-4
222	1.0196386E-4
223	1.2182041E-4
224	0.001274698
225	4.3483684E-4
226	0.011646677
227	0.0021988924
228	0.0013789046
229	0.0018166192
230	0.0021769113
231	0.0016790157
232	0.0015721219
233	0.0013391043
234	7.026349E-4
235	6.5342855E-4
236	0.0010736411
237	7.295289E-4
238	7.2116585E-5
239	9.773924E-4
240	1.9350789E-4
241	1.5062945E-4
242	1.1680873E-4
243	1.5951646E-4
244	4.3062155E-5
245	6.679916E-5
246	7.9981655E-5
247	1.505387E-4
248	1.2357488E-4
249	1.05811836E-4
250	1.3446897E-4
251	9.700788E-5
252	1.0950029E-4
253	9.11764E-5
254	5.62438E-5
255	0.0
