byte	frequency
0	0.0
1	0.0
2	0.0
3	0.0
4	0.0
5	0.0
6	0.0
7	0.0
8	0.0
9	0.58923674
10	0.4143569
11	0.0
12	0.0
13	0.03279398
14	0.0
15	0.0
16	0.0
17	0.0
18	0.0
19	0.0
20	0.0
21	0.0
22	0.0
23	0.0
24	0.0
25	0.0
26	0.0
27	0.0
28	0.0
29	0.0
30	0.0
31	0.0
32	0.6967347
33	0.022252435
34	0.33612517
35	0.06227896
36	7.602734E-4
37	0.005556973
38	0.057932336
39	0.010612912
40	0.04948555
41	0.04963058
42	0.0023771056
43	0.011697055
44	0.09133162
45	0.21017285
46	0.30589208
47	0.4895464
48	0.25355247
49	0.23157592
50	0.17825332
51	0.10969203
52	0.0896916
53	0.12684818
54	0.087383255
55	0.076575555
56	0.12468416
57	0.09486356
58	0.3722784
59	0.05963683
60	0.47149238
61	0.25075874
62	0.47152686
63	0.07215535
64	0.011198351
65	0.14014983
66	0.08374583
67	0.27322438
68	0.20545855
69	0.12638834
70	0.09267689
71	0.076098196
72	0.052324325
73	0.20310502
74	0.026216907
75	0.052903306
76	0.18539913
77	0.15503588
78	0.13176516
79	0.11679885
80	0.14105725
81	0.008048474
82	0.15373981
83	0.20321468
84	0.18597676
85	0.120863095
86	0.08341612
87	0.053264055
88	0.04603716
89	0.036032543
90	0.010892134
91	0.029991701
92	0.0017978403
93	0.029988311
94	3.750851E-4
95	0.17537247
96	7.989595E-6
97	0.60901815
98	0.22126134
99	0.4792923
100	0.52586806
101	0.74235535
102	0.2370141
103	0.47967103
104	0.33922213
105	0.59714353
106	0.037448894
107	0.13731423
108	0.44294
109	0.49159905
110	0.5408711
111	0.6058152
112	0.38608104
113	0.027316647
114	0.5852293
115	0.5356736
116	0.6770648
117	0.31458935
118	0.18639189
119	0.27464944
120	0.21752289
121	0.21310405
122	0.04122435
123	0.025897149
124	0.0017852795
125	0.02588248
126	0.0011143094
127	0.0
128	0.0028972959
129	5.398536E-4
130	3.0679902E-4
131	2.2032272E-4
132	1.7286585E-4
133	1.6732188E-4
134	6.8546084E-5
135	1.0101817E-4
136	8.92216E-4
137	2.7390814E-4
138	4.280761E-5
139	1.3016383E-4
140	1.1298763E-4
141	3.0212359E-5
142	1.1045389E-5
143	3.085496E-5
144	8.1898484E-5
145	1.2225448E-4
146	1.7484056E-4
147	0.001339411
148	3.2933423E-4
149	9.80276E-5
150	1.3294995E-4
151	3.6704878E-4
152	6.1988E-4
153	4.979111E-4
154	1.6886763E-5
155	4.7727768E-5
156	4.4869693E-4
157	4.079524E-4
158	7.283636E-5
159	1.3450507E-4
160	0.002198079
161	2.1456373E-4
162	1.5370385E-4
163	8.588894E-5
164	1.464062E-4
165	1.5388551E-4
166	2.069846E-4
167	1.582332E-4
168	1.8905195E-4
169	0.0010641599
170	8.368893E-5
171	1.4014044E-4
172	4.7460588E-5
173	7.784057E-5
174	7.327237E-5
175	0.0015615791
176	2.238825E-4
177	5.0692214E-4
178	2.3423632E-4
179	1.0878645E-4
180	1.7974325E-4
181	2.7683796E-4
182	3.161251E-4
183	7.381799E-5
184	3.1656126E-4
185	4.2735806E-5
186	5.6654713E-5
187	1.30282E-4
188	4.198115E-4
189	9.6492404E-5
190	2.1045546E-4
191	4.781442E-5
192	0.0
193	0.0
194	0.0027166763
195	0.002124763
196	6.175986E-5
197	6.1834224E-5
198	0.0
199	0.0
200	0.0
201	0.0
202	0.0
203	4.890171E-5
204	7.811943E-6
205	0.0
206	5.3165754E-4
207	3.9717104E-4
208	1.1999114E-4
209	7.2921044E-5
210	0.0
211	0.0
212	0.0
213	0.0
214	0.0
215	5.9966933E-5
216	4.5381083E-5
217	3.92872E-5
218	4.114748E-6
219	1.2134638E-5
220	0.0
221	0.0
222	0.0
223	0.0
224	0.0
225	6.7638907E-6
226	0.0030989219
227	3.3606772E-4
228	3.5058463E-5
229	5.3318676E-5
230	1.1082228E-4
231	9.2703034E-5
232	3.8103502E-5
233	1.7666702E-5
234	2.691279E-5
235	2.0410991E-5
236	2.6324951E-5
237	1.00790485E-5
238	0.0
239	1.29692335E-5
240	0.0
241	0.0
242	0.0
243	6.5352397E-6
244	1.7937937E-5
245	8.753764E-6
246	0.0
247	0.0
248	0.0
249	0.0
250	0.0
251	0.0
252	0.0
253	0.0
254	0.0
255	0.0
