byte	frequency
0	0.8962736
1	0.39041337
2	0.37987426
3	0.3528964
4	0.3998809
5	0.34557548
6	0.365216
7	0.31261998
8	0.37784073
9	0.34732804
10	0.35402182
11	0.3267289
12	0.37913138
13	0.34052652
14	0.3391308
15	0.29824984
16	0.3809636
17	0.34556893
18	0.35416427
19	0.32531714
20	0.35929555
21	0.33264697
22	0.3354545
23	0.30670676
24	0.3836517
25	0.34589043
26	0.34236988
27	0.31877127
28	0.34231332
29	0.30995035
30	0.31252837
31	0.2819821
32	0.40939718
33	0.34847566
34	0.36095536
35	0.3366489
36	0.3704661
37	0.3373831
38	0.3441049
39	0.30199075
40	0.36671102
41	0.34542137
42	0.3511828
43	0.3165373
44	0.3520716
45	0.3263212
46	0.3319833
47	0.29313645
48	0.39517635
49	0.35619193
50	0.35689965
51	0.341761
52	0.35557792
53	0.329503
54	0.31515205
55	0.29831252
56	0.3487767
57	0.32798937
58	0.32147688
59	0.29687092
60	0.31817636
61	0.30405888
62	0.28838396
63	0.28748968
64	0.38076603
65	0.35043
66	0.34822085
67	0.33673877
68	0.356372
69	0.3406832
70	0.3410427
71	0.31341723
72	0.36191997
73	0.35233012
74	0.3490427
75	0.33103827
76	0.36580712
77	0.34402335
78	0.31715575
79	0.30069873
80	0.35985193
81	0.3417276
82	0.35526907
83	0.33427888
84	0.34986907
85	0.38809884
86	0.3304527
87	0.30422047
88	0.3441958
89	0.33588234
90	0.33375418
91	0.31670508
92	0.3199548
93	0.31318143
94	0.2945282
95	0.29411802
96	0.3843573
97	0.35621652
98	0.35066003
99	0.33863243
100	0.34902218
101	0.34998327
102	0.34507206
103	0.3209856
104	0.33984238
105	0.34827733
106	0.34072804
107	0.32413313
108	0.31903574
109	0.3324161
110	0.31831807
111	0.29818273
112	0.33779022
113	0.3199961
114	0.3391515
115	0.31881237
116	0.32157612
117	0.31611055
118	0.3073435
119	0.29627687
120	0.30315787
121	0.30452594
122	0.30605322
123	0.2940674
124	0.27747
125	0.28871563
126	0.27668506
127	0.3143903
128	0.41347557
129	0.34424877
130	0.3458092
131	0.32363203
132	0.34289542
133	0.32871264
134	0.34037918
135	0.31869945
136	0.35324442
137	0.34293753
138	0.34080708
139	0.3188168
140	0.35269877
141	0.33290148
142	0.31738266
143	0.29766458
144	0.34747148
145	0.34196424
146	0.3757442
147	0.3206725
148	0.34334928
149	0.33461657
150	0.33246145
151	0.3128986
152	0.35166967
153	0.35212225
154	0.3349328
155	0.3095636
156	0.31448248
157	0.31310037
158	0.29620653
159	0.2950274
160	0.34758916
161	0.33641958
162	0.3357959
163	0.32103002
164	0.3434761
165	0.3374884
166	0.3404247
167	0.31304055
168	0.33695525
169	0.34604898
170	0.36561581
171	0.32168233
172	0.32940263
173	0.3343717
174	0.3032925
175	0.29396534
176	0.3186702
177	0.32853964
178	0.3271013
179	0.3184925
180	0.31788683
181	0.32887945
182	0.31575793
183	0.30666226
184	0.30826315
185	0.32689318
186	0.31054932
187	0.30678982
188	0.28901955
189	0.30485705
190	0.28010562
191	0.3057624
192	0.37408516
193	0.32321095
194	0.32563677
195	0.33177054
196	0.3550729
197	0.31901625
198	0.32863563
199	0.30472937
200	0.3317086
201	0.32595986
202	0.33224234
203	0.3257605
204	0.34438044
205	0.31905547
206	0.31298465
207	0.29701912
208	0.31915492
209	0.31487408
210	0.3241385
211	0.3221545
212	0.3303857
213	0.32207435
214	0.32333425
215	0.2994095
216	0.3011107
217	0.30948484
218	0.31115854
219	0.3090947
220	0.30282286
221	0.30484143
222	0.28991202
223	0.29378778
224	0.2980821
225	0.30634108
226	0.30463564
227	0.30735967
228	0.30754906
229	0.3174188
230	0.31957212
231	0.3017822
232	0.30618924
233	0.3224575
234	0.32010332
235	0.31184462
236	0.30010065
237	0.311972
238	0.29767317
239	0.29304808
240	0.29451343
241	0.29285794
242	0.29584846
243	0.32447478
244	0.30080566
245	0.3119695
246	0.29251134
247	0.295677
248	0.27071127
249	0.293276
250	0.31391415
251	0.3726489
252	0.2815538
253	0.3118311
254	0.31638432
255	0.6559616
