byte	frequency
0	0.95799446
1	0.43847328
2	0.4480362
3	0.34038112
4	0.40968603
5	0.3399075
6	0.330236
7	0.32190043
8	0.35821277
9	0.32415166
10	0.35371578
11	0.30988556
12	0.32224342
13	0.30411866
14	0.3051729
15	0.29174393
16	0.34889415
17	0.30332637
18	0.30353242
19	0.28602833
20	0.31220132
21	0.28147155
22	0.2880167
23	0.27343607
24	0.31413096
25	0.2870629
26	0.29244897
27	0.26936814
28	0.2976115
29	0.2722832
30	0.27407366
31	0.25617465
32	0.35165137
33	0.35801232
34	0.3045743
35	0.28063688
36	0.29661912
37	0.2772101
38	0.28209522
39	0.2691046
40	0.3110187
41	0.28208864
42	0.28519526
43	0.27094275
44	0.3551091
45	0.27045947
46	0.27691552
47	0.25355312
48	0.3268561
49	0.28972995
50	0.28129214
51	0.2854479
52	0.28444642
53	0.2683889
54	0.27378988
55	0.26173723
56	0.35965237
57	0.33559301
58	0.28187576
59	0.32062018
60	0.27858028
61	0.25733083
62	0.25703868
63	0.23632106
64	0.34567782
65	0.30814368
66	0.30300605
67	0.28673372
68	0.31025672
69	0.2827231
70	0.3458558
71	0.3307894
72	0.3149517
73	0.34779772
74	0.29104623
75	0.26703882
76	0.28867048
77	0.2689738
78	0.2676415
79	0.24552299
80	0.3207125
81	0.2749972
82	0.28081107
83	0.26694882
84	0.28325695
85	0.26662466
86	0.2675222
87	0.2555978
88	0.29456887
89	0.26839557
90	0.27671978
91	0.25488743
92	0.2778423
93	0.25910053
94	0.2566668
95	0.2344156
96	0.32849732
97	0.3516247
98	0.28301275
99	0.27584854
100	0.29701695
101	0.27850282
102	0.29764044
103	0.25696468
104	0.30274877
105	0.2840341
106	0.27651465
107	0.26500797
108	0.28456485
109	0.27004626
110	0.26685148
111	0.24633932
112	0.32416603
113	0.268733
114	0.27777195
115	0.2670578
116	0.28737387
117	0.26001105
118	0.26479387
119	0.25111255
120	0.29693273
121	0.26242387
122	0.26700404
123	0.25326934
124	0.27053094
125	0.24610804
126	0.24389455
127	0.22954914
128	0.36295834
129	0.31848755
130	0.31387603
131	0.30258963
132	0.3161487
133	0.29598805
134	0.29649165
135	0.28530118
136	0.31406796
137	0.28847024
138	0.29086497
139	0.28171802
140	0.30094787
141	0.2785646
142	0.28105882
143	0.26823413
144	0.32099164
145	0.3147047
146	0.28254312
147	0.27265537
148	0.31674153
149	0.27037817
150	0.27823874
151	0.26711258
152	0.29801098
153	0.29744384
154	0.27708912
155	0.26551676
156	0.28827965
157	0.26453418
158	0.26842692
159	0.24806368
160	0.33325315
161	0.2893733
162	0.2860641
163	0.27749076
164	0.2891303
165	0.27313694
166	0.27794978
167	0.26294318
168	0.2948558
169	0.27570245
170	0.28590268
171	0.2660359
172	0.27956927
173	0.2696139
174	0.2683953
175	0.24545744
176	0.31486693
177	0.27321914
178	0.2758723
179	0.2717874
180	0.28022364
181	0.26357797
182	0.26750323
183	0.25367746
184	0.28688556
185	0.26245904
186	0.26621693
187	0.25608608
188	0.26886508
189	0.25416425
190	0.25133556
191	0.22731563
192	0.3414905
193	0.29925337
194	0.29014057
195	0.27702546
196	0.2913808
197	0.27432668
198	0.27845436
199	0.26793993
200	0.3020664
201	0.27774093
202	0.27792078
203	0.2710221
204	0.29611564
205	0.26641244
206	0.2623632
207	0.24767478
208	0.3078574
209	0.2671981
210	0.26498118
211	0.2535084
212	0.2722211
213	0.25644916
214	0.26265857
215	0.24915291
216	0.28247648
217	0.25851694
218	0.25992846
219	0.24860129
220	0.26901877
221	0.24870361
222	0.25128162
223	0.23235469
224	0.31706285
225	0.27309665
226	0.26832697
227	0.2566445
228	0.26834702
229	0.2532478
230	0.261411
231	0.24908699
232	0.27988294
233	0.25488862
234	0.25697145
235	0.2527138
236	0.26228598
237	0.24580123
238	0.2416874
239	0.23390599
240	0.2945546
241	0.2540808
242	0.2499409
243	0.24021061
244	0.25284666
245	0.2384331
246	0.24209742
247	0.23524272
248	0.26573843
249	0.2971036
250	0.23819199
251	0.2256812
252	0.24093308
253	0.2193852
254	0.2526106
255	0.51015264
