byte	frequency
0	0.9480931
1	0.5902596
2	0.46738583
3	0.5007123
4	0.46274984
5	0.43961087
6	0.4240307
7	0.4515417
8	0.42371067
9	0.41734806
10	0.4352707
11	0.40076506
12	0.45342636
13	0.40467095
14	0.41141465
15	0.41293436
16	0.3990734
17	0.45218158
18	0.41496858
19	0.3972023
20	0.46025875
21	0.43830878
22	0.4037884
23	0.38678023
24	0.4227851
25	0.4170305
26	0.4228677
27	0.4137259
28	0.43820736
29	0.4189955
30	0.42778862
31	0.45477155
32	0.59818596
33	0.3913734
34	0.43391404
35	0.44966358
36	0.45722333
37	0.40816107
38	0.39190668
39	0.42030954
40	0.43307227
41	0.42004457
42	0.4351749
43	0.4297059
44	0.41572127
45	0.43263376
46	0.43243295
47	0.40752554
48	0.40610683
49	0.4573759
50	0.4910763
51	0.4166901
52	0.4425833
53	0.44477445
54	0.4325183
55	0.41744715
56	0.4384756
57	0.43877023
58	0.4487251
59	0.40999252
60	0.4421923
61	0.43679896
62	0.4292558
63	0.43727905
64	0.40138024
65	0.42261082
66	0.40151373
67	0.41511637
68	0.39299592
69	0.4462433
70	0.45035756
71	0.4381335
72	0.4326334
73	0.47347367
74	0.43570647
75	0.4204233
76	0.37771899
77	0.43358728
78	0.41325718
79	0.43892008
80	0.4092658
81	0.43871304
82	0.45531613
83	0.4269026
84	0.43157777
85	0.44273365
86	0.44053546
87	0.43499494
88	0.4135083
89	0.4162625
90	0.44596893
91	0.43582112
92	0.4209319
93	0.41283074
94	0.40318212
95	0.3964813
96	0.36620647
97	0.42122194
98	0.41516382
99	0.47260332
100	0.45091102
101	0.47056925
102	0.41668835
103	0.42191428
104	0.4199441
105	0.485767
106	0.43595445
107	0.45549396
108	0.4154578
109	0.4791517
110	0.4661755
111	0.4567253
112	0.42972386
113	0.45702776
114	0.45885983
115	0.4640336
116	0.45257568
117	0.45231363
118	0.4301316
119	0.4224149
120	0.44096622
121	0.42777553
122	0.4184853
123	0.41684076
124	0.39362416
125	0.4129876
126	0.40113863
127	0.42529568
128	0.3955953
129	0.38844234
130	0.39793256
131	0.38648027
132	0.37124038
133	0.3980304
134	0.4054799
135	0.39095235
136	0.38874063
137	0.39768168
138	0.45186418
139	0.38683397
140	0.425364
141	0.42499694
142	0.44280905
143	0.43212926
144	0.39840987
145	0.43944103
146	0.45692894
147	0.41936806
148	0.40296757
149	0.44088566
150	0.43823847
151	0.41084003
152	0.3814941
153	0.39627457
154	0.43710423
155	0.39539647
156	0.40244815
157	0.401405
158	0.42564803
159	0.4190226
160	0.3939537
161	0.39709306
162	0.41482687
163	0.42014676
164	0.4311067
165	0.4477431
166	0.42057383
167	0.44599068
168	0.42326054
169	0.44226143
170	0.4270151
171	0.43165448
172	0.4079633
173	0.45422912
174	0.4318387
175	0.42483512
176	0.369939
177	0.42706904
178	0.41432643
179	0.4045195
180	0.4362712
181	0.46295503
182	0.4441701
183	0.4551456
184	0.43093234
185	0.4332169
186	0.42264733
187	0.41485363
188	0.40085706
189	0.40926835
190	0.39170665
191	0.40314627
192	0.3841803
193	0.3881123
194	0.3859296
195	0.40966922
196	0.43119404
197	0.41967246
198	0.43604553
199	0.4575462
200	0.4110992
201	0.41873795
202	0.41450813
203	0.41750175
204	0.38961688
205	0.4086213
206	0.39507046
207	0.41341677
208	0.3793188
209	0.40300265
210	0.44216207
211	0.4463416
212	0.44661638
213	0.42417744
214	0.43865308
215	0.43677562
216	0.3988469
217	0.40817964
218	0.46035397
219	0.4582109
220	0.43249816
221	0.41772625
222	0.40650538
223	0.39638624
224	0.3940549
225	0.41663784
226	0.43594182
227	0.4499693
228	0.42184615
229	0.42287046
230	0.41494864
231	0.4159565
232	0.37854436
233	0.43479842
234	0.4340186
235	0.4135325
236	0.39439538
237	0.44285968
238	0.42189026
239	0.38996202
240	0.4066357
241	0.43592405
242	0.42028645
243	0.40211225
244	0.41116354
245	0.42166623
246	0.4270875
247	0.40987304
248	0.41741973
249	0.4035644
250	0.41511536
251	0.40881786
252	0.4180331
253	0.406268
254	0.4257683
255	0.505295
