byte	frequency
0	0.91445124
1	0.57579106
2	0.5717831
3	0.55670667
4	0.5736773
5	0.54449916
6	0.5592779
7	0.55046207
8	0.6016664
9	0.54686415
10	0.5794265
11	0.54785734
12	0.55871785
13	0.56910574
14	0.54932916
15	0.5495238
16	0.5884231
17	0.5473329
18	0.5491531
19	0.5366618
20	0.5542648
21	0.5364673
22	0.5484621
23	0.54503316
24	0.5702993
25	0.5451458
26	0.56008184
27	0.54627967
28	0.55703455
29	0.54068583
30	0.543695
31	0.5523403
32	0.65142626
33	0.5510372
34	0.5958773
35	0.5380925
36	0.5604879
37	0.53914654
38	0.5443643
39	0.53993964
40	0.55693156
41	0.5412943
42	0.5434583
43	0.5371789
44	0.567878
45	0.5601885
46	0.57894135
47	0.59017605
48	0.61241245
49	0.599768
50	0.5802759
51	0.5706018
52	0.57732266
53	0.5583304
54	0.5716502
55	0.56612974
56	0.5742228
57	0.5704065
58	0.6109024
59	0.5486251
60	0.5844515
61	0.57129246
62	0.5738487
63	0.5686413
64	0.55899256
65	0.5874671
66	0.59327286
67	0.5590454
68	0.62568843
69	0.59565175
70	0.5640015
71	0.56302035
72	0.5800618
73	0.6103256
74	0.5523675
75	0.54291326
76	0.55261743
77	0.5706575
78	0.580829
79	0.5469618
80	0.56434
81	0.54446405
82	0.59298587
83	0.55014
84	0.5832024
85	0.5477555
86	0.5460896
87	0.54730815
88	0.5846038
89	0.55328906
90	0.5516456
91	0.5414668
92	0.55029225
93	0.5490231
94	0.5519179
95	0.5480528
96	0.572828
97	0.60923463
98	0.57003665
99	0.5918485
100	0.596372
101	0.6279022
102	0.58655196
103	0.575662
104	0.56255645
105	0.5869584
106	0.54290676
107	0.56513566
108	0.5651115
109	0.60724086
110	0.5856931
111	0.61399025
112	0.60248756
113	0.5572061
114	0.59166896
115	0.60121
116	0.6304466
117	0.5585305
118	0.5526791
119	0.5771512
120	0.61215603
121	0.56825846
122	0.55555946
123	0.5595077
124	0.5538769
125	0.55638885
126	0.5594959
127	0.56188715
128	0.5679816
129	0.5509332
130	0.56103045
131	0.5457167
132	0.55380607
133	0.5480818
134	0.54350686
135	0.5466233
136	0.5479563
137	0.5625934
138	0.5436538
139	0.5511052
140	0.54671484
141	0.54856414
142	0.5516638
143	0.55473614
144	0.539369
145	0.5459178
146	0.54429096
147	0.55234647
148	0.5434894
149	0.54617345
150	0.5484179
151	0.5498814
152	0.53800464
153	0.5532382
154	0.5484917
155	0.55543685
156	0.5530801
157	0.558159
158	0.5565058
159	0.55787814
160	0.53376144
161	0.5397663
162	0.5386391
163	0.54549116
164	0.53154117
165	0.5557212
166	0.5454169
167	0.5526495
168	0.52620095
169	0.54584706
170	0.54628354
171	0.5528889
172	0.544156
173	0.55795515
174	0.57279795
175	0.5569642
176	0.54304487
177	0.5533756
178	0.54311645
179	0.55588347
180	0.53782105
181	0.5577949
182	0.55529463
183	0.5524479
184	0.5366404
185	0.5581264
186	0.5475841
187	0.56573606
188	0.55211824
189	0.5648522
190	0.5560096
191	0.56466174
192	0.55415666
193	0.55213755
194	0.54077667
195	0.5583849
196	0.5365523
197	0.5491738
198	0.55691314
199	0.568508
200	0.5320009
201	0.5554127
202	0.53573483
203	0.5640713
204	0.5442999
205	0.5559322
206	0.56389934
207	0.57507193
208	0.5308917
209	0.5475313
210	0.5408853
211	0.55993503
212	0.52879137
213	0.55057496
214	0.55434877
215	0.56520313
216	0.540096
217	0.5525804
218	0.55991113
219	0.5685409
220	0.5430928
221	0.56160384
222	0.56215364
223	0.57158977
224	0.548621
225	0.551789
226	0.539734
227	0.5668978
228	0.5381748
229	0.55450565
230	0.5465987
231	0.57931656
232	0.5371151
233	0.55727494
234	0.53940624
235	0.5679644
236	0.5449983
237	0.5668863
238	0.55778694
239	0.5800224
240	0.54713863
241	0.5569918
242	0.5474367
243	0.57058316
244	0.54432863
245	0.55927706
246	0.5510696
247	0.57971764
248	0.5553309
249	0.5586801
250	0.55319995
251	0.56920797
252	0.56172
253	0.56671363
254	0.5657933
255	0.5904709
