byte	frequency
0	3.4272614E-6
1	0.0
2	0.0
3	9.489371E-6
4	0.0
5	0.0
6	0.0
7	3.193679E-6
8	3.193679E-6
9	0.13381726
10	0.3426482
11	2.4379794E-6
12	1.325273E-6
13	0.06890109
14	0.0
15	0.0
16	0.0
17	0.0
18	3.7848783E-6
19	2.185205E-6
20	2.185205E-6
21	0.0
22	0.0
23	0.0
24	0.0
25	5.3477816E-6
26	0.0
27	0.0
28	0.0
29	0.0
30	0.0
31	0.0
32	0.94533837
33	0.07600438
34	0.43294314
35	0.053744774
36	0.01122257
37	0.067798816
38	0.09484661
39	0.097319975
40	0.09900185
41	0.0990455
42	0.02007997
43	0.05391653
44	0.1195926
45	0.2565889
46	0.2673287
47	0.41387686
48	0.19347997
49	0.1800565
50	0.16316666
51	0.12639223
52	0.09689246
53	0.102909826
54	0.08554068
55	0.093253374
56	0.09049612
57	0.08817007
58	0.15795715
59	0.1260281
60	0.41039094
61	0.36613593
62	0.41113266
63	0.06470727
64	0.013034871
65	0.13244972
66	0.09266621
67	0.14105596
68	0.12782456
69	0.13379358
70	0.10398191
71	0.078988664
72	0.09062025
73	0.12159683
74	0.04042235
75	0.043065082
76	0.110986106
77	0.12583366
78	0.10581893
79	0.10726885
80	0.12360022
81	0.02609252
82	0.1077442
83	0.1307209
84	0.15374942
85	0.07804604
86	0.050027806
87	0.05877558
88	0.023492787
89	0.055174116
90	0.02058573
91	0.044272102
92	0.023709306
93	0.04426679
94	0.003886273
95	0.13883473
96	6.794122E-4
97	0.5395644
98	0.24652047
99	0.38354197
100	0.40277377
101	0.6096897
102	0.2613704
103	0.2810834
104	0.34953368
105	0.48782936
106	0.100424014
107	0.1283602
108	0.43051857
109	0.31780273
110	0.4405986
111	0.45728204
112	0.3399596
113	0.05970181
114	0.46725658
115	0.47540382
116	0.5698726
117	0.27890784
118	0.22892746
119	0.21508229
120	0.13553037
121	0.21950658
122	0.050409023
123	0.047585946
124	0.027999865
125	0.047549043
126	0.0015916864
127	0.0
128	0.009864565
129	0.0023483802
130	0.0014869266
131	0.0016742542
132	0.0013151332
133	7.151839E-4
134	6.867016E-4
135	0.0014568836
136	9.260096E-4
137	6.896912E-4
138	0.0010776897
139	6.4008596E-4
140	0.0013775269
141	0.0010963867
142	4.6062292E-4
143	6.643524E-4
144	8.634996E-4
145	9.997077E-4
146	7.3140167E-4
147	0.003288748
148	0.0020852857
149	0.0011699729
150	0.0015037127
151	0.0015270332
152	0.0010875559
153	0.004781104
154	6.352109E-4
155	5.1693444E-4
156	0.0029864607
157	0.0020786168
158	9.183706E-4
159	6.891835E-4
160	0.0059687397
161	0.0016417155
162	0.0018546144
163	0.0011764643
164	0.0017327657
165	0.001508173
166	0.0020924062
167	0.0019016322
168	0.0016567889
169	0.0031693245
170	0.0016477628
171	0.0010323091
172	0.00132716
173	0.001973381
174	0.0012786208
175	7.2558614E-4
176	0.0022183512
177	0.0019874554
178	0.0016024022
179	0.0016920847
180	0.0016563829
181	0.0016183341
182	6.283879E-4
183	0.0010643818
184	0.0027373624
185	0.0019715405
186	0.0021814033
187	0.0022284396
188	0.0016445231
189	0.0015281063
190	0.0014732555
191	0.0015283681
192	7.342055E-5
193	8.377321E-5
194	0.006482163
195	0.0044906773
196	0.0010473235
197	8.072796E-4
198	1.1563585E-4
199	1.2036822E-4
200	1.4544177E-4
201	2.0264385E-4
202	1.7885366E-4
203	1.5439295E-4
204	9.73656E-5
205	7.499358E-5
206	6.966142E-4
207	2.5019655E-4
208	0.0034281039
209	0.0022765617
210	1.5440802E-4
211	1.5691291E-4
212	1.3201444E-4
213	1.8197803E-4
214	7.618608E-4
215	0.001322516
216	0.001717947
217	0.0011212748
218	1.1874693E-4
219	5.1143364E-4
220	5.479167E-5
221	3.5581405E-5
222	3.6343947E-5
223	6.464454E-5
224	0.0025419043
225	0.001026572
226	0.009086069
227	8.7665435E-4
228	0.001392177
229	8.2129735E-4
230	0.001761188
231	0.0012452247
232	0.0010121801
233	9.4934576E-4
234	6.546372E-4
235	2.0979588E-4
236	7.0542056E-4
237	6.8993773E-4
238	5.9762486E-5
239	5.9387716E-4
240	1.164288E-4
241	6.155481E-5
242	5.1710944E-5
243	7.158379E-5
244	3.1113814E-5
245	1.4133293E-5
246	8.623323E-5
247	4.1412994E-5
248	5.6375775E-5
249	5.442194E-5
250	5.508582E-5
251	7.071444E-5
252	8.766298E-5
253	7.235699E-5
254	7.1829665E-5
255	0.0
