byte	frequency
0	2.4328976E-4
1	7.944047E-5
2	8.978873E-5
3	9.49364E-5
4	9.27334E-5
5	9.5803414E-5
6	9.7576354E-5
7	1.0146225E-4
8	9.047677E-5
9	0.16480394
10	0.36722028
11	1.2006405E-4
12	4.328623E-4
13	0.08122199
14	1.0759283E-4
15	1.0125811E-4
16	8.978873E-5
17	9.730214E-5
18	1.0584965E-4
19	1.0247587E-4
20	9.1837406E-5
21	1.0186878E-4
22	1.00232275E-4
23	9.51539E-5
24	9.49364E-5
25	1.0146225E-4
26	9.814818E-5
27	9.715668E-5
28	1.0565405E-4
29	9.730214E-5
30	1.0835859E-4
31	1.1646558E-4
32	0.8508716
33	0.06369415
34	0.2918332
35	0.07573522
36	0.0364232
37	0.04812917
38	0.07558341
39	0.10254815
40	0.18118963
41	0.18158777
42	0.08859547
43	0.061914526
44	0.19358076
45	0.29606646
46	0.38701335
47	0.30159125
48	0.29530352
49	0.2425662
50	0.2038611
51	0.15230083
52	0.13835782
53	0.14523044
54	0.11960942
55	0.108973
56	0.11265589
57	0.11547545
58	0.25875244
59	0.23428038
60	0.18121704
61	0.25528005
62	0.18687622
63	0.046350725
64	0.021243947
65	0.12494941
66	0.07491778
67	0.1221941
68	0.1092165
69	0.108802184
70	0.08586433
71	0.07003931
72	0.06752298
73	0.106770106
74	0.032349527
75	0.032528926
76	0.090904064
77	0.09875081
78	0.091721185
79	0.09089942
80	0.09295404
81	0.0310722
82	0.097177655
83	0.13942394
84	0.118528694
85	0.0652155
86	0.041400097
87	0.057357512
88	0.025949188
89	0.037565432
90	0.018109387
91	0.06318547
92	0.025530035
93	0.063098304
94	0.010140162
95	0.14061405
96	0.0014464637
97	0.5722834
98	0.25775382
99	0.40921998
100	0.42557383
101	0.65620387
102	0.31691808
103	0.32807353
104	0.3461426
105	0.5523161
106	0.08857708
107	0.15009809
108	0.45250976
109	0.32547924
110	0.51867336
111	0.5351265
112	0.3795352
113	0.052923273
114	0.51200366
115	0.4921098
116	0.6099678
117	0.33279693
118	0.23812534
119	0.2226752
120	0.17470197
121	0.20685795
122	0.07127336
123	0.13409355
124	0.049641695
125	0.13406932
126	0.0026002044
127	1.2539426E-4
128	0.0049582473
129	5.463221E-4
130	5.610205E-4
131	4.282284E-4
132	5.120568E-4
133	3.1985782E-4
134	3.5950495E-4
135	3.570028E-4
136	3.8269648E-4
137	3.8212858E-4
138	3.5492916E-4
139	3.455251E-4
140	3.4334813E-4
141	3.3015717E-4
142	2.958716E-4
143	3.3763296E-4
144	3.3667902E-4
145	2.7194203E-4
146	2.6503523E-4
147	0.0019887646
148	0.0010783592
149	3.1963905E-4
150	4.5652915E-4
151	3.496063E-4
152	4.7446822E-4
153	0.0018774159
154	3.1985276E-4
155	2.8294467E-4
156	0.001505724
157	0.0011210466
158	2.710075E-4
159	2.5350403E-4
160	4.8180335E-4
161	6.464325E-4
162	5.2206864E-4
163	4.329238E-4
164	6.290951E-4
165	4.8720467E-4
166	8.7770895E-4
167	6.302054E-4
168	5.868425E-4
169	0.0023069412
170	5.3041487E-4
171	5.787866E-4
172	4.4754575E-4
173	7.127548E-4
174	5.2554684E-4
175	4.669357E-4
176	0.0010393802
177	5.160193E-4
178	4.743698E-4
179	6.5543526E-4
180	5.479066E-4
181	5.063541E-4
182	4.964563E-4
183	4.6057132E-4
184	7.481375E-4
185	6.1834865E-4
186	0.0012172849
187	0.0018343576
188	6.697069E-4
189	5.150818E-4
190	4.340451E-4
191	9.79613E-4
192	1.8539008E-4
193	1.5751763E-4
194	0.0031465795
195	0.0018525674
196	3.5793488E-4
197	3.5521842E-4
198	1.9874469E-4
199	1.6975675E-4
200	1.4129227E-4
201	1.3747466E-4
202	1.8351713E-4
203	1.6599569E-4
204	2.0207479E-4
205	1.4588372E-4
206	2.8449524E-4
207	2.3959849E-4
208	4.6109766E-4
209	3.7393183E-4
210	1.8512095E-4
211	1.7156405E-4
212	1.196026E-4
213	1.630129E-4
214	1.7040859E-4
215	1.9009881E-4
216	3.529368E-4
217	2.8950494E-4
218	1.6991222E-4
219	1.1208518E-4
220	1.3397029E-4
221	1.572787E-4
222	1.6033307E-4
223	1.2454439E-4
224	2.8451066E-4
225	2.4146924E-4
226	0.005282843
227	4.4946553E-4
228	4.313689E-4
229	5.284943E-4
230	5.23475E-4
231	4.2000978E-4
232	4.181558E-4
233	4.8798733E-4
234	1.7657565E-4
235	1.6917688E-4
236	2.8656799E-4
237	2.3050584E-4
238	1.3799877E-4
239	9.318955E-4
240	1.3950036E-4
241	1.2433456E-4
242	1.3765703E-4
243	1.9982198E-4
244	1.9395597E-4
245	1.6274242E-4
246	1.588865E-4
247	1.3900099E-4
248	2.2698005E-4
249	1.5591853E-4
250	1.376787E-4
251	1.1602422E-4
252	2.1507064E-4
253	1.6788421E-4
254	1.424763E-4
255	1.13793634E-4
