byte	frequency
0	0.99186945
1	0.41245866
2	0.2424695
3	0.25170657
4	0.20807129
5	0.24902351
6	0.20256478
7	0.20454301
8	0.2621672
9	0.19871226
10	0.20284928
11	0.19824086
12	0.19589011
13	0.19062066
14	0.19520506
15	0.21484518
16	0.20048529
17	0.19133084
18	0.18950859
19	0.18626668
20	0.19081284
21	0.19036403
22	0.18740137
23	0.19052982
24	0.1924714
25	0.18454769
26	0.18612264
27	0.18698701
28	0.1877228
29	0.18510252
30	0.18584722
31	0.18971932
32	0.2683986
33	0.19672434
34	0.1926063
35	0.18552804
36	0.18678895
37	0.18381439
38	0.18254127
39	0.18422203
40	0.18676066
41	0.18113123
42	0.18647982
43	0.185366
44	0.18397892
45	0.18944417
46	0.18774319
47	0.1899888
48	0.20207049
49	0.19233635
50	0.18842997
51	0.18500651
52	0.18852569
53	0.18682231
54	0.1868052
55	0.18691693
56	0.1889454
57	0.18343858
58	0.19219236
59	0.18249093
60	0.1863365
61	0.19311245
62	0.18726784
63	0.18908802
64	0.19411129
65	0.19363883
66	0.1880643
67	0.18522593
68	0.1927472
69	0.18479647
70	0.183946
71	0.18473439
72	0.1863488
73	0.18435712
74	0.18252645
75	0.1822751
76	0.18378092
77	0.18759455
78	0.18402639
79	0.1861911
80	0.18585363
81	0.18371879
82	0.18344477
83	0.18367557
84	0.18739827
85	0.18830419
86	0.18635403
87	0.1854272
88	0.18582577
89	0.1802314
90	0.18722701
91	0.1836364
92	0.18304862
93	0.18702616
94	0.18165219
95	0.19027302
96	0.18803465
97	0.19596222
98	0.1859308
99	0.19059148
100	0.19739144
101	0.19782893
102	0.1879062
103	0.1815404
104	0.18931496
105	0.19354996
106	0.18401115
107	0.18602954
108	0.18917283
109	0.20020255
110	0.19244352
111	0.19712004
112	0.19619201
113	0.1825279
114	0.19113061
115	0.1953723
116	0.20134474
117	0.18853432
118	0.1866823
119	0.18791483
120	0.19259232
121	0.18348609
122	0.18415786
123	0.18542781
124	0.18595509
125	0.1859946
126	0.18610527
127	0.19824252
128	0.19615492
129	0.18646958
130	0.18684636
131	0.18404679
132	0.18461014
133	0.1839408
134	0.1825979
135	0.18118218
136	0.18454939
137	0.18242238
138	0.18252988
139	0.18155903
140	0.18134674
141	0.18219227
142	0.18033381
143	0.1840131
144	0.18321235
145	0.17913711
146	0.17941274
147	0.18220307
148	0.18073922
149	0.18107082
150	0.18565525
151	0.18545707
152	0.18314707
153	0.18010217
154	0.18451528
155	0.1841019
156	0.1809763
157	0.18008633
158	0.18511042
159	0.19356632
160	0.2059138
161	0.18338345
162	0.1824975
163	0.18457504
164	0.18584758
165	0.18224183
166	0.18377475
167	0.18369846
168	0.18438607
169	0.18364142
170	0.18741368
171	0.18463573
172	0.1819205
173	0.18338014
174	0.18478699
175	0.18758035
176	0.18369862
177	0.1813204
178	0.17864193
179	0.17911172
180	0.18145445
181	0.18363993
182	0.18722819
183	0.18581223
184	0.18539937
185	0.18133816
186	0.18657011
187	0.18713608
188	0.18239701
189	0.19082168
190	0.19390045
191	0.19867699
192	0.19451463
193	0.19040969
194	0.19560961
195	0.19392098
196	0.18236135
197	0.18221757
198	0.18397783
199	0.1825507
200	0.19078052
201	0.17922953
202	0.17887694
203	0.1817627
204	0.17974983
205	0.18065597
206	0.17879754
207	0.18558875
208	0.18584988
209	0.17964633
210	0.18265733
211	0.18318354
212	0.18309835
213	0.18803407
214	0.18317284
215	0.18757413
216	0.18140393
217	0.17997225
218	0.18145272
219	0.1877839
220	0.18399405
221	0.1868377
222	0.18541777
223	0.19201717
224	0.18986334
225	0.18559243
226	0.18395962
227	0.18362021
228	0.17919041
229	0.1815531
230	0.17934327
231	0.18378092
232	0.18537268
233	0.1830495
234	0.18592584
235	0.18650936
236	0.17893459
237	0.1830689
238	0.18501033
239	0.18925549
240	0.18868892
241	0.1856637
242	0.17981382
243	0.18349028
244	0.18357737
245	0.18740605
246	0.18313305
247	0.18870498
248	0.18895142
249	0.20838171
250	0.18686527
251	0.1882845
252	0.18994068
253	0.19116361
254	0.1983485
255	0.23906453
