byte	frequency
0	0.9628245
1	0.46134242
2	0.3778292
3	0.38126183
4	0.39080727
5	0.35418305
6	0.36969557
7	0.3576824
8	0.37407255
9	0.32573137
10	0.33822164
11	0.3287531
12	0.3637203
13	0.30489868
14	0.3198764
15	0.334782
16	0.36445096
17	0.33397654
18	0.34728324
19	0.301251
20	0.3977309
21	0.33900547
22	0.3331283
23	0.31323647
24	0.3798451
25	0.34705696
26	0.334785
27	0.34058502
28	0.36209714
29	0.319546
30	0.33499408
31	0.3373367
32	0.3828268
33	0.3158503
34	0.31680208
35	0.3602419
36	0.37184662
37	0.3185678
38	0.30714458
39	0.31500673
40	0.3712236
41	0.3268418
42	0.33778667
43	0.33771697
44	0.33570832
45	0.3433797
46	0.32236454
47	0.30634597
48	0.35167515
49	0.33683756
50	0.34880316
51	0.32455018
52	0.3343666
53	0.33409995
54	0.32009128
55	0.31399754
56	0.34824127
57	0.33573037
58	0.32624307
59	0.32611075
60	0.3552206
61	0.3200477
62	0.3372604
63	0.34130704
64	0.39559183
65	0.35067374
66	0.3375206
67	0.3112518
68	0.30038652
69	0.34352782
70	0.3544519
71	0.34524938
72	0.35017022
73	0.35070354
74	0.3306845
75	0.32715458
76	0.29558033
77	0.31634274
78	0.31825715
79	0.33210498
80	0.3412426
81	0.34953466
82	0.3351439
83	0.3214512
84	0.32149312
85	0.35248992
86	0.34442756
87	0.34662434
88	0.33029756
89	0.3198761
90	0.36541167
91	0.34726632
92	0.32357815
93	0.3328904
94	0.31855193
95	0.33642888
96	0.3447763
97	0.32187155
98	0.3234559
99	0.35115734
100	0.3419373
101	0.32137963
102	0.31479403
103	0.3110329
104	0.32580075
105	0.34321764
106	0.33704814
107	0.34663165
108	0.31058702
109	0.34478655
110	0.3272685
111	0.3310494
112	0.33083248
113	0.3350486
114	0.3252474
115	0.3331774
116	0.3167742
117	0.32684854
118	0.31772086
119	0.32143256
120	0.34789374
121	0.3122931
122	0.31433535
123	0.31757644
124	0.32869127
125	0.3242785
126	0.32175466
127	0.34717095
128	0.4108139
129	0.34117985
130	0.34284532
131	0.32391706
132	0.31502855
133	0.32597786
134	0.3251101
135	0.3060658
136	0.3222064
137	0.31578457
138	0.36019382
139	0.303665
140	0.35444334
141	0.33224124
142	0.33694777
143	0.3187574
144	0.34405398
145	0.34629068
146	0.34515598
147	0.3180541
148	0.30554625
149	0.32199663
150	0.33557495
151	0.29913723
152	0.29463306
153	0.30050528
154	0.32232255
155	0.3067451
156	0.32045507
157	0.29197064
158	0.32165673
159	0.3204578
160	0.3570691
161	0.314425
162	0.33328342
163	0.3217705
164	0.3305974
165	0.32551673
166	0.30088854
167	0.31726983
168	0.32287666
169	0.333855
170	0.3396567
171	0.3356871
172	0.31074056
173	0.3421337
174	0.31952313
175	0.34175524
176	0.30405098
177	0.3169395
178	0.30060378
179	0.29517576
180	0.33120626
181	0.3386109
182	0.32481638
183	0.32554156
184	0.31666428
185	0.31114116
186	0.31590894
187	0.31353056
188	0.32748488
189	0.3116376
190	0.31185114
191	0.319364
192	0.3522126
193	0.33018312
194	0.31471223
195	0.32465523
196	0.33071658
197	0.31052765
198	0.33667973
199	0.32714036
200	0.32233912
201	0.30790195
202	0.3009665
203	0.308789
204	0.29888687
205	0.30412084
206	0.29977304
207	0.3238334
208	0.316461
209	0.30333075
210	0.3231556
211	0.3233765
212	0.3293751
213	0.3314193
214	0.31758377
215	0.3266618
216	0.29899937
217	0.28720996
218	0.34229332
219	0.3291209
220	0.30979583
221	0.31056416
222	0.3107968
223	0.31143475
224	0.3460417
225	0.3306021
226	0.33275077
227	0.3344773
228	0.31948364
229	0.30229345
230	0.30391845
231	0.31511083
232	0.29394555
233	0.31143492
234	0.3230375
235	0.30871123
236	0.28223068
237	0.32273355
238	0.30123588
239	0.30831328
240	0.35178357
241	0.33315417
242	0.2958583
243	0.2994075
244	0.306524
245	0.31149274
246	0.30691916
247	0.2905376
248	0.35686842
249	0.2966857
250	0.31211612
251	0.3117263
252	0.3540405
253	0.32469666
254	0.35246333
255	0.4636357
