byte	frequency
0	0.8274871
1	0.81227547
2	0.77952415
3	0.7742508
4	0.77181834
5	0.7792959
6	0.7730094
7	0.77390033
8	0.7797689
9	0.7837406
10	0.77918816
11	0.7787972
12	0.7729495
13	0.780813
14	0.783261
15	0.7774583
16	0.76558566
17	0.77956426
18	0.77956593
19	0.789542
20	0.7921633
21	0.778526
22	0.78086936
23	0.78819376
24	0.77233446
25	0.7841665
26	0.78527474
27	0.7513901
28	0.7870063
29	0.79080194
30	0.772947
31	0.78046644
32	0.7551033
33	0.78086853
34	0.77418727
35	0.77966666
36	0.77102625
37	0.7718958
38	0.782815
39	0.78617966
40	0.78219825
41	0.78031516
42	0.76817894
43	0.77914405
44	0.76985973
45	0.7656054
46	0.7827286
47	0.7769921
48	0.7626205
49	0.7761649
50	0.7749021
51	0.7721803
52	0.7814915
53	0.78366137
54	0.74907184
55	0.76881605
56	0.7798331
57	0.78553706
58	0.79008955
59	0.7786912
60	0.7761792
61	0.7796058
62	0.7843609
63	0.7741645
64	0.7923334
65	0.77095836
66	0.78018004
67	0.7821549
68	0.77356154
69	0.78232265
70	0.774089
71	0.786517
72	0.7806967
73	0.777337
74	0.7791977
75	0.7764754
76	0.7751155
77	0.77742994
78	0.78616136
79	0.78488916
80	0.77831155
81	0.7747117
82	0.78322786
83	0.7731312
84	0.7659316
85	0.76574486
86	0.77097845
87	0.7784846
88	0.770072
89	0.77048093
90	0.7761471
91	0.7624326
92	0.7843204
93	0.78729874
94	0.78335714
95	0.7804547
96	0.75882196
97	0.77611566
98	0.77092236
99	0.7758129
100	0.77976644
101	0.7652983
102	0.7697358
103	0.7736954
104	0.78164816
105	0.782996
106	0.77135926
107	0.78485966
108	0.7629822
109	0.70953786
110	0.7668758
111	0.75025666
112	0.77528673
113	0.77996904
114	0.777208
115	0.7802418
116	0.7808254
117	0.78964895
118	0.77117276
119	0.7805234
120	0.7704457
121	0.7768895
122	0.7864967
123	0.7708511
124	0.7831204
125	0.7819537
126	0.77805537
127	0.7543218
128	0.7569856
129	0.76290524
130	0.76775134
131	0.76596814
132	0.7750793
133	0.77264315
134	0.78054166
135	0.78963864
136	0.7700457
137	0.77794665
138	0.77727616
139	0.77757424
140	0.7746692
141	0.75025606
142	0.7879629
143	0.78433967
144	0.7740813
145	0.7752029
146	0.7680406
147	0.7751752
148	0.7800971
149	0.7698624
150	0.75912994
151	0.7765674
152	0.7768528
153	0.7700495
154	0.7818204
155	0.7666641
156	0.7954169
157	0.779635
158	0.78185034
159	0.77574116
160	0.77478415
161	0.7808821
162	0.7785742
163	0.7789994
164	0.78419626
165	0.777556
166	0.7718126
167	0.7865963
168	0.7742102
169	0.7741249
170	0.767864
171	0.76985747
172	0.7749744
173	0.7682039
174	0.7841338
175	0.7832338
176	0.7702391
177	0.76453775
178	0.76357454
179	0.7677179
180	0.773811
181	0.77117115
182	0.72101563
183	0.7494183
184	0.77838385
185	0.772937
186	0.7798558
187	0.7716928
188	0.7699505
189	0.77157843
190	0.7804992
191	0.7510307
192	0.7571474
193	0.7636391
194	0.7697914
195	0.7858052
196	0.7771249
197	0.76877904
198	0.7510864
199	0.7873523
200	0.7822288
201	0.77025187
202	0.7735042
203	0.7646793
204	0.77157396
205	0.77059513
206	0.7812072
207	0.7762138
208	0.7790216
209	0.78173566
210	0.7804369
211	0.7831492
212	0.78278726
213	0.76580566
214	0.77348995
215	0.79421276
216	0.7672151
217	0.759256
218	0.7683295
219	0.7085058
220	0.7727987
221	0.7745464
222	0.7655236
223	0.749781
224	0.7648385
225	0.7783218
226	0.7767244
227	0.7650245
228	0.7796501
229	0.7700904
230	0.7714396
231	0.7830874
232	0.78554964
233	0.7851552
234	0.78009194
235	0.7883734
236	0.7721929
237	0.7683482
238	0.78103733
239	0.7658766
240	0.7679528
241	0.7618558
242	0.77836436
243	0.77489465
244	0.7847196
245	0.78025264
246	0.7675812
247	0.76762295
248	0.7636372
249	0.77632594
250	0.7855989
251	0.76975286
252	0.7587462
253	0.7687966
254	0.74788404
255	0.74996233
