byte	frequency
0	1.0
1	0.96696484
2	0.98019606
3	0.9805092
4	0.97730434
5	0.9840309
6	0.9738772
7	0.986064
8	0.98107725
9	0.9825838
10	0.9848583
11	0.98549336
12	0.98815477
13	0.9827373
14	0.988938
15	0.9824498
16	0.9866539
17	0.98576283
18	0.98778623
19	0.98505324
20	0.9825178
21	0.98190886
22	0.9792508
23	0.983804
24	0.98090273
25	0.9886518
26	0.9895845
27	0.988715
28	0.9888948
29	0.98970336
30	0.992564
31	0.99068624
32	0.9488588
33	0.98501396
34	0.9830872
35	0.9877648
36	0.98255926
37	0.99025196
38	0.98988414
39	0.9903475
40	0.98622406
41	0.98527133
42	0.98617506
43	0.9895642
44	0.986645
45	0.9874697
46	0.9838244
47	0.9820632
48	0.9855437
49	0.9884019
50	0.98874205
51	0.9876077
52	0.9876295
53	0.98423815
54	0.9692643
55	0.9887407
56	0.9882776
57	0.9876582
58	0.98575515
59	0.9888958
60	0.98566455
61	0.9823688
62	0.9879996
63	0.98859775
64	0.9909233
65	0.988049
66	0.9879165
67	0.9832079
68	0.9898158
69	0.9892822
70	0.9889266
71	0.9895364
72	0.98753285
73	0.9842116
74	0.9681387
75	0.9853677
76	0.9881953
77	0.98937976
78	0.9877707
79	0.9828719
80	0.98696476
81	0.9816548
82	0.9885832
83	0.9885751
84	0.9881213
85	0.9905262
86	0.9882895
87	0.9921103
88	0.99011844
89	0.98948133
90	0.9866
91	0.9878923
92	0.9892633
93	0.98669213
94	0.9773621
95	0.9750345
96	0.98253626
97	0.9673296
98	0.98566335
99	0.9760049
100	0.975155
101	0.9605836
102	0.983276
103	0.98053825
104	0.9736635
105	0.9660287
106	0.99127644
107	0.98558825
108	0.97674614
109	0.982436
110	0.96936005
111	0.96738034
112	0.97995955
113	0.9892335
114	0.97041136
115	0.96669567
116	0.9655893
117	0.97964513
118	0.98600876
119	0.9851781
120	0.9873069
121	0.98603445
122	0.9919524
123	0.9850979
124	0.9897827
125	0.9880531
126	0.9905852
127	0.986422
128	0.98108816
129	0.98663247
130	0.9909997
131	0.99037945
132	0.9709389
133	0.9909418
134	0.9919138
135	0.98963886
136	0.9888788
137	0.9876011
138	0.9875808
139	0.9883727
140	0.99247164
141	0.9906251
142	0.9902503
143	0.99005556
144	0.9889772
145	0.9908325
146	0.99202013
147	0.99238664
148	0.9886089
149	0.9911892
150	0.98638517
151	0.99351645
152	0.98128843
153	0.9897567
154	0.99062353
155	0.9905591
156	0.9887393
157	0.99129826
158	0.9879934
159	0.9912243
160	0.99145305
161	0.99242455
162	0.98879284
163	0.9892948
164	0.9909082
165	0.9909468
166	0.9913855
167	0.98884565
168	0.99013186
169	0.9913392
170	0.9908538
171	0.9923019
172	0.9916818
173	0.98722523
174	0.9890398
175	0.98820615
176	0.9918045
177	0.9916738
178	0.9915746
179	0.9915652
180	0.9926387
181	0.9869823
182	0.9902776
183	0.9891381
184	0.9919684
185	0.99097645
186	0.9902121
187	0.98822236
188	0.9901322
189	0.9867857
190	0.990754
191	0.99023813
192	0.989264
193	0.9897139
194	0.99115205
195	0.9893455
196	0.9927176
197	0.9917022
198	0.9844814
199	0.9888095
200	0.9901549
201	0.9890982
202	0.99021626
203	0.9898652
204	0.9901079
205	0.9903801
206	0.99019104
207	0.99163425
208	0.98851055
209	0.9889249
210	0.9886709
211	0.99013877
212	0.99239635
213	0.9915376
214	0.9761876
215	0.98877
216	0.98877776
217	0.9899724
218	0.98940486
219	0.9877963
220	0.9907791
221	0.9896655
222	0.98867196
223	0.99002504
224	0.9894259
225	0.9902439
226	0.9879009
227	0.990448
228	0.99079716
229	0.9892391
230	0.9892138
231	0.9904273
232	0.9897613
233	0.9897665
234	0.99119896
235	0.989732
236	0.9899023
237	0.990856
238	0.99113005
239	0.99062175
240	0.9855266
241	0.99167615
242	0.99198216
243	0.9913528
244	0.99182135
245	0.9905173
246	0.9856543
247	0.98787105
248	0.99088717
249	0.99171317
250	0.98817337
251	0.9909134
252	0.9904535
253	0.9860003
254	0.9846782
255	0.96195126
