byte	frequency
0	0.7341738
1	0.78312504
2	0.7319421
3	0.75837195
4	0.7749586
5	0.7723825
6	0.7687378
7	0.8211732
8	0.81793183
9	0.77852994
10	0.7762711
11	0.8286971
12	0.80678713
13	0.8207068
14	0.83167875
15	0.8215816
16	0.7765046
17	0.769854
18	0.82048565
19	0.8305234
20	0.820888
21	0.78643167
22	0.8353728
23	0.8193959
24	0.8245695
25	0.8348048
26	0.8257912
27	0.8198532
28	0.8310191
29	0.8453779
30	0.83973265
31	0.8382882
32	0.7304938
33	0.80081385
34	0.80973876
35	0.8268305
36	0.78659374
37	0.8330464
38	0.83975965
39	0.8346986
40	0.8218525
41	0.81915176
42	0.82853925
43	0.8342188
44	0.83365816
45	0.7953564
46	0.8162651
47	0.8192397
48	0.83445203
49	0.8404329
50	0.82853323
51	0.83216506
52	0.8335676
53	0.83908427
54	0.83685005
55	0.83569825
56	0.8491537
57	0.85400385
58	0.8410523
59	0.8272465
60	0.8315647
61	0.8085484
62	0.8045807
63	0.7563841
64	0.7817741
65	0.7919328
66	0.8027286
67	0.8201068
68	0.82524145
69	0.81844497
70	0.77254796
71	0.8153853
72	0.8095004
73	0.8341804
74	0.79748136
75	0.8430168
76	0.8411842
77	0.8502913
78	0.8107446
79	0.82634014
80	0.82808304
81	0.8220707
82	0.83134466
83	0.8255679
84	0.80454636
85	0.8372034
86	0.81384945
87	0.8353113
88	0.83739454
89	0.839222
90	0.8221215
91	0.8485424
92	0.81480277
93	0.838553
94	0.82094795
95	0.8285016
96	0.8203242
97	0.7963572
98	0.82172656
99	0.80388546
100	0.8027014
101	0.7789455
102	0.8213167
103	0.8181864
104	0.81313527
105	0.78039944
106	0.8349185
107	0.8382911
108	0.8082301
109	0.8079069
110	0.7955082
111	0.80181146
112	0.8179129
113	0.84231335
114	0.7989647
115	0.777696
116	0.7888892
117	0.81686336
118	0.8448094
119	0.82523996
120	0.8278013
121	0.80272603
122	0.83586216
123	0.8292231
124	0.7908765
125	0.80436903
126	0.8365541
127	0.83197224
128	0.78974974
129	0.82182366
130	0.81026745
131	0.8152132
132	0.82403255
133	0.83144015
134	0.82748914
135	0.84443957
136	0.77225506
137	0.82407767
138	0.83265424
139	0.8334147
140	0.82100743
141	0.83047694
142	0.83046514
143	0.84175044
144	0.8285979
145	0.80851644
146	0.8261508
147	0.83897793
148	0.82992
149	0.82365406
150	0.8347061
151	0.840964
152	0.8322728
153	0.8317011
154	0.8417107
155	0.82554835
156	0.83211344
157	0.7652239
158	0.79104143
159	0.7530602
160	0.76572895
161	0.83125776
162	0.8202411
163	0.82755166
164	0.82820207
165	0.82899266
166	0.83360595
167	0.8252722
168	0.8280029
169	0.80694723
170	0.83009356
171	0.81672096
172	0.83043045
173	0.8275707
174	0.8319265
175	0.83657324
176	0.81953686
177	0.81745034
178	0.8343757
179	0.83092725
180	0.841068
181	0.8240993
182	0.8373127
183	0.83841205
184	0.79502016
185	0.8306344
186	0.8326729
187	0.83642364
188	0.839569
189	0.8242483
190	0.8281655
191	0.8225096
192	0.7707191
193	0.816619
194	0.82677513
195	0.8359508
196	0.77411187
197	0.81792
198	0.8363607
199	0.8173618
200	0.8315605
201	0.81794786
202	0.8307585
203	0.83224523
204	0.84268403
205	0.83920294
206	0.8250539
207	0.79097074
208	0.82544065
209	0.84498787
210	0.8261896
211	0.82353944
212	0.7937233
213	0.827587
214	0.7970201
215	0.8289949
216	0.8290308
217	0.8501259
218	0.82420707
219	0.82319367
220	0.84545606
221	0.8348373
222	0.8305979
223	0.8461486
224	0.83921576
225	0.83043665
226	0.8190644
227	0.83618516
228	0.84815556
229	0.8231296
230	0.8483119
231	0.83619845
232	0.827724
233	0.82080156
234	0.85155237
235	0.8088941
236	0.8212882
237	0.8388279
238	0.8403604
239	0.8384734
240	0.82836634
241	0.82901525
242	0.8451071
243	0.8354986
244	0.81889224
245	0.8521055
246	0.8066904
247	0.8199759
248	0.8290304
249	0.8330495
250	0.8229206
251	0.82254654
252	0.8226987
253	0.82804537
254	0.8094732
255	0.75349
