byte	frequency
0	0.75778544
1	0.8242835
2	0.8297673
3	0.8274362
4	0.8311872
5	0.8311442
6	0.8321966
7	0.83003426
8	0.83083576
9	0.8338473
10	0.83214366
11	0.8320468
12	0.83109295
13	0.8249011
14	0.83068025
15	0.83044094
16	0.8311804
17	0.83023304
18	0.8314491
19	0.8342086
20	0.8227127
21	0.8285521
22	0.82912713
23	0.8324246
24	0.82881886
25	0.8314339
26	0.8299937
27	0.8308099
28	0.82761145
29	0.82880634
30	0.82817024
31	0.828864
32	0.86480683
33	0.83350295
34	0.8373207
35	0.8320381
36	0.8116233
37	0.82983094
38	0.83525896
39	0.8305796
40	0.82713586
41	0.829776
42	0.829005
43	0.83259016
44	0.8285825
45	0.8316918
46	0.83738947
47	0.8222466
48	0.8086902
49	0.8464134
50	0.8460903
51	0.84833163
52	0.84734774
53	0.84832966
54	0.84597236
55	0.8470789
56	0.84709406
57	0.84501594
58	0.8390463
59	0.83114433
60	0.8373543
61	0.83244777
62	0.8384944
63	0.82873225
64	0.8323259
65	0.83935225
66	0.8389712
67	0.83946496
68	0.83750147
69	0.8325305
70	0.8299453
71	0.8339827
72	0.8346912
73	0.8167128
74	0.8287632
75	0.8335496
76	0.83514667
77	0.84017646
78	0.83588594
79	0.8327689
80	0.84114766
81	0.82706463
82	0.8368723
83	0.83842707
84	0.83992344
85	0.83048767
86	0.8309802
87	0.831569
88	0.8334398
89	0.830119
90	0.83137
91	0.8351879
92	0.82995975
93	0.83445764
94	0.83017683
95	0.83134407
96	0.82838416
97	0.8381207
98	0.8370926
99	0.84273523
100	0.83942586
101	0.8140758
102	0.83874863
103	0.83475745
104	0.83675206
105	0.8414966
106	0.835048
107	0.833078
108	0.83668846
109	0.8380431
110	0.8417418
111	0.8380994
112	0.84443194
113	0.8315075
114	0.8365434
115	0.8378729
116	0.82944113
117	0.8400402
118	0.8329575
119	0.83461523
120	0.8380408
121	0.834808
122	0.8337336
123	0.82616806
124	0.8280618
125	0.82782537
126	0.829251
127	0.8256553
128	0.82648855
129	0.8296911
130	0.8312681
131	0.8328538
132	0.83283234
133	0.83262825
134	0.83254015
135	0.8305156
136	0.8321286
137	0.8302619
138	0.8208039
139	0.8292703
140	0.82859004
141	0.8275082
142	0.8260948
143	0.8275452
144	0.8327909
145	0.8297491
146	0.8088078
147	0.82939893
148	0.8260622
149	0.82838506
150	0.8257494
151	0.82937557
152	0.8318893
153	0.8301673
154	0.82886267
155	0.8284376
156	0.8295245
157	0.8292643
158	0.82607156
159	0.8273482
160	0.83310705
161	0.83133477
162	0.8244785
163	0.8277415
164	0.83003145
165	0.82760966
166	0.8300418
167	0.82785267
168	0.8309634
169	0.8277516
170	0.82899284
171	0.8275544
172	0.8285663
173	0.8275885
174	0.82837635
175	0.82978225
176	0.8318415
177	0.82721347
178	0.8276923
179	0.8256627
180	0.828429
181	0.8277952
182	0.8292242
183	0.828123
184	0.83054024
185	0.82700205
186	0.830385
187	0.8281146
188	0.82966834
189	0.82877433
190	0.83004373
191	0.82928085
192	0.825916
193	0.83068067
194	0.83590585
195	0.8299053
196	0.8313879
197	0.82811815
198	0.82679266
199	0.8252932
200	0.8322229
201	0.82876736
202	0.8286837
203	0.8250803
204	0.82983464
205	0.826171
206	0.8284487
207	0.824283
208	0.8328753
209	0.8300327
210	0.8290814
211	0.82817024
212	0.8271027
213	0.8294445
214	0.8286287
215	0.82832146
216	0.83129925
217	0.8263339
218	0.82865214
219	0.8263792
220	0.8290768
221	0.82850313
222	0.8292097
223	0.82747316
224	0.83163357
225	0.83172345
226	0.83066857
227	0.82662666
228	0.8303177
229	0.8266557
230	0.8280997
231	0.8234712
232	0.8314791
233	0.82939726
234	0.8283547
235	0.83060116
236	0.8291246
237	0.8274438
238	0.8275342
239	0.82850546
240	0.83055925
241	0.8282882
242	0.8284565
243	0.8250232
244	0.8306316
245	0.82994884
246	0.8282772
247	0.8267697
248	0.8284222
249	0.82685655
250	0.8295416
251	0.82815224
252	0.8268535
253	0.8275705
254	0.8256695
255	0.80753756
