byte	frequency
0	1.0
1	1.0
2	1.0
3	1.0
4	1.0
5	1.0
6	1.0
7	1.0
8	1.0
9	0.79423296
10	0.8772306
11	1.0
12	1.0
13	0.9514727
14	1.0
15	1.0
16	1.0
17	1.0
18	1.0
19	1.0
20	1.0
21	1.0
22	1.0
23	1.0
24	1.0
25	1.0
26	1.0
27	1.0
28	1.0
29	1.0
30	1.0
31	1.0
32	0.83813965
33	0.9166169
34	0.8445666
35	0.9347734
36	0.99079686
37	0.9791345
38	0.88110775
39	0.9710359
40	0.9612567
41	0.9606851
42	0.9946597
43	0.95056355
44	0.9413179
45	0.8884818
46	0.9018666
47	0.8181251
48	0.90605295
49	0.90883476
50	0.9315276
51	0.9390846
52	0.9354636
53	0.94297403
54	0.9386145
55	0.9359504
56	0.9505449
57	0.93512124
58	0.8809098
59	0.878414
60	0.8880672
61	0.89767206
62	0.88830256
63	0.9357473
64	0.9803756
65	0.9194028
66	0.9445194
67	0.9405206
68	0.9465945
69	0.94140255
70	0.9381475
71	0.95029616
72	0.9515857
73	0.9396837
74	0.95847636
75	0.9689642
76	0.9436654
77	0.9438307
78	0.9453431
79	0.9463314
80	0.95327866
81	0.97986865
82	0.9396193
83	0.93330425
84	0.94624245
85	0.95695853
86	0.9633685
87	0.94982326
88	0.982527
89	0.9688033
90	0.9859219
91	0.8822989
92	0.9994344
93	0.882292
94	0.9998145
95	0.9213227
96	0.9998987
97	0.92516094
98	0.92160416
99	0.9241453
100	0.9237542
101	0.91887045
102	0.94103885
103	0.93068665
104	0.94542617
105	0.93380195
106	0.94735974
107	0.9577269
108	0.8994576
109	0.92414075
110	0.90210384
111	0.9121867
112	0.9126346
113	0.920671
114	0.9007542
115	0.88679075
116	0.9064133
117	0.918161
118	0.94182473
119	0.9298186
120	0.91667503
121	0.91661114
122	0.9537722
123	0.99792296
124	0.9949235
125	0.9978464
126	0.992824
127	1.0
128	0.9576598
129	0.99620163
130	0.99659413
131	0.9971145
132	0.99778026
133	0.99922323
134	0.9991212
135	0.99826676
136	0.9970801
137	0.9978787
138	0.9988147
139	0.99812186
140	0.9983769
141	0.9987955
142	0.9995357
143	0.9992884
144	0.99898493
145	0.9992998
146	0.998792
147	0.98870504
148	0.9899958
149	0.9982832
150	0.9989406
151	0.99800193
152	0.99531794
153	0.9696494
154	0.9984267
155	0.9987664
156	0.984459
157	0.98505807
158	0.99885505
159	0.9987881
160	0.96264374
161	0.9959987
162	0.99683636
163	0.99790514
164	0.997706
165	0.9977558
166	0.99625796
167	0.997563
168	0.99793506
169	0.99474055
170	0.99790245
171	0.99825805
172	0.998946
173	0.9960305
174	0.99848473
175	0.99900186
176	0.99753004
177	0.9968948
178	0.9978172
179	0.9971111
180	0.99807054
181	0.99827206
182	0.99826276
183	0.99854934
184	0.99305606
185	0.9963121
186	0.99856234
187	0.9984216
188	0.99756145
189	0.9991443
190	0.99936
191	0.99879825
192	1.0
193	1.0
194	0.9625264
195	0.9879729
196	0.9995218
197	0.9995819
198	0.99995935
199	0.9999624
200	1.0
201	0.9999992
202	0.9999623
203	0.99994993
204	0.9997985
205	0.99999756
206	0.99917865
207	0.99970335
208	0.99942327
209	0.9998072
210	0.9999998
211	0.99999005
212	1.0
213	0.9999992
214	0.9998879
215	0.9998778
216	0.99988663
217	0.9999027
218	0.9999992
219	1.0
220	1.0
221	1.0
222	1.0
223	0.99999934
224	0.99396586
225	0.9998393
226	0.9585676
227	0.99681973
228	0.9993976
229	0.99860555
230	0.9989952
231	0.99922925
232	0.99904096
233	0.99906754
234	0.99973726
235	0.9996778
236	0.99954045
237	0.9997403
238	1.0
239	0.99904466
240	0.9999875
241	0.9999971
242	1.0
243	0.999953
244	0.99999744
245	0.9999904
246	0.9999992
247	1.0
248	1.0
249	1.0
250	0.99998766
251	1.0
252	0.9999904
253	1.0
254	1.0
255	1.0
