byte	frequency
0	0.99981874
1	0.9999999
2	1.0
3	0.9999999
4	1.0
5	1.0
6	1.0
7	1.0
8	0.9999996
9	0.81798464
10	0.91766375
11	0.99999094
12	1.0
13	0.85187256
14	1.0
15	1.0
16	1.0
17	1.0
18	1.0
19	0.99999267
20	1.0
21	1.0
22	1.0
23	1.0
24	0.99999267
25	0.99997365
26	0.99999875
27	1.0
28	1.0
29	0.9999999
30	1.0
31	1.0
32	0.96473974
33	0.9652471
34	0.8743666
35	0.9670006
36	0.97860897
37	0.96057314
38	0.96246135
39	0.9304133
40	0.95716643
41	0.95715976
42	0.96525276
43	0.97237617
44	0.94147587
45	0.890225
46	0.9115872
47	0.8633913
48	0.9305459
49	0.93280625
50	0.9345584
51	0.95273936
52	0.95503104
53	0.95408046
54	0.9600159
55	0.9599865
56	0.95805466
57	0.95620567
58	0.92538816
59	0.9444967
60	0.8979026
61	0.9225228
62	0.8979283
63	0.9606576
64	0.9761825
65	0.9585348
66	0.97183895
67	0.96317786
68	0.9669445
69	0.96594065
70	0.9660305
71	0.9674705
72	0.97212803
73	0.9614911
74	0.9721005
75	0.97819376
76	0.96618485
77	0.9665579
78	0.96594024
79	0.96932304
80	0.96381533
81	0.97741073
82	0.9664975
83	0.9593246
84	0.964305
85	0.97056043
86	0.976158
87	0.973321
88	0.97919226
89	0.97885764
90	0.9797867
91	0.96652293
92	0.9288157
93	0.9665372
94	0.9815617
95	0.9294001
96	0.9994975
97	0.85925627
98	0.9371999
99	0.88716114
100	0.88700616
101	0.8283669
102	0.91614455
103	0.92706376
104	0.9082577
105	0.8519887
106	0.94552207
107	0.9404503
108	0.8774205
109	0.9074843
110	0.87315255
111	0.87459874
112	0.90481204
113	0.9657292
114	0.87478954
115	0.8459004
116	0.8427377
117	0.9101094
118	0.91965604
119	0.9192042
120	0.9426204
121	0.9363659
122	0.9678825
123	0.970784
124	0.96660244
125	0.97082347
126	0.9958684
127	1.0
128	0.9807374
129	0.9940678
130	0.9948583
131	0.99524504
132	0.9967035
133	0.9973416
134	0.99742794
135	0.997247
136	0.9968874
137	0.997592
138	0.9976192
139	0.9973813
140	0.99675333
141	0.9976912
142	0.9985439
143	0.9977837
144	0.99793094
145	0.99787617
146	0.99777263
147	0.9942774
148	0.9948129
149	0.9973775
150	0.99713457
151	0.9970537
152	0.99717265
153	0.98876435
154	0.998057
155	0.99817395
156	0.99348575
157	0.994706
158	0.9979811
159	0.9978251
160	0.9863542
161	0.99665165
162	0.9963163
163	0.9979187
164	0.99644345
165	0.99669665
166	0.99607587
167	0.99545866
168	0.99509376
169	0.99006814
170	0.99598694
171	0.99732727
172	0.997236
173	0.99599355
174	0.9966991
175	0.9972578
176	0.9957291
177	0.99532014
178	0.9976179
179	0.9957158
180	0.99673223
181	0.99671495
182	0.9973163
183	0.9977285
184	0.9954338
185	0.99607414
186	0.99471855
187	0.99290615
188	0.9960032
189	0.9970797
190	0.99683994
191	0.9971112
192	0.9997621
193	0.999719
194	0.9843071
195	0.987035
196	0.9986147
197	0.99882805
198	0.9997298
199	0.9997449
200	0.99972636
201	0.9996797
202	0.9996436
203	0.9997357
204	0.9995948
205	0.9997253
206	0.9988205
207	0.9994627
208	0.996203
209	0.9970939
210	0.9997104
211	0.9997352
212	0.9997355
213	0.9997552
214	0.99977356
215	0.9994161
216	0.99726874
217	0.99799705
218	0.99934053
219	0.99916214
220	0.99988806
221	0.9998435
222	0.9998995
223	0.99987483
224	0.9979794
225	0.99932957
226	0.9824466
227	0.9949931
228	0.9971076
229	0.9961217
230	0.9955478
231	0.996596
232	0.9969889
233	0.99732316
234	0.99894416
235	0.99924856
236	0.9986329
237	0.9988497
238	0.99990135
239	0.9981824
240	0.99971116
241	0.9997622
242	0.9998926
243	0.9994427
244	0.99992293
245	0.99990374
246	0.9998888
247	0.99984974
248	0.9998559
249	0.9999047
250	0.99981564
251	0.99990594
252	0.99981755
253	0.99991876
254	0.99997526
255	1.0
