byte	frequency
0	1.0
1	1.0
2	1.0
3	1.0
4	1.0
5	1.0
6	1.0
7	1.0
8	1.0
9	0.5668523
10	0.9241581
11	1.0
12	1.0
13	0.9401865
14	1.0
15	1.0
16	1.0
17	1.0
18	1.0
19	1.0
20	1.0
21	1.0
22	1.0
23	1.0
24	1.0
25	1.0
26	1.0
27	1.0
28	1.0
29	1.0
30	1.0
31	1.0
32	0.7594306
33	0.9645381
34	0.8625467
35	0.9524902
36	0.9984455
37	0.99057305
38	0.957961
39	0.9817476
40	0.96774656
41	0.9675991
42	0.99529964
43	0.9803166
44	0.93084383
45	0.91989803
46	0.93721604
47	0.91927755
48	0.92933565
49	0.9379846
50	0.9274523
51	0.94441074
52	0.95300615
53	0.9337617
54	0.94448864
55	0.9556871
56	0.95645696
57	0.95044494
58	0.85254943
59	0.9560899
60	0.93709856
61	0.89944357
62	0.9370896
63	0.94515496
64	0.9837342
65	0.9434044
66	0.95953935
67	0.8620575
68	0.94472253
69	0.9515231
70	0.9671459
71	0.95870703
72	0.95932585
73	0.93988556
74	0.9734593
75	0.9438378
76	0.943928
77	0.94750667
78	0.9685548
79	0.94595295
80	0.95168877
81	0.9875456
82	0.92040217
83	0.9077208
84	0.94360393
85	0.94448054
86	0.95550156
87	0.95804846
88	0.96868956
89	0.964465
90	0.98234934
91	0.9592167
92	0.99714744
93	0.9592149
94	0.9993256
95	0.89562654
96	0.99998933
97	0.92272705
98	0.9313199
99	0.9207757
100	0.90096104
101	0.9087998
102	0.9304551
103	0.88416404
104	0.93013144
105	0.91643673
106	0.9617245
107	0.93260926
108	0.9268277
109	0.9236131
110	0.91964895
111	0.9121784
112	0.8837916
113	0.96579796
114	0.9214534
115	0.92208683
116	0.9104044
117	0.93381464
118	0.939246
119	0.93096864
120	0.9486333
121	0.947496
122	0.9619334
123	0.9560103
124	0.9963671
125	0.95599717
126	0.998005
127	1.0
128	0.99451095
129	0.9989176
130	0.9992936
131	0.99954265
132	0.9996877
133	0.9997459
134	0.9998463
135	0.99977165
136	0.99832267
137	0.9995374
138	0.9999307
139	0.99977946
140	0.9997057
141	0.99989647
142	0.99996454
143	0.9998848
144	0.9997543
145	0.9997531
146	0.99966633
147	0.99731797
148	0.99923223
149	0.9997198
150	0.9997311
151	0.9993587
152	0.99897355
153	0.9990557
154	0.9999417
155	0.9998989
156	0.99929804
157	0.99932766
158	0.9998421
159	0.9996157
160	0.99588025
161	0.9994746
162	0.99979013
163	0.99971974
164	0.9996789
165	0.99970263
166	0.9995669
167	0.99975234
168	0.9997054
169	0.9979166
170	0.999896
171	0.9996827
172	0.9998865
173	0.99973553
174	0.9998019
175	0.9969877
176	0.99945927
177	0.99893564
178	0.9995386
179	0.9996703
180	0.99973446
181	0.9995675
182	0.99928653
183	0.9998617
184	0.99926484
185	0.9998786
186	0.99982595
187	0.99963576
188	0.99911094
189	0.9997406
190	0.99946
191	0.9998821
192	1.0
193	1.0
194	0.99486864
195	0.9959186
196	0.99979275
197	0.9998319
198	1.0
199	1.0
200	1.0
201	1.0
202	1.0
203	0.999907
204	0.9999977
205	1.0
206	0.99901044
207	0.9993912
208	0.9995925
209	0.99975634
210	1.0
211	1.0
212	1.0
213	1.0
214	1.0
215	0.99989104
216	0.99995935
217	0.99996006
218	0.9999994
219	0.99999696
220	1.0
221	1.0
222	1.0
223	1.0
224	0.9999209
225	0.99998826
226	0.99423856
227	0.9991366
228	0.99993515
229	0.9998536
230	0.99968946
231	0.9997117
232	0.99993074
233	0.99994415
234	0.9999307
235	0.9999544
236	0.99994826
237	0.99999744
238	1.0
239	0.9999388
240	1.0
241	1.0
242	1.0
243	0.9999992
244	0.9999904
245	0.9999713
246	1.0
247	1.0
248	1.0
249	1.0
250	1.0
251	1.0
252	1.0
253	1.0
254	1.0
255	1.0
