byte	frequency
0	0.8333565
1	0.8968004
2	0.891076
3	0.90015846
4	0.8829334
5	0.90582156
6	0.90012765
7	0.91078997
8	0.8975355
9	0.90394425
10	0.90736693
11	0.91052073
12	0.89221853
13	0.9075793
14	0.90994906
15	0.91549414
16	0.8977338
17	0.9013076
18	0.90044117
19	0.90467495
20	0.89617974
21	0.9025156
22	0.90699613
23	0.91246235
24	0.8976272
25	0.9045242
26	0.9065518
27	0.90688044
28	0.9025981
29	0.9099708
30	0.91149056
31	0.914338
32	0.88282543
33	0.90153956
34	0.89815205
35	0.8974784
36	0.8930528
37	0.89904803
38	0.9028231
39	0.9089297
40	0.8962752
41	0.8965118
42	0.8960315
43	0.9031902
44	0.89924306
45	0.90983254
46	0.90784764
47	0.91652447
48	0.90272886
49	0.90742415
50	0.9028836
51	0.90495783
52	0.9041927
53	0.90863454
54	0.9133083
55	0.9169354
56	0.9027434
57	0.9058135
58	0.90703535
59	0.9082326
60	0.9094641
61	0.908562
62	0.9176843
63	0.9093716
64	0.89979243
65	0.9036957
66	0.90162694
67	0.9044614
68	0.9008654
69	0.9001128
70	0.9034466
71	0.90291667
72	0.9010488
73	0.8961701
74	0.8955936
75	0.9006159
76	0.8980022
77	0.9041264
78	0.905078
79	0.9083363
80	0.90271187
81	0.8966462
82	0.89714944
83	0.9000767
84	0.8997884
85	0.8568039
86	0.900357
87	0.9058967
88	0.90230453
89	0.90025574
90	0.9023971
91	0.9052782
92	0.9058137
93	0.90258825
94	0.91045463
95	0.9107969
96	0.8948872
97	0.90394264
98	0.90141153
99	0.90982264
100	0.90107274
101	0.90020967
102	0.90742177
103	0.90418756
104	0.90579665
105	0.89937216
106	0.9020272
107	0.9067428
108	0.91087335
109	0.9030355
110	0.9105053
111	0.91432464
112	0.9103088
113	0.9095051
114	0.90286833
115	0.9098532
116	0.9065902
117	0.9077563
118	0.90945554
119	0.91055864
120	0.9192616
121	0.91141504
122	0.908061
123	0.91180944
124	0.9172829
125	0.9106193
126	0.915013
127	0.8986332
128	0.8933817
129	0.9076475
130	0.9021267
131	0.9085882
132	0.9028097
133	0.9067066
134	0.9056788
135	0.9091326
136	0.89768875
137	0.9015116
138	0.8992445
139	0.9061422
140	0.8993469
141	0.9057022
142	0.90518874
143	0.9098892
144	0.89948034
145	0.89512277
146	0.8724361
147	0.9022702
148	0.9002015
149	0.8986602
150	0.9022725
151	0.9073056
152	0.9062784
153	0.8979543
154	0.90353626
155	0.90750974
156	0.9065434
157	0.90349585
158	0.90991527
159	0.90682524
160	0.90644765
161	0.901157
162	0.89943594
163	0.9037687
164	0.8976523
165	0.8968057
166	0.9020213
167	0.9015709
168	0.90125304
169	0.8963089
170	0.87605524
171	0.90086055
172	0.9047377
173	0.899878
174	0.9089125
175	0.9099395
176	0.9110358
177	0.90418863
178	0.9017604
179	0.90660745
180	0.9058083
181	0.9020316
182	0.9046194
183	0.9065504
184	0.91563946
185	0.90483594
186	0.90615755
187	0.9066179
188	0.9170452
189	0.9092286
190	0.9157819
191	0.9028133
192	0.8976169
193	0.9103284
194	0.90836895
195	0.9073036
196	0.8922399
197	0.90917647
198	0.91076934
199	0.91148347
200	0.90249264
201	0.90544474
202	0.9013708
203	0.905327
204	0.9017229
205	0.9073416
206	0.9075876
207	0.9081145
208	0.9084707
209	0.9052699
210	0.9054449
211	0.9061668
212	0.9013578
213	0.9002846
214	0.9033926
215	0.90928
216	0.9105967
217	0.90516007
218	0.9070683
219	0.9063007
220	0.9093903
221	0.90515906
222	0.9144015
223	0.90701914
224	0.91851956
225	0.9123519
226	0.9107057
227	0.9099406
228	0.90553105
229	0.90427357
230	0.9051613
231	0.90688926
232	0.9054366
233	0.89974827
234	0.89939725
235	0.9048244
236	0.9065472
237	0.9036423
238	0.9084278
239	0.91064245
240	0.916862
241	0.91450655
242	0.90636086
243	0.9001478
244	0.90528125
245	0.9046505
246	0.90869
247	0.9096037
248	0.91804034
249	0.9086104
250	0.89540446
251	0.8893086
252	0.91337055
253	0.89934623
254	0.8979029
255	0.778354
