byte	frequency
0	0.91547376
1	0.8397059
2	0.8638502
3	0.85237646
4	0.85917246
5	0.8620423
6	0.8646113
7	0.84965676
8	0.85872656
9	0.86108047
10	0.85629356
11	0.85980314
12	0.8707857
13	0.8541532
14	0.85103214
15	0.8544918
16	0.8564768
17	0.8569235
18	0.84764904
19	0.8628124
20	0.82882625
21	0.83811873
22	0.8510595
23	0.8556731
24	0.842088
25	0.83728963
26	0.84757805
27	0.8418966
28	0.8333731
29	0.8411124
30	0.8377665
31	0.83501035
32	0.8065722
33	0.8550987
34	0.85406834
35	0.83072644
36	0.8241114
37	0.84396064
38	0.85087687
39	0.8471767
40	0.8301384
41	0.8359092
42	0.8309719
43	0.8296164
44	0.8489499
45	0.8418822
46	0.8496005
47	0.85819083
48	0.8642089
49	0.85158986
50	0.8086921
51	0.8558659
52	0.84531033
53	0.84179735
54	0.8504917
55	0.85591066
56	0.84527385
57	0.8408583
58	0.849588
59	0.8413265
60	0.8423006
61	0.84569216
62	0.851393
63	0.85072625
64	0.8363422
65	0.85421103
66	0.85458213
67	0.8632784
68	0.8556083
69	0.8419223
70	0.8402511
71	0.8421215
72	0.83428806
73	0.8353726
74	0.8309622
75	0.8349708
76	0.8498076
77	0.8405709
78	0.83675724
79	0.8393691
80	0.84454465
81	0.834649
82	0.8322119
83	0.84389806
84	0.8419947
85	0.83299714
86	0.8322064
87	0.8387993
88	0.8475865
89	0.84353906
90	0.8332861
91	0.8281623
92	0.83360916
93	0.83913016
94	0.84421945
95	0.8494471
96	0.8536915
97	0.866456
98	0.85349464
99	0.84538096
100	0.8531675
101	0.8576994
102	0.85908514
103	0.8601955
104	0.8538147
105	0.84140176
106	0.83305573
107	0.8314645
108	0.86343503
109	0.82627654
110	0.8468503
111	0.85856867
112	0.8522613
113	0.8266447
114	0.8480839
115	0.8486784
116	0.86355644
117	0.84791857
118	0.84598076
119	0.8500654
120	0.84131944
121	0.84468216
122	0.84371024
123	0.84183156
124	0.8421842
125	0.84878045
126	0.85024416
127	0.84654295
128	0.83970505
129	0.8514209
130	0.8476891
131	0.85296726
132	0.8581203
133	0.8443165
134	0.84599924
135	0.85318935
136	0.8465221
137	0.84330106
138	0.82125556
139	0.84578294
140	0.82561857
141	0.8319416
142	0.8236616
143	0.83807266
144	0.8377796
145	0.8315653
146	0.8252519
147	0.8380494
148	0.8408927
149	0.82829434
150	0.8324014
151	0.84508055
152	0.8514999
153	0.84696406
154	0.83019835
155	0.8472053
156	0.83577585
157	0.8428338
158	0.8323514
159	0.8455927
160	0.8401954
161	0.8507984
162	0.8412257
163	0.8420609
164	0.83226913
165	0.8235111
166	0.8396432
167	0.8328345
168	0.8360993
169	0.82891095
170	0.83480936
171	0.83481926
172	0.83981633
173	0.82183015
174	0.8327247
175	0.83946484
176	0.853458
177	0.8405323
178	0.8430824
179	0.8486629
180	0.8303197
181	0.8261418
182	0.8321241
183	0.82995635
184	0.8327839
185	0.83283645
186	0.84078497
187	0.8404962
188	0.8409668
189	0.8447321
190	0.848826
191	0.8543701
192	0.8529841
193	0.85453653
194	0.85357344
195	0.84371376
196	0.84212303
197	0.83892745
198	0.83209795
199	0.83002776
200	0.8385903
201	0.8364297
202	0.8379662
203	0.8368085
204	0.8454945
205	0.83760595
206	0.8442669
207	0.8436824
208	0.8514908
209	0.85467666
210	0.83143604
211	0.83360213
212	0.8292219
213	0.8415796
214	0.83605057
215	0.84129345
216	0.85543954
217	0.85128546
218	0.8297555
219	0.8301549
220	0.82897776
221	0.8404461
222	0.8409415
223	0.8527792
224	0.8525458
225	0.84379756
226	0.8310796
227	0.82756066
228	0.83581114
229	0.8380249
230	0.84225976
231	0.8424661
232	0.86213124
233	0.8396801
234	0.83865184
235	0.84604394
236	0.8534804
237	0.83122313
238	0.83964336
239	0.8553256
240	0.8466887
241	0.83133006
242	0.84168184
243	0.8521406
244	0.8534925
245	0.8503328
246	0.8454093
247	0.85143614
248	0.83581954
249	0.85280144
250	0.85532176
251	0.8502015
252	0.8435963
253	0.85651845
254	0.8480618
255	0.8704533
