byte	frequency
0	0.896064
1	0.80430496
2	0.79326904
3	0.7992471
4	0.78795
5	0.7856649
6	0.7916261
7	0.7869513
8	0.80004406
9	0.7910179
10	0.8063237
11	0.78816533
12	0.7828935
13	0.80624646
14	0.78269833
15	0.78321135
16	0.795433
17	0.78283054
18	0.7861417
19	0.7838889
20	0.7789638
21	0.7830385
22	0.784172
23	0.78076166
24	0.7800113
25	0.78608936
26	0.7939502
27	0.7819499
28	0.7773073
29	0.78262633
30	0.7751125
31	0.77887815
32	0.79128224
33	0.783341
34	0.77567196
35	0.78492934
36	0.7789949
37	0.7851901
38	0.78458863
39	0.7787521
40	0.7839919
41	0.779889
42	0.78077286
43	0.7783776
44	0.78710663
45	0.80250144
46	0.78866994
47	0.77825636
48	0.80333817
49	0.7932551
50	0.8013709
51	0.79642934
52	0.79193854
53	0.7968003
54	0.792247
55	0.79031736
56	0.7849865
57	0.7937329
58	0.78644425
59	0.7817811
60	0.79345256
61	0.78898364
62	0.7927678
63	0.78772295
64	0.79432434
65	0.8090516
66	0.80581516
67	0.7929114
68	0.81174237
69	0.8110587
70	0.7931798
71	0.79623187
72	0.8082902
73	0.8156094
74	0.7804736
75	0.78610325
76	0.7878125
77	0.79455364
78	0.8043598
79	0.78303033
80	0.80353147
81	0.78190655
82	0.8077189
83	0.7944672
84	0.8078199
85	0.77841306
86	0.7756641
87	0.7856852
88	0.7968889
89	0.78416544
90	0.7775753
91	0.7816314
92	0.779319
93	0.7770755
94	0.7738601
95	0.7766013
96	0.7939306
97	0.8033346
98	0.7970105
99	0.7953066
100	0.7871233
101	0.7919563
102	0.8009419
103	0.79865485
104	0.79203445
105	0.79103726
106	0.78377664
107	0.78794146
108	0.7883909
109	0.7799109
110	0.7857678
111	0.7947915
112	0.788946
113	0.7879956
114	0.79852
115	0.794012
116	0.80196697
117	0.7821383
118	0.7761159
119	0.79603535
120	0.78141236
121	0.79002166
122	0.7864925
123	0.7786664
124	0.7746394
125	0.77545357
126	0.78067535
127	0.7789275
128	0.7967459
129	0.7827998
130	0.7949288
131	0.7817911
132	0.77992404
133	0.77914876
134	0.78248864
135	0.7790105
136	0.7876313
137	0.79438484
138	0.7766398
139	0.7804864
140	0.7804686
141	0.77708846
142	0.7753763
143	0.7822614
144	0.7867636
145	0.785547
146	0.7771889
147	0.78165543
148	0.77637297
149	0.77858204
150	0.77677155
151	0.7827009
152	0.7835309
153	0.78364843
154	0.782562
155	0.78090835
156	0.78028905
157	0.7805666
158	0.7783151
159	0.7763031
160	0.7924786
161	0.78162163
162	0.7787847
163	0.7764856
164	0.78146535
165	0.7802868
166	0.778559
167	0.78003746
168	0.78716516
169	0.78026897
170	0.77516377
171	0.77704585
172	0.77762175
173	0.7791185
174	0.79423237
175	0.77606386
176	0.77690655
177	0.7793128
178	0.78010136
179	0.77810556
180	0.78030103
181	0.7765931
182	0.7767516
183	0.7821803
184	0.7778935
185	0.7846714
186	0.7771935
187	0.78578365
188	0.77949256
189	0.7779482
190	0.77591336
191	0.78099954
192	0.7849104
193	0.77825993
194	0.7796814
195	0.7775866
196	0.78498805
197	0.7795661
198	0.77906543
199	0.776391
200	0.78618693
201	0.78676754
202	0.77923995
203	0.78006375
204	0.78158987
205	0.78133714
206	0.78229153
207	0.7813136
208	0.78032666
209	0.7795819
210	0.7803878
211	0.77469826
212	0.7834397
213	0.77973133
214	0.77605885
215	0.7762383
216	0.7817924
217	0.7787921
218	0.7869774
219	0.7772451
220	0.78534067
221	0.77951306
222	0.77921456
223	0.78015745
224	0.7789545
225	0.7750565
226	0.78030163
227	0.7767673
228	0.78540456
229	0.78102523
230	0.78127307
231	0.7746201
232	0.78316814
233	0.78261936
234	0.7814744
235	0.77749425
236	0.7758844
237	0.7834557
238	0.7856061
239	0.78163606
240	0.77044046
241	0.7744936
242	0.7801873
243	0.78104824
244	0.7819799
245	0.7768973
246	0.77882695
247	0.7810015
248	0.77825135
249	0.7768525
250	0.779855
251	0.7773732
252	0.7831442
253	0.7822562
254	0.78256714
255	0.7961213
