byte	frequency
0	0.9999999
1	1.0
2	1.0
3	0.99998087
4	1.0
5	1.0
6	1.0
7	0.9999999
8	0.9999999
9	0.84309036
10	0.89572155
11	0.9999999
12	0.9999999
13	0.90846515
14	1.0
15	1.0
16	1.0
17	1.0
18	0.9999999
19	0.9999999
20	0.9999999
21	1.0
22	1.0
23	1.0
24	1.0
25	0.9999996
26	1.0
27	1.0
28	1.0
29	1.0
30	1.0
31	1.0
32	0.91531914
33	0.96226084
34	0.8512456
35	0.96168846
36	0.98367774
37	0.9503313
38	0.94591415
39	0.92131865
40	0.94226164
41	0.9422551
42	0.97642636
43	0.9619425
44	0.92400146
45	0.8706015
46	0.8770813
47	0.8039677
48	0.8990791
49	0.9067159
50	0.91575235
51	0.93273294
52	0.93761224
53	0.9411835
54	0.94405997
55	0.9506308
56	0.94376034
57	0.9451311
58	0.91073537
59	0.92444307
60	0.8301997
61	0.9021291
62	0.83078235
63	0.96397185
64	0.9829454
65	0.9390742
66	0.95547473
67	0.94553983
68	0.94110304
69	0.93700373
70	0.94190323
71	0.96468425
72	0.9465709
73	0.94613975
74	0.9724325
75	0.97084075
76	0.94139475
77	0.94239837
78	0.954195
79	0.9520337
80	0.9466562
81	0.97837615
82	0.94974554
83	0.94151866
84	0.9277807
85	0.95690554
86	0.97181845
87	0.9660741
88	0.9777428
89	0.95893806
90	0.9770832
91	0.96333194
92	0.96713436
93	0.9633474
94	0.9935107
95	0.92591757
96	0.9987677
97	0.8052694
98	0.89923084
99	0.8504405
100	0.85609657
101	0.76294553
102	0.9022462
103	0.8967076
104	0.84811103
105	0.80774003
106	0.9413949
107	0.92726403
108	0.83507884
109	0.86798817
110	0.8209423
111	0.811869
112	0.8553277
113	0.9605768
114	0.82861936
115	0.81616765
116	0.7951705
117	0.87614286
118	0.89902097
119	0.893795
120	0.93424356
121	0.90888095
122	0.9608107
123	0.96265334
124	0.9714963
125	0.96267664
126	0.9968537
127	1.0
128	0.9846579
129	0.9956208
130	0.9972035
131	0.996771
132	0.9972075
133	0.9984175
134	0.99850535
135	0.9969459
136	0.997869
137	0.9985188
138	0.99785244
139	0.9986358
140	0.9971797
141	0.9979552
142	0.999067
143	0.99877286
144	0.99826795
145	0.9979198
146	0.99861896
147	0.99421906
148	0.9961745
149	0.99773574
150	0.99703544
151	0.9969319
152	0.9977302
153	0.9919457
154	0.99871534
155	0.9990297
156	0.99454343
157	0.99613225
158	0.9981174
159	0.99870056
160	0.9899971
161	0.9970215
162	0.9965095
163	0.9978954
164	0.9967993
165	0.99702966
166	0.9960824
167	0.99603117
168	0.99679726
169	0.9943872
170	0.99679404
171	0.99812335
172	0.9974399
173	0.9963537
174	0.9975038
175	0.99845284
176	0.99589425
177	0.9962411
178	0.9970166
179	0.9967365
180	0.99701035
181	0.9972517
182	0.998812
183	0.9981064
184	0.99479514
185	0.9962157
186	0.99603397
187	0.99617517
188	0.996875
189	0.9971882
190	0.9974604
191	0.99720585
192	0.9999235
193	0.99991995
194	0.98929065
195	0.9920796
196	0.99816495
197	0.9985125
198	0.99988836
199	0.999894
200	0.99985
201	0.9996927
202	0.9997771
203	0.9997832
204	0.99987483
205	0.9999234
206	0.9986051
207	0.9995458
208	0.9942437
209	0.9960596
210	0.99982685
211	0.9998368
212	0.9998463
213	0.99977344
214	0.99876136
215	0.9974416
216	0.99630624
217	0.99750155
218	0.999749
219	0.99885774
220	0.9999535
221	0.99998087
222	0.99998087
223	0.9999249
224	0.9949483
225	0.9982199
226	0.98573184
227	0.9982592
228	0.997221
229	0.99816465
230	0.99652004
231	0.9975832
232	0.9979797
233	0.998219
234	0.99877656
235	0.9995743
236	0.9986175
237	0.99867547
238	0.99990207
239	0.9986705
240	0.99983156
241	0.9998788
242	0.99997616
243	0.99986565
244	0.9999812
245	0.99999845
246	0.99991906
247	0.99998
248	0.99996465
249	0.9999754
250	0.99996555
251	0.9999237
252	0.99991906
253	0.9999237
254	0.9999237
255	1.0
