byte	frequency
0	0.99935615
1	0.9999202
2	0.99991876
3	0.9998891
4	0.99990624
5	0.99990594
6	0.9999059
7	0.999905
8	0.99991876
9	0.78291637
10	0.79685426
11	0.9999001
12	0.99944943
13	0.8666688
14	0.99989855
15	0.999905
16	0.99991876
17	0.9999059
18	0.9999047
19	0.99987304
20	0.9998743
21	0.999905
22	0.99987316
23	0.99987423
24	0.9999061
25	0.999905
26	0.9999059
27	0.99990594
28	0.9999047
29	0.99990284
30	0.99990153
31	0.9999003
32	0.80118185
33	0.93541026
34	0.7542664
35	0.91454554
36	0.9451895
37	0.94468427
38	0.9147837
39	0.8878105
40	0.8372362
41	0.8373372
42	0.897226
43	0.92439914
44	0.85563165
45	0.8272003
46	0.82004607
47	0.8113936
48	0.8285859
49	0.8574324
50	0.86576515
51	0.8904499
52	0.89412403
53	0.88907063
54	0.9042127
55	0.9124895
56	0.90765196
57	0.90255374
58	0.83968526
59	0.82240266
60	0.8126699
61	0.80130637
62	0.8141235
63	0.946216
64	0.9741919
65	0.92009443
66	0.9407792
67	0.92317265
68	0.9276459
69	0.92439026
70	0.9354147
71	0.94247043
72	0.9453534
73	0.9294631
74	0.96528625
75	0.9640788
76	0.93340516
77	0.9277798
78	0.9314791
79	0.9315927
80	0.93197745
81	0.9653836
82	0.9308493
83	0.9112399
84	0.92291623
85	0.943363
86	0.960508
87	0.9505957
88	0.9674082
89	0.9590783
90	0.9751119
91	0.9249601
92	0.96056455
93	0.924989
94	0.98302853
95	0.8696809
96	0.99710715
97	0.78427434
98	0.85946876
99	0.8377253
100	0.82316047
101	0.7533655
102	0.86099255
103	0.8516428
104	0.85645753
105	0.7839057
106	0.9304274
107	0.9092522
108	0.82063663
109	0.86282235
110	0.7972787
111	0.79320276
112	0.82611066
113	0.94978
114	0.8048128
115	0.8025842
116	0.76215017
117	0.8503181
118	0.8769715
119	0.8824622
120	0.8793147
121	0.89208204
122	0.93682325
123	0.86014885
124	0.9368367
125	0.86015236
126	0.99536467
127	0.99985576
128	0.99059045
129	0.99912053
130	0.99906856
131	0.9992824
132	0.9991553
133	0.9993873
134	0.9993433
135	0.9993047
136	0.9992541
137	0.9993803
138	0.9993869
139	0.99942863
140	0.9993825
141	0.9994329
142	0.99957323
143	0.999421
144	0.99931395
145	0.99938244
146	0.9995831
147	0.9963794
148	0.9977957
149	0.9994276
150	0.99922127
151	0.9993768
152	0.99912405
153	0.996712
154	0.99936575
155	0.9994827
156	0.9971756
157	0.9979088
158	0.99949306
159	0.9996136
160	0.9988845
161	0.9987662
162	0.9990542
163	0.9993263
164	0.99877244
165	0.99908906
166	0.9979912
167	0.99890196
168	0.99896896
169	0.99571174
170	0.9991068
171	0.99887425
172	0.9991654
173	0.99878144
174	0.99908864
175	0.99921095
176	0.99794775
177	0.99903935
178	0.99923825
179	0.9988168
180	0.9990199
181	0.9991912
182	0.99913096
183	0.99916375
184	0.9987951
185	0.99900526
186	0.997714
187	0.99643147
188	0.9986641
189	0.99905616
190	0.9992755
191	0.99795467
192	0.99972206
193	0.99980545
194	0.9945797
195	0.9962207
196	0.9994536
197	0.999466
198	0.9997507
199	0.9997962
200	0.9998253
201	0.9998198
202	0.9997629
203	0.99981
204	0.9997286
205	0.99985
206	0.999576
207	0.9997023
208	0.999263
209	0.9994172
210	0.9997629
211	0.99977946
212	0.9998759
213	0.9997473
214	0.99977654
215	0.99969363
216	0.999495
217	0.9995937
218	0.9997702
219	0.9998053
220	0.99980646
221	0.9997984
222	0.9998232
223	0.9998377
224	0.99941564
225	0.9996757
226	0.9904333
227	0.99928147
228	0.999204
229	0.9988171
230	0.99897987
231	0.99915165
232	0.99916476
233	0.9990857
234	0.99976534
235	0.9996284
236	0.999441
237	0.9996058
238	0.99979514
239	0.9979282
240	0.99981433
241	0.9998206
242	0.99982256
243	0.9997204
244	0.999739
245	0.99983585
246	0.99979657
247	0.9998173
248	0.9997379
249	0.99979943
250	0.99985117
251	0.9998576
252	0.999669
253	0.99981433
254	0.99982667
255	0.9998946
