byte	frequency
0	0.9893148
1	0.92764133
2	0.8924414
3	0.8802118
4	0.87055856
5	0.8653048
6	0.8700785
7	0.87480927
8	0.8756005
9	0.8741503
10	0.8713897
11	0.876559
12	0.8715028
13	0.87115526
14	0.87496287
15	0.8760116
16	0.8695582
17	0.8713604
18	0.8696872
19	0.8717953
20	0.8720042
21	0.8715841
22	0.87010735
23	0.8708246
24	0.8695985
25	0.8712193
26	0.8697438
27	0.869184
28	0.87051505
29	0.8708823
30	0.8707609
31	0.8720922
32	0.8359053
33	0.86322445
34	0.86941427
35	0.8720789
36	0.8715184
37	0.87156993
38	0.8710538
39	0.8718882
40	0.8694239
41	0.87091696
42	0.8703974
43	0.8710642
44	0.8694024
45	0.8687209
46	0.87060076
47	0.87251353
48	0.86402655
49	0.86834484
50	0.86951256
51	0.86964434
52	0.86940175
53	0.8706848
54	0.8688034
55	0.8701704
56	0.868535
57	0.8701553
58	0.8693966
59	0.8698932
60	0.8709419
61	0.8660936
62	0.8691669
63	0.87089
64	0.8654636
65	0.86349934
66	0.8662779
67	0.86955076
68	0.86564046
69	0.8700298
70	0.86809087
71	0.870126
72	0.87017727
73	0.87049437
74	0.8702552
75	0.87105316
76	0.8679247
77	0.87191963
78	0.8679511
79	0.86956584
80	0.86713856
81	0.87038666
82	0.86973506
83	0.8710151
84	0.86956173
85	0.86915916
86	0.86903876
87	0.8703416
88	0.86972576
89	0.8708311
90	0.8697967
91	0.8696598
92	0.87157
93	0.86972845
94	0.87046653
95	0.86772346
96	0.86614543
97	0.8679308
98	0.86939603
99	0.8688662
100	0.87228733
101	0.86845183
102	0.8704073
103	0.87114877
104	0.86968625
105	0.8720144
106	0.86955494
107	0.87130946
108	0.8710258
109	0.8703203
110	0.87034374
111	0.8698928
112	0.86831325
113	0.8700757
114	0.8707816
115	0.87304515
116	0.8699973
117	0.87080044
118	0.8701815
119	0.8670231
120	0.8697208
121	0.8692332
122	0.8696749
123	0.868069
124	0.86885256
125	0.86970484
126	0.8717109
127	0.86597306
128	0.86439663
129	0.86733866
130	0.8652124
131	0.868068
132	0.86611974
133	0.8683426
134	0.8688943
135	0.8733517
136	0.8698906
137	0.8697122
138	0.8705518
139	0.8705132
140	0.86812156
141	0.86878353
142	0.8699931
143	0.86803025
144	0.8710072
145	0.87082136
146	0.8695541
147	0.86938214
148	0.8690394
149	0.86987835
150	0.8687078
151	0.87175995
152	0.870254
153	0.8727138
154	0.87109125
155	0.8728899
156	0.8701948
157	0.8705942
158	0.8710859
159	0.8728128
160	0.877355
161	0.86958456
162	0.8701151
163	0.8708902
164	0.8685442
165	0.87067217
166	0.86943674
167	0.8691074
168	0.8685759
169	0.86886597
170	0.86804444
171	0.8680791
172	0.87165
173	0.8688128
174	0.8701328
175	0.8673102
176	0.86685246
177	0.87017995
178	0.8696388
179	0.8717792
180	0.870355
181	0.8713973
182	0.87287873
183	0.87232375
184	0.870457
185	0.8712083
186	0.8692428
187	0.8690278
188	0.8706513
189	0.87482655
190	0.8732875
191	0.8715657
192	0.87066954
193	0.869989
194	0.8703989
195	0.8712584
196	0.8710541
197	0.8691618
198	0.8668746
199	0.86963254
200	0.87600625
201	0.87109554
202	0.86932594
203	0.86926585
204	0.8697354
205	0.872441
206	0.87031865
207	0.869834
208	0.86973536
209	0.87024844
210	0.8725888
211	0.8696467
212	0.87035364
213	0.8697632
214	0.87290156
215	0.86967033
216	0.8699906
217	0.8697664
218	0.8700583
219	0.868237
220	0.8737615
221	0.87282115
222	0.871804
223	0.86921656
224	0.8690456
225	0.87094784
226	0.8716789
227	0.86790985
228	0.8703064
229	0.869796
230	0.87171876
231	0.8683619
232	0.8706863
233	0.86998415
234	0.86987543
235	0.86939305
236	0.8697364
237	0.86935407
238	0.8666895
239	0.8663653
240	0.8678248
241	0.8684638
242	0.87153006
243	0.869417
244	0.8713142
245	0.868615
246	0.87026584
247	0.8679736
248	0.8673345
249	0.8784682
250	0.8685614
251	0.86832833
252	0.86874026
253	0.8668112
254	0.8636703
255	0.8327983
