byte	frequency
0	0.9087088
1	0.86151385
2	0.9073987
3	0.8760877
4	0.87086546
5	0.89282715
6	0.90366554
7	0.8690169
8	0.89720595
9	0.8992565
10	0.8838299
11	0.9043206
12	0.886482
13	0.90362084
14	0.8795491
15	0.8733275
16	0.8956255
17	0.89222544
18	0.89149064
19	0.90278566
20	0.86416453
21	0.87917435
22	0.9061854
23	0.9050776
24	0.8692278
25	0.8699292
26	0.91464734
27	0.8797731
28	0.8727568
29	0.88238126
30	0.880292
31	0.88251776
32	0.8700169
33	0.9035551
34	0.9004338
35	0.8773521
36	0.85991913
37	0.89815825
38	0.90516496
39	0.8770986
40	0.88598233
41	0.90925944
42	0.89377666
43	0.881575
44	0.89254206
45	0.88830614
46	0.90371263
47	0.90729636
48	0.8969692
49	0.89222664
50	0.8992318
51	0.8922855
52	0.90615404
53	0.8864174
54	0.8881113
55	0.8849628
56	0.8813929
57	0.87752116
58	0.89450896
59	0.8797027
60	0.8641832
61	0.8740523
62	0.86945665
63	0.8567406
64	0.89532113
65	0.9048775
66	0.90022063
67	0.90349543
68	0.90208656
69	0.87074095
70	0.8650482
71	0.8662464
72	0.87548566
73	0.8617922
74	0.88090414
75	0.86959624
76	0.90701926
77	0.87237066
78	0.865961
79	0.84950936
80	0.8781796
81	0.8679979
82	0.8784354
83	0.8847212
84	0.8717347
85	0.88040847
86	0.86155653
87	0.858936
88	0.8729733
89	0.8715794
90	0.87137634
91	0.86332184
92	0.8685744
93	0.864369
94	0.86479384
95	0.8699055
96	0.8862754
97	0.88796884
98	0.8837449
99	0.856606
100	0.8718802
101	0.87034607
102	0.87708414
103	0.8584285
104	0.8884085
105	0.8527132
106	0.8725485
107	0.8466011
108	0.8745961
109	0.8411206
110	0.8503465
111	0.85789627
112	0.8625386
113	0.8496254
114	0.85803825
115	0.84991866
116	0.86703974
117	0.8539941
118	0.84765494
119	0.85138965
120	0.8494603
121	0.84505564
122	0.8551674
123	0.85750043
124	0.84075075
125	0.8522277
126	0.8595925
127	0.8531977
128	0.8470695
129	0.8660244
130	0.8604949
131	0.861718
132	0.88095886
133	0.8675197
134	0.8556146
135	0.87443453
136	0.8746893
137	0.86645895
138	0.8424947
139	0.8770943
140	0.846289
141	0.8647271
142	0.8365672
143	0.85112154
144	0.87532943
145	0.8579303
146	0.8459459
147	0.868909
148	0.88184947
149	0.85178405
150	0.8518772
151	0.8663816
152	0.88363314
153	0.8827793
154	0.8750522
155	0.88961405
156	0.8650008
157	0.87581253
158	0.845838
159	0.866514
160	0.8931149
161	0.88716435
162	0.87389493
163	0.8750326
164	0.88289917
165	0.86131114
166	0.8927347
167	0.85690194
168	0.87917715
169	0.86721724
170	0.8827022
171	0.87501335
172	0.8773735
173	0.86379683
174	0.86221856
175	0.85626525
176	0.88965106
177	0.8757289
178	0.88539827
179	0.87262154
180	0.86793864
181	0.848744
182	0.86511004
183	0.8477311
184	0.8719812
185	0.86077803
186	0.8790915
187	0.864021
188	0.87254834
189	0.8762265
190	0.87276685
191	0.86630803
192	0.86712456
193	0.87269
194	0.8786991
195	0.86811644
196	0.87025034
197	0.8700151
198	0.8534617
199	0.82989997
200	0.87147033
201	0.858545
202	0.8785225
203	0.8673188
204	0.8669846
205	0.87508744
206	0.8720902
207	0.8559605
208	0.90736395
209	0.89034307
210	0.86477697
211	0.8619074
212	0.87323624
213	0.8821523
214	0.85934746
215	0.854471
216	0.89550483
217	0.8858318
218	0.84723383
219	0.8576843
220	0.8631633
221	0.86502993
222	0.8751393
223	0.8868092
224	0.8633677
225	0.8630769
226	0.8505846
227	0.84000933
228	0.8603216
229	0.8707262
230	0.8724558
231	0.8543295
232	0.8942063
233	0.8699054
234	0.8705023
235	0.8652872
236	0.8888187
237	0.85606647
238	0.86656016
239	0.8811898
240	0.85632765
241	0.841044
242	0.86244303
243	0.877774
244	0.8855389
245	0.8661778
246	0.8626864
247	0.87738436
248	0.84665453
249	0.8849183
250	0.87066275
251	0.89275575
252	0.8655202
253	0.89669806
254	0.8763635
255	0.8665893
