,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31,Byte 32,Byte 33,Byte 34,Byte 35,Byte 36,Byte 37,Byte 38,Byte 39,Byte 40,Byte 41,Byte 42,Byte 43,Byte 44,Byte 45,Byte 46,Byte 47,Byte 48,Byte 49,Byte 50,Byte 51,Byte 52,Byte 53,Byte 54,Byte 55,Byte 56,Byte 57,Byte 58,Byte 59,Byte 60,Byte 61,Byte 62,Byte 63,Byte 64,Byte 65,Byte 66,Byte 67,Byte 68,Byte 69,Byte 70,Byte 71,Byte 72,Byte 73,Byte 74,Byte 75,Byte 76,Byte 77,Byte 78,Byte 79,Byte 80,Byte 81,Byte 82,Byte 83,Byte 84,Byte 85,Byte 86,Byte 87,Byte 88,Byte 89,Byte 90,Byte 91,Byte 92,Byte 93,Byte 94,Byte 95,Byte 96,Byte 97,Byte 98,Byte 99,Byte 100,Byte 101,Byte 102,Byte 103,Byte 104,Byte 105,Byte 106,Byte 107,Byte 108,Byte 109,Byte 110,Byte 111,Byte 112,Byte 113,Byte 114,Byte 115,Byte 116,Byte 117,Byte 118,Byte 119,Byte 120,Byte 121,Byte 122,Byte 123,Byte 124,Byte 125,Byte 126,Byte 127,Byte 128,Byte 129,Byte 130,Byte 131,Byte 132,Byte 133,Byte 134,Byte 135,Byte 136,Byte 137,Byte 138,Byte 139,Byte 140,Byte 141,Byte 142,Byte 143,Byte 144,Byte 145,Byte 146,Byte 147,Byte 148,Byte 149,Byte 150,Byte 151,Byte 152,Byte 153,Byte 154,Byte 155,Byte 156,Byte 157,Byte 158,Byte 159,Byte 160,Byte 161,Byte 162,Byte 163,Byte 164,Byte 165,Byte 166,Byte 167,Byte 168,Byte 169,Byte 170,Byte 171,Byte 172,Byte 173,Byte 174,Byte 175,Byte 176,Byte 177,Byte 178,Byte 179,Byte 180,Byte 181,Byte 182,Byte 183,Byte 184,Byte 185,Byte 186,Byte 187,Byte 188,Byte 189,Byte 190,Byte 191,Byte 192,Byte 193,Byte 194,Byte 195,Byte 196,Byte 197,Byte 198,Byte 199,Byte 200,Byte 201,Byte 202,Byte 203,Byte 204,Byte 205,Byte 206,Byte 207,Byte 208,Byte 209,Byte 210,Byte 211,Byte 212,Byte 213,Byte 214,Byte 215,Byte 216,Byte 217,Byte 218,Byte 219,Byte 220,Byte 221,Byte 222,Byte 223,Byte 224,Byte 225,Byte 226,Byte 227,Byte 228,Byte 229,Byte 230,Byte 231,Byte 232,Byte 233,Byte 234,Byte 235,Byte 236,Byte 237,Byte 238,Byte 239,Byte 240,Byte 241,Byte 242,Byte 243,Byte 244,Byte 245,Byte 246,Byte 247,Byte 248,Byte 249,Byte 250,Byte 251,Byte 252,Byte 253,Byte 254,Byte 255
Trailer 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8423998,0.0,0.0,7.9999916E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9999916E-4,0.0,0.0,0.0,7.9999916E-4,0.0,0.0,0.0,0.0,0.0,0.0,7.999985E-4,0.0,0.0015999998,0.0,0.09999989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9999916E-4,0.0,0.0,7.9999916E-4,0.0,0.0,0.0,0.0,0.0,0.0,7.9999916E-4,0.0,7.999985E-4,0.0,0.0,0.0,7.999985E-4,7.9999916E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0015999998,0.0,0.0,0.0,0.0015999983,7.9999916E-4,0.0,7.999999E-4,7.9999916E-4,0.0,0.0,0.0015999983,7.999999E-4,0.0,0.0024000003,0.0,0.0,0.0015999983,0.0015999989,0.002399999,7.999999E-4,0.0015999998,0.0,0.0,0.0024000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trailer 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54160047,0.0,0.0,0.036000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0272,0.0,7.9999916E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9999916E-4,0.0063999994,0.0,0.0039999965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9999916E-4,7.9999916E-4,0.0,0.0,0.002399999,0.0,0.2672001,7.9999916E-4,0.0,0.0015999983,0.0,0.0,0.0,0.0,0.0,0.0,0.0031999967,0.0,0.0,0.0,0.0015999983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022399992,0.0,0.0024000003,0.009599996,0.03440003,0.0,7.999985E-4,0.0015999998,7.999999E-4,0.0,0.0,0.0056000003,0.0,0.011999999,0.0,0.002399999,7.999999E-4,0.0,0.0072000055,0.0024000003,7.999985E-4,0.0,0.0,0.0015999989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trailer 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027199995,0.0,0.0039999965,0.0,0.0,0.0,7.999999E-4,0.0,0.0,0.0,0.0,0.0,7.999985E-4,0.0071999975,0.0,7.9999916E-4,7.9999916E-4,0.0,0.0,0.0,0.0,7.9999916E-4,0.0,0.0,0.0,7.9999916E-4,7.9999916E-4,0.0,0.0015999998,0.0,0.56880003,0.0,0.0,0.0015999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0048000007,0.0,0.0,0.0,7.999985E-4,0.0048000007,0.0,0.0,0.0,0.0,7.9999916E-4,7.999999E-4,7.999999E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022399992,0.0,0.029600004,0.051999994,0.025599973,0.0,0.031200007,0.0,7.9999916E-4,0.0,0.0,0.0064000017,0.0104,0.05519998,0.013600012,0.0047999956,0.0,7.9999916E-4,0.009600008,0.09440003,0.0,0.0,0.0,0.0,0.0039999965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trailer 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.999999E-4,0.0,0.0,0.007999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033599988,0.0,7.999999E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015999983,0.0015999983,0.0,7.9999916E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9999916E-4,0.0,7.999985E-4,0.0,0.0,0.002399999,0.0,0.0,7.9999916E-4,0.0,0.0,0.0,7.999999E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048000007,0.0,0.0,0.0031999967,0.0,0.0,7.9999916E-4,0.004799998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9999916E-4,0.0,0.55040044,0.008000006,0.013599991,0.0031999997,0.018399995,0.0015999998,7.9999916E-4,7.9999916E-4,0.016000003,0.0,0.0039999965,0.0063999994,0.012799999,0.0072000017,0.08639997,0.015999986,0.0,0.039199997,0.12879995,0.016800016,0.0,7.9999916E-4,7.9999916E-4,7.9999916E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trailer 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02559999,0.0,7.9999916E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048000007,0.0,0.0039999965,0.0,7.9999916E-4,0.0,0.0,0.0,7.9999916E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0039999965,7.999999E-4,0.007999993,0.0,0.0,0.0,0.0,0.0,7.999985E-4,0.0015999998,0.0,0.0,0.0015999983,0.0,7.9999916E-4,0.0,7.9999916E-4,7.999999E-4,0.0,0.0,0.0048000007,0.0,0.0,7.9999916E-4,0.0031999967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0112000005,0.0047999965,0.0015999983,0.02160001,0.0968,0.0,7.9999916E-4,0.007999993,0.063200034,0.0,0.0,0.04800001,0.011999999,0.013600003,0.008000001,0.0031999967,0.0,0.056000005,0.0071999975,0.5455999,0.028800007,7.9999916E-4,0.0,7.9999916E-4,0.0,7.999999E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trailer 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9999916E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027200006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005600004,7.9999916E-4,0.05279999,0.0,7.9999916E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.999999E-4,0.0,0.0071999994,0.0,0.0072000055,0.0,0.0,0.0,0.0,7.9999916E-4,0.0,0.0,7.9999916E-4,0.0,7.9999916E-4,0.0031999967,0.0,0.0,0.0,0.0015999998,0.0024000003,0.0,7.9999916E-4,0.0,0.0,7.9999916E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57600033,0.0,0.012799999,0.012000009,0.023200009,0.08,0.0,0.012799999,0.012799999,0.0015999983,0.0,0.005599998,0.0015999983,0.018399999,0.03440003,0.012800002,0.0,0.0,0.0152000105,0.047999997,0.015200008,7.9999916E-4,0.0,7.9999916E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015999983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trailer 6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015999983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0264,0.0,7.9999916E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.999999E-4,0.0,0.0064000017,0.0023999985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024000003,0.0,0.05279999,0.0,0.0031999997,0.0,0.0,0.0031999967,0.0,0.0,0.0,0.0048000007,0.0,0.0,0.0,0.005600004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014400011,7.9999916E-4,0.018400008,0.53760076,0.0047999956,0.0039999965,7.999999E-4,0.0048000007,0.09520003,0.0112000005,0.0,0.0104,0.002399999,0.0024000003,0.017599996,0.042400002,0.0031999967,0.011999999,0.04639999,0.053599983,7.999985E-4,0.0015999989,0.0,0.0,7.999999E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9999916E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015999983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trailer 7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050400004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0264,0.0,7.9999916E-4,0.0,0.0,0.0,7.999985E-4,0.0,0.0,0.0,0.0,0.0,7.999985E-4,0.0048000007,0.0024000003,0.019199992,0.0023999985,0.0,0.0,0.0,7.9999916E-4,0.0,0.0,0.0,0.0,0.0,0.008800004,0.0,0.0056000003,0.0,0.0032000004,0.0,0.0,0.0063999933,0.0,0.0,0.0,0.0,0.0,0.0,0.0031999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0031999967,7.9999916E-4,0.0,7.9999916E-4,0.0,0.0024000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015999983,0.0,0.5679998,0.0031999997,0.011999999,0.0015999983,0.06240003,0.0015999998,0.0,7.999999E-4,0.048799984,0.0,7.999999E-4,0.0015999983,0.0048000007,0.078400016,0.0039999965,0.004,0.0,0.01759996,0.022399992,0.017600007,0.0039999965,0.0,0.0,0.0,7.999999E-4,0.0,0.0,0.0,0.0,0.0,0.0,7.9999916E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trailer 8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039999965,0.0,0.0,7.9999916E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028800003,0.0,7.999999E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9999916E-4,0.0015999998,0.017600007,0.0023999985,0.0,7.9999916E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072000055,0.0,0.0216,0.0,0.050400004,0.0,0.0,7.9999916E-4,0.0,7.999999E-4,7.999999E-4,0.0015999989,0.0,0.0,0.0,7.999999E-4,0.0,0.0,0.0024000003,0.0072,0.0024000003,0.0048000007,7.9999916E-4,0.0,7.9999916E-4,7.9999916E-4,0.0,0.0,0.0,7.9999916E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07360005,0.0015999983,0.060800005,0.0015999983,0.02160001,0.0,7.999999E-4,7.9999916E-4,0.0144,0.0,0.0,0.007999993,0.011999999,0.009600001,0.005599998,7.9999916E-4,0.0,0.06959988,0.013599997,0.5399996,7.999985E-4,0.0,0.0,7.999999E-4,0.001599997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9999916E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trailer 9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027200006,0.0,0.0015999983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024000003,0.0,0.05040003,0.0,7.999999E-4,0.0023999985,0.0,0.0,0.0,0.0,7.9999916E-4,0.0,0.0,0.035200015,0.0,0.017600007,0.0,0.015200005,0.0,0.0,0.0,0.0,0.0,0.0039999965,7.9999916E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0056000003,0.0,0.0024000003,0.0,0.0,0.0,7.9999916E-4,0.0,0.0,0.0,0.0,0.0,7.9999916E-4,0.0,0.0,0.0,0.0,0.0,0.0056000003,0.0,0.0072,0.0015999983,0.053599987,7.999985E-4,0.5943999,0.0031999997,0.0,7.9999916E-4,0.008799998,0.0,0.0,0.0039999965,0.079199955,0.0071999994,0.0039999965,0.0024000003,0.0,0.013600003,0.022400001,0.0,0.0015999983,0.0,0.0,0.007999993,7.9999916E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9999916E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
