Units,Min,Avg,Max
tonne,100,13,45
lbs,200,522,9862
pound,200,294,5277
cm,200,3447,20154
dollar,500,427,1999
kilos,300,97,250
feet,200,949,105842
tons,200,1846,8000
meters,200,1181,63781
in,200,92292,84590
gallon,200,340,3000
degrees,200,59,6000
inch,200,15,16334
weeks,288,37,260
ft,200,1596,90000
degree,200,6,850
mg,200,385,2572
hours,200,34,42012
gal,188,123,1000
kilometers,200,245,35800
yard,1,306,1000
c,200,290,6343
kg,200,564,15622
g,200,247,40307
kilogram,200,24,222
k,200,703,25735
mi,200,341,2500
days,200,176,110589
miles,200,383,111746
oz,200,4428,8022
