Language,Optimaize,Tika
af,20,0
an,3,0
ar,66,0
ast,212,0
be,2,3
bg,40,0
bn,14,0
br,157,0
ca,86,196
cs,51,0
cy,22,0
da,502,69
de,969,863
el,36,31
en,641962,507127
eo,0,392
es,1335,1084
et,16,21651
eu,2,0
fa,19,87
fi,282,464
fr,1049,15697
ga,7,0
gl,13,2441
he,22,0
hi,54,0
hr,17,0
ht,3,0
hu,55,3826
id,17,0
is,2,640
it,79,33435
ja,332,0
ko,87,0
lt,11,20452
lv,15,0
mk,10,0
ms,14,0
mt,13,0
nl,167,159
no,173,21261
oc,24,0
pl,72,112
pt,351,220
ro,28,23834
ru,125,166
sk,22,2031
sl,20,160
so,8,0
sq,1,0
sr,6,0
sv,71,55
sw,13,0
th,235,228
tl,64,0
tr,64,0
uk,22,144
ur,15,0
vi,76,0
zh,315,0
n/a,7360,0
