Language,Optimaize,Tika
af,44,0
an,6,0
ar,213,0
ast,218,0
be,6,14
bg,72,0
bn,35,0
br,267,0
ca,275,813
cs,124,0
cy,106,0
da,537,215
de,1494,1212
el,130,118
en,1015848,800635
eo,0,522
es,3046,2419
et,36,36371
eu,11,0
fa,73,341
fi,350,993
fr,3308,25706
ga,29,0
gl,61,4493
he,68,0
hi,86,0
hr,102,0
ht,47,0
hu,126,12384
id,73,0
is,76,1387
it,600,51481
ja,987,0
kn,1,0
ko,348,0
lt,42,327552
lv,42,0
mk,20,0
ml,15,0
ms,33,0
mt,29,0
ne,1,0
nl,339,341
no,527,36405
oc,24,0
pl,197,376
pt,630,963
ro,121,39431
ru,468,572
sk,65,6502
sl,39,874
so,16,0
sq,33,0
sr,26,0
sv,175,279
sw,15,0
ta,24,0
te,1,0
th,325,318
tl,115,0
tr,160,0
uk,92,369
ur,63,0
vi,172,0
zh,527,0
n/a,319955,8
