State,Solr Index Size,Actual File Size
application/atom%2Bxml,23299358.72,2861474.0
application/dif%2Bxml,24190648.32,333425.0
application/dita%2Bxml%3B+format%3Dconcept,5033164.8,624292.0
application/epub%2Bzip,38952.9626214,1849880.0
application/fits,61440.0,1519883.0
application/gzip,25658654.72,27450487.0
application/java-vm,3187.67104,65427.0
application/msword,3764387.84,22546152.0
application/msword,3764387.84,22546152.0
application/ogg,84840.28416,1679980.0
application/postscript,3722444.8,6439634.0
application/rdf%2Bxml,15435038.72,4497845.0
application/rss%2Bxml,69153587.2,2120588.0
application/rtf,155755.47904,3232339.0
application/vnd.google-earth.kml%2Bxml,4362076.16,3609193.0
application/vnd.ms-excel,3554672.64,6449662.0
application/vnd.ms-excel.sheet.4,3219.12832,12338.0
application/vnd.ms-htmlhelp,3156.21376,61724.0
application/vnd.oasis.opendocument.presentation,3313.50016,62295.0
application/vnd.oasis.opendocument.text,32516.34176,287315.0
application/vnd.rn-realmedia,1153433.6,6424167.0
application/vnd.sun.xml.writer,3219.12832,6876.0
application/x-7z-compressed,6847.20128,126920.0
application/x-bibtex-text-file,1499463.68,238478.0
application/x-bittorrent,10590.6176,13708.0
application/x-bzip,25260.19584,393216.0
application/x-bzip2,142648.27904,3665151.0
application/x-debian-package,15707.66848,251328.0
application/x-elc,4666163.2,1336522.0
application/x-executable,72613.888,6289371.0
application/x-font-ttf,45015.36768,564439.0
application/x-grib,10674.50368,16240.0
application/x-gtar,173497.38496,2746784.0
application/x-java-jnilib,3229.61408,12247069.0
application/x-lha,6773.80096,111993.0
application/x-msdownload%3B+format%3Dpe,3282.04288,63897.0
application/x-msdownload%3B+format%3Dpe32,45046.82496,8968686.0
application/x-msdownload,347057.68448,8298068.0
application/x-msmetafile,20950.54848,108368.0
application/x-rar-compressed,3219.12832,65536.0
application/x-rpm,10664.01792,190617.0
application/x-sh,16661872.64,1598539.0
application/x-shockwave-flash,1405091.84,9472921.0
application/x-sqlite3,3145.728,65536.0
application/x-stuffit,3145.728,64604.0
video/x-ms-asf,114336.72704,1596198.0
application/x-tar,78643.2,1887534.0
application/x-tex,13925.08928,284913.0
application/x-tika-msoffice,22124953.6,22117797.0
application/x-tika-ooxml,23918018.56,15726724.0
application/x-xz,13641.97376,711363.0
application/xml,50195333.12,425135.0
application/xslt%2Bxml,14008.97536,118657.0
application/zip,25868369.92,3798251.0
application/zlib,43337.64608,9185523.0
audio/basic,203161.6,2042987.0
audio/mp4,64445.48096,936924.0
audio/mpeg,9992929.28,16754991.0
audio/vorbis,19964.88704,214741.0
audio/x-aiff,45308.96896,67551346.0
audio/x-flac,6847.20128,131072.0
audio/x-mpegurl,3103.78496,105.0
audio/x-ms-wma,316407.808,7413250.0
audio/x-wav,157831.65952,3808558.0
image/svg%2Bxml,5075107.84,546106.0
image/vnd.adobe.photoshop,15550.38208,257841.0
image/vnd.dwg,10391.38816,194069.0
image/vnd.microsoft.icon,25836912.64,635049.0
image/x-bpg,30461.1328,123749.0
image/x-ms-bmp,228243.53792,2251647.0
image/x-xcf,3061.84192,7099.0
message/rfc822,3481272.32,512632.0
message/x-emlx,3135.24224,18220.0
text/troff,6815.744,5838.0
text/x-csrc,10831.79008,89120.0
text/x-diff,3061.84192,2845.0
text/x-jsp,10968.10496,48994.0
text/x-matlab,19933429.76,2407355.0
text/x-perl,34057.74848,85563.0
text/x-php,67087.89248,361779.0
text/x-python,20950.54848,104437.0
text/x-vcard,27126.66112,10713.0
video/mp4,10391388.16,6498981.0
video/quicktime,14921236.48,6519115.0
video/x-flv,20761.8048,2708503.0
