State,Max,Mean,Min
lbs,12200.0,758.2795588235299,0.0
pound,686.0,275.642,0.73
cm,2015.0,193.79615384615389,2.0
years,9000.0,47.049731182795696,0.0
feet,5500.0,521.8574850299402,0.0
tons,82.0,16.8375,0.0
year,2015.0,168.1818181818182,0.0
mins,40.0,16.55072463768116,5.0
centimeter,21.0,11.0,1.0
lb,75000.0,8273.377777777778,1.0
hrs,59.0,27.5,1.0
kilometer,25.0,25.0,25.0
ton,1999.0,405.4,1.0
weeks,64.0,10.795454545454545,2.0
week,2016.0,67.06060606060606,1.0
inches,500.0,17.175137614678906,0.02
hr,31.0,18.58,1.0
hours,900.0,28.011946902654866,0.0
kilometers,1000.0,223.58333333333334,0.0
foot,9036.0,1164.4102564102564,0.0
kg,2015.0,1766.0752173913038,0.82
month,2013.0,65.66428571428571,1.0
day,2015.0,111.4730588235294,0.0
minute,1000.0,45.81509433962264,1.0
kilometres,295.0,102.85714285714286,0.0
yard,880.0,224.34583333333333,6.1
hour,36.0,18.214285714285715,1.0
g,16000000000.0,590861.6242868021,0.0
pounds,800.0,98.35622641509434,0.0
months,100.0,10.577120822622108,2.0
m,27736351737.0,2777723.1990532903,0.0
days,738.0,40.90384122919335,0.0
km,3200.0,135.34098360655736,0.0
s,27789599040.0,15258221.735983873,0.0
ounce,12.0,5.059200000000001,0.4
oz,2003.0,506.0,1.0
minutes,1440.0,30.245840407470286,2.0
