State,Max,Mean,Min
text/css(g),59.0,27.85063694267516,0.0
text/x-coldfusion(g),28.0,28.0,28.0
application/xhtml+xml(m),30.0,18.0,6.0
application/xhtml+xml(year),4.0,3.0,2.0
text/x-csharp(m),301.0,301.0,301.0
text/x-csharp(g),25.0,25.0,25.0
text/html(g),58.0,25.607692307692307,0.0
image/svg+xml(g),57.0,32.298507462686565,0.0
application/rss+xml(weeks),3.0,3.0,3.0
application/rss+xml(m),2015.0,365.7433333333333,0.0
application/rss+xml(cm),60.0,60.0,60.0
text/x-cgi(s),3.42,3.42,3.42
text/x-cgi(m),301.0,301.0,301.0
text/x-php(g),2015.0,68.28571428571429,0.0
text/asp(g),13.0,8.0,3.0
application/javascript(g),2014.0,110.8542600896861,0.0
text/x-objcsrc(m),2.0,2.0,2.0
text/x-objcsrc(g),22.0,22.0,22.0
application/xml(m),94.4,28.572727272727274,4.0
application/xml(g),3.0,3.0,3.0
text/aspdotnet(g),38.0,38.0,38.0
text/x-jsp(g),58.0,25.16,0.0
application/rdf+xml(g),26.0,26.0,26.0
application/json(g)41.0,41.0,41.0
application/json(years),25.0,25.0,25.0
text/x-python(m),301.0,301.0,301.0
text/x-python(g),24.0,24.0,24.0
text/plain(g),2010.0,36.24028268551237,0.0
text/x-less(g),48.0,31.0,14.0
