count,date
1,2008
2,2014
3,2009
4,2011
5,2014
6,2009
7,2014
8,2009
9,2004
10,2014
11,2009
12,2008
13,2014
14,2015
15,2014
16,2014
17,2009
18,2009
19,2009
20,2015
21,2010
22,2014
23,2012
24,2008
25,2009
26,2009
27,2014
28,2014
29,2009
30,2010
31,2014
32,2014
33,2014
34,2014
35,2015
36,2013
37,2014
38,2009
39,2008
40,2009
41,2010
42,2014
43,2014
44,2014
45,2011
46,2009
47,2014
48,2011
49,2014
50,2009
51,2014
52,2014
53,2014
54,2014
55,2014
56,2014
57,2014
58,2008
59,2013
60,2014
61,2009
62,2009
63,2014
64,2014
65,2009
66,2009
67,2009
68,2009
69,2014
70,2014
71,2014
72,2010
73,2015
74,2014
75,2014
76,2014
77,2014
78,2014
79,2014
80,2014
81,2009
82,2014
83,2015
84,2015
85,2014
86,2014
87,2015
88,2014
89,2014
90,2011
91,2014
92,2014
93,2014
94,2009
95,2014
96,2009
97,2009
98,2009
99,2013
100,2014
101,2009
102,2014
103,2014
104,2014
105,2009
106,2013
107,2010
108,2014
109,2014
110,2014
111,2008
112,2008
113,2014
114,2014
115,2009
116,2009
117,2014
118,2014
119,2014
120,2008
121,2009
122,2009
123,2014
124,2014
125,2008
126,2014
127,2014
128,2015
129,2014
130,2011
131,2010
132,2014
133,2014
134,2014
135,2014
136,2014
137,2008
138,2012
139,2014
140,2009
141,2014
142,2014
143,2014
144,2008
145,2014
146,2014
147,2015
148,2014
149,2014
150,2009
151,2014
152,2014
153,2014
154,2014
155,2014
156,2014
157,2008
158,2014
159,2014
160,2011
161,2014
162,2014
163,2008
164,2014
165,2014
166,2014
167,2012
168,2014
169,2014
170,2008
171,2014
172,2009
173,2013
174,2009
175,2009
176,2014
177,2009
178,2014
179,2011
180,2014
181,2011
182,2009
183,2014
184,2014
185,2014
186,2009
187,2014
188,2014
189,2014
190,2009
191,2014
192,2014
193,2014
194,2010
195,2014
196,2009
197,2013
198,2011
199,2014
200,2014
201,2014
202,2014
203,2015
204,2014
205,2014
206,2014
207,2014
208,2009
209,2014
210,2014
211,2009
212,2009
213,2009
214,2014
215,2014
216,2014
217,2014
218,2014
219,2014
220,2008
221,2014
222,2014
223,2014
224,2014
225,2014
226,2014
227,2014
228,2014
229,2009
230,2014
231,2009
232,2010
233,2009
234,2015
235,2009
236,2014
237,2014
238,2012
239,2014
240,2008
241,2014
242,2014
243,2014
244,2009
245,2014
246,2013
247,2009
248,2014
249,2010
250,2014
251,2014
252,2012
253,2014
254,2012
255,2014
256,2009
257,2009
258,2009
259,2009
260,2010
261,2008
262,2014
263,2008
264,2009
265,2014
266,2014
267,2014
268,2015
269,2010
270,2014
271,2009
272,2014
273,2014
274,2009
275,2009
276,2014
277,2014
278,2010
279,2008
280,2014
281,2008
282,2014
283,2008
284,2009
285,2009
286,2009
287,2009
288,2010
289,2013
290,2014
291,2013
292,2014
293,2009
294,2009
295,2014
296,2011
297,2014
298,2014
299,2014
300,2014
301,2014
302,2014
303,2009
304,2010
305,2014
306,2015
307,2014
308,2011
309,2014
310,2014
311,2014
312,2014
313,2009
314,2014
315,2011
316,2014
317,2009
318,2014
319,2014
320,2009
321,2014
322,2009
323,2014
324,2014
325,2014
326,2014
327,2014
328,2011
329,2012
330,2014
331,2008
332,2007
333,2009
334,2014
335,2012
336,2014
337,2014
338,2014
339,2015
340,2014
341,2014
342,2014
343,2009
344,2012
345,2014
346,2014
347,2008
348,2009
349,2014
350,2009
351,2013
352,2014
353,2009
354,2009
355,2014
356,2014
357,2014
358,2014
359,2009
360,2014
361,2014
362,2008
363,2009
364,2014
365,2015
366,2014
367,2014
368,2014
369,2014
370,2014
371,2014
372,2010
373,2014
374,2014
375,2014
376,2009
377,2009
378,2009
379,2014
380,2015
381,2014
382,2014
383,2013
384,2014
385,2014
386,2012
387,2014
388,2014
389,2014
390,2009
391,2012
392,2014
393,2014
394,2009
395,2009
396,2014
397,2009
398,2014
399,2012
400,2014
401,2014
402,2009
403,2010
404,2009
405,2009
406,2014
407,2014
408,2014
409,2009
410,2013
411,2011
412,2014
413,2009
414,2014
415,2014
416,2014
