"letter"	"max"	"startValue"	"avg"
"tonne"	"90.0"	"3.1749999999999998"	"32.652365591397846"
"lbs"	"330.0"	"10.0"	"92.490060975609765"
"cm"	"30.0"	"4.7000000000000002"	"12.432215960734183"
"dollar"	"40.0"	"40.0"	"40.0"
"feet"	"300.0"	"14.0"	"90.729355116079162"
"meters"	"500.0"	"30.0"	"156.21781181619238"
"in"	"2006.0"	"7.0"	"1017.2247959183675"
"gallon"	"84.5"	"2.0"	"9.1428571428571423"
"miles"	"275.0"	"18.0"	"85.014877064220144"
"inch"	"36.0"	"1.0"	"7.4425196850393691"
"weeks"	"56.0"	"5.0"	"34.003540519276157"
"degree"	"2.5"	"1.0"	"1.2843661737830208"
"mg"	"625.0"	"16.0"	"164.33573493975894"
"hours"	"20.0"	"6.0"	"12.295043804755949"
"yard"	"400.0"	"19.0"	"112.5"
"c"	"500.0"	"1.0"	"201.29633247089262"
"kg"	"614.59999999999991"	"8.0"	"146.89528322440088"
"gallons"	"100.0"	"20.0"	"72.910447761194035"
"k"	"460.0"	"25.0"	"296.08297482837526"
"m"	"500.0"	"5.0"	"121.16218847546659"
"days"	"44.0"	"8.0"	"17.750823136818681"
"km"	"104.0"	"4.0"	"30.679455941618475"
"ounce"	"12.0"	"2.75"	"6.5443749999999996"
"gram"	"201.0"	"3.0499999999999998"	"59.687254901960792"
"minutes"	"32.0"	"10.0"	"21.301823483670297"
