language,count
Leaf,84
Lead,838
Helioseismology,3
Leak,6
Continental,186
Heat Exchanger,1
Canopy,7
Metadata,630
Ecosystem Health,10
Workflow,5
Biodiesel,2
Residual,52
Binning,1
Fetch,2
Efficiency,78
Consumptive Use,8
Floe,1
Noon,9
Retreat,61
Industry,366
Patch,17
Sunspot Number,2
Military,168
Reference Frame,7
Steam,20
Altimetry,32
Campaign,241
Sensitivity,11
Dose,9
Trend,257
Scalar,2
Coral Bleaching,2
Sunrise,19
Geyser,18
Average Monthly Precipitation,1
Eddy,16
Version,274
Continuous,38
Monthly Average,13
Twilight,1
Logging,3
Mountain Wave,2
Cover,1323
Time Frame,3
Parameterization,3
Budget,773
Protist,2
Hydration,3
Carbon Offset,1
Dosage,2
Snow Water Equivalent,16
Mist,10
Vorticity,4
Remote Sensing,460
Correction,91
Hail,54
Packaging,4
Inorganic,12
Continent,410
Local Climate,7
Group,2294
Jet,852
Quartile,3
Stratus,1
Spatial Reference System,3
Coastal Plain,20
Airspeed,1
Health,4180
Basic,211
Basin,1314
Shear,10
Circular,37
Star,1656
Data Model,39
Moment,19
Active Region,1
Food Chain,3
Standard Industrial Classification,1
Coordinate,125
Buoy,82
Reflectance,43
Supply,105
Crown,13
Header,98
Level3,1
Increment,2
Available Potential Energy,1
Primary Production,9
Altitude,123
Hurricane,386
Human Capital,38
Rainfall,80
Blowing,2
Format,454
Swell,1
Anatomy,26
Wind Gust,1
Atom,62
Hydrate,15
Magma,4
Civil Aviation,4
Ocean,7420
Vortex,17
Mamma,186
L3,22
L1,28
Sewage,4
Bioluminescence,1
Civil,277
Sphere,12
Trust,216
Regression,5
Tide Gauge,5
Biome,150
Haze,19
Variation,17
Predecessor,1
Local Time,2
Geologic Time,2
Afforestation,1
Molecule,4
Snow Cover,144
Observe,122
Birth,48
Path,654
Check Dam,1
Diffuse,1
Rhyolite,1
Leste,23
Analysis,4550
Simulation,82
Motion,64
Scale Factor,2
Aerial Photography,7
Organism,10
2 D,12
Mechanics,28
Shield,50
Habitat,438
Cobble,1
P D I,2
Laboratory Environment,2
Agriculture,1931
Head Wind,1
Transport,1302
Wildfire,47
Plot,75
Biofuel,24
Investigation,176
Southern Oscillation,13
Cyclone,70
Derivative,10
Air Traffic,24
Type,585
Discovery,421
Data Product,285
Intrusion,1
H C,293
Expansion,22
Transmission,86
Basement,3
Discharge,34
Extension,656
Work,4642
Metal,29
Planet,646
Circuit,39
Microzooplankton,4
Rainwater,1
Chorus,4
Metric,104
Marine Bird,8
Global Change,335
Human,3294
Ripple,1
Curl,3
