"letter"	"max"	"startValue"	"avg"
"tonne"	"419.75"	"30.0"	"147.91311475409836"
"lbs"	"281.25"	"1.0"	"46.907692307692301"
"cm"	"50.0"	"5.0"	"19.704242424242416"
"dollar"	"500.0"	"500.0"	"500.0"
"feet"	"200.0"	"16.899999999999999"	"69.906445012787742"
"meters"	"300.0"	"10.934999999999999"	"109.14265116279067"
"gallon"	"6.25"	"0.9375"	"2.8125"
"ounce"	"19.0"	"3.0"	"9.7888888888888879"
"inch"	"5.0"	"1.0"	"1.7918421052631579"
"weeks"	"6.0"	"3.0"	"4.7142857142857144"
"degree"	"2.5"	"1.0"	"1.4080882352941178"
"c"	"5.3424999999999994"	"0.79249999999999998"	"3.1669767441860461"
"hours"	"48.0"	"10.0"	"26.041052631578957"
"yard"	"50.0"	"50.0"	"50.0"
"mg"	"91.0"	"0.625"	"21.892452830188677"
"kg"	"347.0"	"24.0"	"126.7096551724138"
"gallons"	"700.0"	"376.25"	"550.0"
"k"	"600.0"	"360.0"	"471.40740740740739"
"m"	"200.0"	"6.0"	"59.428552097428962"
"days"	"60.0"	"10.0"	"29.090393700787406"
"km"	"130.0"	"10.0"	"50.163311938382535"
"miles"	"200.0"	"10.125"	"71.053097345132741"
"gram"	"241.0"	"2.6000000000000001"	"52.81254237288136"
"minutes"	"30.0"	"10.0"	"19.104210526315789"
