date,price
19990101,2
19991007,2
19991217,1
20000202,1
20000728,1
20000731,4
20000801,2
20000811,1
20010423,10
20010424,4
20010524,1
20010626,2
20010627,1
20010904,3
20010906,1
20020212,2
20021129,1
20030403,2
20030519,1
20030526,1
20030603,1
20030606,2
20040414,1
20050208,1
20050922,10
20051101,1
20060524,1
20060727,13
20060920,12
20060922,1
20080603,1
20080813,3
20081112,1
20090128,2
20090203,1
20090210,1
20090416,3
20090423,3
20090514,1
20090701,1
20090821,1
20091214,1
20100415,1
20100514,6
20100712,8
20110602,1
20120103,1
20120105,1
20120110,1
20120201,1
20120515,1
20120618,2
20120727,1
20120822,2
20130214,1
20130221,4
20130319,1
20130329,1
20131220,1
20140105,1
20140108,1
20140213,1
20140517,1
20140731,4
20140815,1
