name|score|coords
Rawang|0.000599112220007|3.3213, 101.5767,
Borough of North Wales|0.000333350087828|40.21117, -75.27444,
Desa Kapasan|0.000333350087828|-7.6861, 113.0578,
City of Middleburg Heights|0.000333350087828|41.36953, -81.81509,
Kingman Reef|0.000333350087828|6.4, -162.399,
Sournia|0.000333350087828|42.72733, 2.44223,
Paiton|0.000333350087828|-7.7148, 113.5146,
Zhongshan Qu|0.000599112220007|38.92012, 121.64001,
Kimitsu|0.000333350087828|35.35043, 139.87029,
City of Chamberlain|0.000333350087828|43.78574, -99.32645,
Gulf of St. Lawrence|0.000333350087828|49.00003, -58.99849,
Alpena County|0.000599112220007|45.0635, -83.46039,
City of Purdy|0.000333350087828|36.81877, -93.92057,
State of Israel|0.00301981070517|31.5, 34.75,
Earnest Corner|0.000599112220007|45.03284, -69.13476,
Autonomous Region in Muslim Mindanao|0.000599112220007|7.09544, 124.38721,
Provinsi Kepulauan Riau|0.000333350087828|0.61667, 106.98333,
Tarjun|0.000333350087828|-3.06784, 116.12274,
Clinton County|0.000333350087828|44.74623, -73.67817,
Cambridgeshire|0.000333350087828|52.33333, 0.08333,
West Perth|0.000599112220007|43.46679, -81.21644,
Van Buren County|0.000333350087828|40.75323, -91.94999,
The Eastern Iowa Airport|0.000333350087828|41.88445, -91.71073,
Shanks|0.000333350087828|45.30615, -72.05121,
Southeast Alaska Regional Health Consortium Thorne Bay Clinic|0.000599112220007|55.68648, -132.52165,
Anshan|0.000839363700678|41.12361, 122.99,
Saitama|0.000333350087828|34.77486, 138.23272,
Point Lobos Ecological Reserve|0.000333350087828|36.51885, -121.95746,
Tallinn|0.000333350087828|59.43696, 24.75353,
Challis|0.000599112220007|44.50464, -114.23173,
Surprise Valley No. 9|0.000333350087828|49.16676, -104.58435,
San Fernando del Valle de Catamarca|0.000333350087828|-28.46957, -65.78524,
Okayama|0.000333350087828|34.65, 133.93333,
Shanxi Sheng|0.000839363700678|37.66667, 112.25,
Mekoryuk Airport|0.000333350087828|60.37139, -166.27056,
Moorpark|0.000333350087828|34.28556, -118.88204,
Yolo County|0.000333350087828|38.68665, -121.90162,
Bar K Park|0.000151209318621|30.46742, -97.9964,
Congo River|0.000333350087828|-6.07746, 12.42563,
P.M. Ripalta|0.000839363700678|41.80766, 15.35078,
Kagawa-ken|0.000333350087828|34.24717, 133.99471,
Spokane County|0.000333350087828|47.62064, -117.40401,
Yasuda|0.000333350087828|40.8046, 140.71139,
Republic of Iceland|0.00388324041514|65.0, -18.0,
Dingxi|0.000333350087828|35.57088, 104.62303,
Little White Salmon River|0.000333350087828|45.72067, -121.64035,
Baltimore-Washington International Airport|0.000333350087828|39.17539, -76.66802,
Wuhu|0.000839363700678|31.33728, 118.37351,
Southern Downs|0.000599112220007|-28.50265, 151.92165,
Arizona|0.00674760004838|34.5003, -111.50098,
Kangar|0.000333350087828|6.4414, 100.19862,
Brooksville|0.000333350087828|28.55554, -82.38991,
Boise|0.000333350087828|43.6135, -116.20345,
Gunma|0.000333350087828|27.0343, 108.79,
Amazon|0.000599112220007|7.89421, 1.86057,
Federal Democratic Republic of Ethiopia|0.00106304852872|9.0, 39.5,
Hamilton|0.00106304852872|-37.78333, 175.28333,
Town of Martha|0.000333350087828|34.726, -99.38665,
Sheywah|0.000333350087828|34.57169, 70.58859,
State of New South Wales|0.000839363700678|-33.0, 146.0,
Bailey County|0.000333350087828|34.06852, -102.82987,
Camagüey|0.000333350087828|21.38083, -77.91694,
Jinzhou|0.000839363700678|41.10778, 121.14167,
Colorado Springs|0.000599112220007|38.83388, -104.82136,
Burbank|0.000333350087828|34.18084, -118.30897,
Stuttgart|0.000333350087828|48.78232, 9.17702,
Kitakyushu|0.000333350087828|33.85181, 130.85034,
Togae-myŏn|0.000333350087828|36.30419, 128.35402,
Kobe|0.000333350087828|34.6913, 135.183,
Ohio|0.00331871380662|40.25034, -83.00018,
Socialist Republic of Vietnam|0.00526016635859|16.16667, 107.83333,
City of Greensboro|0.000599112220007|36.09596, -79.8273,
Obninsk|0.000333350087828|55.09681, 36.61006,
Logan Glacier|0.000151209318621|60.78259, -140.50414,
Jambi City|0.000333350087828|-1.6, 103.61667,
Las Vegas|0.0012744145064|36.17497, -115.13722,
Lido S.M. Elisabetta (linea N,1,6,14,61,62,82)|0.000599112220007|45.41775, 12.3684,
Southern Ocean County Hospital Heliport|0.000333350087828|39.72095, -74.28348,
Republic of Uzbekistan|0.00221088923455|41.66667, 63.83333,
Tuntutuliak|0.000333350087828|60.34306, -162.66306,
Douăzeci şi Trei August|0.000333350087828|46.2, 28.01667,
Fangcheng Chengguanzhen|0.000333350087828|33.25322, 113.0012,
San Miguel de Allende|0.000333350087828|20.91528, -100.74389,
Subiaco|0.000333350087828|41.92619, 13.08906,
Pasadena|0.00135610584248|29.69106, -95.2091,
Wales|0.0012744145064|52.5, -3.5,
Okcheon-gun|0.000333350087828|36.33571, 127.64438,
Perth Basin|0.000599112220007|-32.0, 115.0,
Chukchi Sea|0.000839363700678|68.2025, -167.55222,
Takata|0.000333350087828|33.56979, 130.23477,
Tinkatupa Maka Safroko|0.000839363700678|8.83685, -12.58498,
Zhanjiang|0.000333350087828|21.28145, 110.34271,
Baoxin|0.000333350087828|32.56, 114.989,
City of Newark|0.000333350087828|40.72417, -74.17243,
City of Pioneer Village|0.000333350087828|38.06432, -85.67342,
Brighton|0.000333350087828|39.98526, -104.82053,
Lake Charles|0.000333350087828|30.21309, -93.2044,
West Lafayette|0.000333350087828|40.42587, -86.90807,
Leask No. 464|0.000333350087828|53.0001, -106.83445,
Crown Pacifi Huatulco|0.000333350087828|15.85, -96.3166,
Muang Sanakham|0.000333350087828|17.9, 101.66667,
New Haven County|0.000333350087828|41.34882, -72.89986,
Democratic Socialist Republic of Sri Lanka|0.00106304852872|7.75, 80.75,
Liuzhou|0.000839363700678|24.31258, 109.38916,
United Republic of Tanzania|0.00166934878493|-6.0, 35.0,
Kinh K.H. Một|0.000333350087828|10.1166, 105.33935,
Port Moresby|0.000333350087828|-9.44314, 147.17972,
Gondwana Game Reserve|0.000333350087828|-34.1792, 22.11674,
Philadelphia County|0.00166934878493|40.00764, -75.13396,
Oruro|0.000333350087828|-17.98333, -67.15,
Republic of Austria|0.00416422358381|47.33333, 13.33333,
Sanjiang Dongzu Zizhixian|0.000333350087828|25.78333, 109.6,
Tiwi Islands|0.000333350087828|-11.55324, 130.78178,
Bayi|0.000333350087828|22.7895, 102.668,
Himeji|0.000333350087828|34.81667, 134.7,
Karamay|0.000333350087828|45.58473, 84.88724,
San Demetrio Corone|0.000333350087828|39.5699, 16.36149,
Bay City|0.000333350087828|43.59447, -83.88886,
Natuna Sea|0.000333350087828|5.22225, 108.2373,
Oasis Ranger Station-U.S. Government Airport|0.0166440015053|25.85745, -81.03355,
Wapsipinicon State Park|0.000333350087828|42.09528, -91.28322,
Cape Lookout|0.000333350087828|34.60544, -76.53631,
Nenana|0.000333350087828|64.56391, -149.09421,
Phoenix|0.00254639933493|33.44838, -112.07404,
Buckingham County|0.000333350087828|37.57224, -78.52871,
Saint Christopher Columbite Plate|0.000333350087828|36.52391, -106.03752,
Arequipa|0.000333350087828|-16.0, -72.25,
Irving|0.000333350087828|32.81402, -96.94889,
Irvine|0.00147596353441|33.66946, -117.82311,
Everson|0.000333350087828|48.92012, -122.34266,
HVDC Three Gorges-Changzhou - Yangtze River Crossing, Tower West|0.000333350087828|31.51033, 118.35311,
Yinchuan|0.000333350087828|38.46806, 106.27306,
Republic of Indonesia|0.00592806618896|-5.0, 120.0,
Cape Henlopen State Park|0.000333350087828|38.76678, -75.09546,
Sioux Falls|0.00106304852872|43.54997, -96.70033,
Jyväskylä|0.00106304852872|62.24147, 25.72088,
Santa Ana River County Beach|0.000333350087828|33.62558, -117.95034,
St. Lawrence County|0.000599112220007|44.50062, -75.11631,
Branscomb|0.000333350087828|39.65349, -123.62557,
Duluth|0.000333350087828|46.78327, -92.10658,
D.B. Railway|0.000333350087828|25.5239, 69.0183,
Huyện Bảo Lâm|0.000333350087828|11.71163, 107.75338,
Holmes County|0.000333350087828|40.5612, -81.92936,
Jinan|0.000333350087828|36.66833, 116.99722,
Serbia|0.00185574523484|44.81892, 20.45998,
City of Lime Springs|0.000333350087828|43.44985, -92.28408,
Sonesta E.S Suites Houston|0.000333350087828|29.73556, -95.46661,
Bergen County|0.000333350087828|40.95977, -74.07441,
Manitoba|0.000839363700678|55.00019, -97.00049,
Olding Park|0.000333350087828|-32.04528, 115.8025,
Tibet Autonomous Region|0.000839363700678|31.66667, 88.0,
Monterrey|0.000333350087828|25.67507, -100.31847,
J.A. Thomas Staff Quarters|0.00106304852872|5.95932, 5.73892,
Perosa Argentina|0.00494226014904|44.95744, 7.19091,
Royal Kensington and Chelsea|0.000333350087828|51.50299, -0.19314,
Days Inn New Orleans , French Quarter , Superdome Area|0.000333350087828|29.9585, -90.0771,
City of Bethlehem|0.000839363700678|40.62664, -75.3679,
Shaktoolik Airport|0.000333350087828|64.36623, -161.21579,
Venetie|0.000333350087828|67.01389, -146.41861,
J.S. Benson Porphyry Quarry|0.000599112220007|37.36311, -90.56873,
Neale Flat|0.000333350087828|-34.25, 139.16667,
Haicheng|0.000839363700678|40.85158, 122.74754,
