type,Min,Mean,SD,Max
TEMPERATURE,-120.0,47.38179782608696,43.32110076729482,150.0
Money,1.0,58.206542056074774,82.2353028049578,250.0
PRESSURE,-1979.0,314.12724867724756,700.9806301266945,2100.0
PartsPerThousand,NaN,NaN,NaN,NaN
KILOMETER,0.0,495.5642058165546,801.4280422889043,2280.0
NANOMETER,NaN,NaN,NaN,NaN
FEET,0.0,585.6027397260262,1552.3859808032696,5000.0
METERS,0.0,201.16847389558257,369.9617570757453,1600.0
KILOGRAM,45.0,166.62365591397833,125.11278492179116,400.0
INCH,0.5,20.421768707482993,29.62174210051506,76.0
MILES,0.0,658.3582089552236,845.8316268884586,1864.0
