type,Min,Mean,SD,Max
Money,1.0,52.979389312977105,79.8016314346029,250.0
PRESSURE,-1979.0,319.5410557184748,701.9779475864649,2100.0
PartsPerThousand,NaN,NaN,NaN,NaN
KILOMETER,1.0,479.7988764044942,802.7297340870279,2280.0
NANOMETER,NaN,NaN,NaN,NaN
FEET,0.0,737.234375,1732.0373442736914,5000.0
METERS,0.0,200.8067632850241,372.7938873209715,1600.0
KILOGRAM,45.0,183.35616438356172,138.0178500797607,400.0
INCH,1.0,24.043478260869566,31.31454970166269,76.0
MILES,0.0,555.1875,802.7118289044693,1864.0
