type,Min,Mean,SD,Max
Money,1.0,54.80833333333333,81.43020706831346,250.0
PRESSURE,0.0,358.6925,684.8198531989582,2100.0
PartsPerThousand,NaN,NaN,NaN,NaN
KILOMETER,1.0,533.2260869565217,811.2087051458138,2280.0
NANOMETER,532.0,798.0,280.3886192015963,1064.0
FEET,0.0,695.4000000000002,1717.531982335358,5000.0
METERS,0.0,137.8776595744681,360.14124384336225,1600.0
KILOGRAM,45.0,181.22727272727272,128.61271943992008,400.0
INCH,1.0,24.446428571428573,33.92953367634906,76.0
MILES,0.0,596.5833333333333,831.5457537500326,1864.0
