type,Min,Mean,SD,Max
Money,1.0,60.76428571428571,90.12647000320214,250.0
PRESSURE,-1979.0,258.11400000000003,720.3356859216716,2100.0
PartsPerThousand,NaN,NaN,NaN,NaN
KILOMETER,1.0,504.1212121212122,819.1832062936134,2280.0
NANOMETER,532.0,798.0,291.3884005927484,1064.0
FEET,0.0,310.52631578947364,1137.6639011794227,5000.0
METERS,0.0,130.54677419354837,301.583536380309,1600.0
KILOGRAM,45.0,136.41666666666666,106.95577534096923,400.0
INCH,0.5,11.5,20.00416623272929,76.0
MILES,0.0,764.5384615384617,905.1871459708037,1864.0
