date,value
1,7
2,7
3,30
4,30
5,180
6,30
7,3
8,7
9,3
10,7
11,3
12,7
13,15
14,8
15,31
16,10
17,14
18,14
19,10
20,7
21,90
22,8
23,14
24,10
25,7
26,14
27,10
28,7
29,3
30,8
31,4
32,16
33,96
34,7
35,365
36,1
37,14
38,15
39,40
40,40
41,488
42,1
43,8
44,10
45,1
46,1
47,5
48,3
49,7
50,1
51,1
52,2
53,10
54,14
55,10
56,10
57,7
58,5
59,60
60,1
61,31
62,3
63,1
64,1
65,45
66,2
67,1
68,3
69,7
70,90
71,16
72,10
73,1
74,30
75,190924
76,190544
77,5
78,40
79,40
80,40
81,1
82,7
83,7
84,5
85,2
86,32767
87,90
88,00
89,30
90,10
91,14
92,90
93,7
94,10
95,1
96,30
97,5
98,30
99,30
100,1
101,40
