date,value
1,4
2,4
3,4
4,30
5,90
6,365
7,16
8,30
9,60
10,90
11,14
12,60
13,7
14,30
15,1000
16,3
17,20
18,7
19,30
20,2
21,40
22,90
23,30
24,15
25,14
26,21
27,12
28,17
29,25
30,30
31,7
32,13
33,30
34,5
35,3
36,364
37,3
38,364
39,5
40,16
41,3
42,2
43,60
44,364
45,7
46,4
47,85
48,20
49,10
50,16
51,30
52,7
53,20
54,24
55,26
56,3
57,182
58,31
59,0
60,2
61,7
62,4
63,16
64,116
65,13
66,11
67,90
68,40
69,165
70,22
71,17
72,30
73,3
74,30
75,29
76,102
77,638
78,491
79,729
80,196
81,207
82,365
83,8
84,16
85,5
86,10
87,15
88,365
89,2
90,14
91,365
92,2
93,14
94,11
95,17
96,18
97,5
98,7
99,4
100,30
101,365
102,90
103,30
104,365
105,90
106,2
107,7
108,20
109,53
110,15
111,150
112,200
113,10
114,17
115,125
116,60
117,15
118,30
119,15
120,30
121,7
122,180
123,60
124,30
125,364
126,8
127,10
128,8
129,364
130,69
131,7
132,6
133,364
134,90
135,3
136,2
137,12
138,111
139,11
140,4
141,36
142,24
143,182
144,31
145,0
146,182
147,31
148,0
149,105
150,30
151,16
152,16
153,3
154,4
155,2
156,60
157,7
158,14
159,500
160,800
161,66
162,180
163,30
164,7
165,3
166,2
167,16
168,3
169,165
170,16
171,40
172,14
173,3
174,8
175,5
176,5
177,7
178,6
179,7
180,90
181,90
182,315
183,5
184,9
185,7
186,2
187,19
188,56
189,7
190,5
191,3
192,4
193,90
194,10
195,2
196,5
197,3
198,56
199,2
200,14
201,7
202,10
203,2
204,14
205,2
206,14
207,365
208,30
209,24
210,26
211,100
212,7
213,4
214,294
215,24
216,35
217,46
218,44
219,215
220,24
221,224
222,5
223,10
224,5
225,15
226,84
227,90
228,14
229,60
230,7
231,30
232,30
233,13
234,14
235,30
236,3
237,11
238,10
239,2
240,120
241,4
242,10
243,90
244,30
245,10
246,16
247,15
248,15
249,63
250,4
251,7
252,100
253,22
254,20
255,350
256,160
257,200
258,276
259,180
260,2
261,364
262,14
263,16
264,364
265,364
266,30
267,3
268,30
269,2
270,21
271,3
272,7
273,3
274,119
275,3
276,182
277,31
278,0
279,11
280,11
281,15
282,16
283,8
284,30
285,11
286,14
287,30
288,14
289,165
290,7
291,5
292,3
293,4
294,6
295,2
296,90
297,31
298,3
299,2
300,48
301,91
302,5
303,4
304,2
305,14
306,2
307,14
308,2
309,14
310,2
311,14
312,7
313,24
314,26
315,2
316,4
317,365
318,7
319,3
320,2
321,7
322,7
323,4
324,32
325,5
326,223
327,2
328,90
329,14
330,60
331,7
332,30
333,30
334,45
335,11
336,120
337,31
338,30
339,18
340,16
341,10
342,15
343,15
344,30
345,30
346,138
347,300
348,16
349,16
350,16
351,30
352,3
353,406
354,4
355,2
356,364
357,4
358,15
359,56
360,364
361,7
362,202
363,873
364,36
365,20
366,2
367,7
368,15
369,30
370,726
371,738
372,465
373,1692
374,861
375,736
376,571
377,644
378,435
379,60
380,3
381,90
382,10
383,11
384,3
385,3
386,88
387,17
388,172
389,8
390,60
391,11
392,30
393,30
394,14
395,22
396,3
397,40
398,100
399,100
400,90
401,7
402,365
403,30
404,90
405,90
406,20
407,10
408,5
409,3
410,13
411,2
412,14
413,2
414,14
415,2
416,3
417,30
418,2
419,14
420,5
421,7
422,7
423,32
