date,value
1,5
2,09
3,71
4,0
5,5
6,1
7,25
8,360
9,1
10,1
11,6
12,10
13,1
14,1
15,5
16,1
17,5
18,16
19,5
20,1
21,5
22,45
23,45
24,40
25,8
26,1
27,1
28,05
29,20
30,5
31,1
32,4
33,16
34,1
35,45
36,180
37,12
38,5
39,180
40,0
41,5
42,1
43,0
44,5
45,1
46,5
47,25
48,1
49,10
50,1
51,05
52,1
53,125
54,5
55,1
56,5
57,2
58,8
59,1
60,05
61,1
62,05
63,5
64,5
65,45
66,25
67,1
68,5
69,1
70,6
71,5
72,53
73,1
74,45
75,10
76,1
77,1
78,5
79,0
80,1
81,25
82,2
83,180
84,2
85,1
86,0
87,1
88,94
89,3
90,45
91,8
92,8
93,1
94,1
95,1
96,45
97,1
98,1
99,45
100,1
101,1
102,1
103,4
104,2
105,3
106,1
107,5
108,09
109,40
110,45
111,1
112,5
113,08333
114,5
115,2
116,0003
117,1
118,90
119,25
120,5625
121,5
122,0
123,0
124,09
125,01
126,5
127,10
128,1
129,25
130,1
131,45
132,45
133,101
134,1
135,8
136,1
137,1
138,1
139,15
140,1
141,360
142,1
143,1
144,3
145,5
146,16
147,45
