date,value
1,16
2,220
3,18
4,9
5,320
6,9
7,64
8,0
9,5
10,3
11,5
12,5
13,130
14,50
15,200
16,20
17,78
18,166
19,1
20,78
21,78
22,166
23,4
24,90
25,15
26,8
27,30
28,12
29,36
30,9
31,45
32,5
33,10
34,45
35,90
36,10
37,000
38,45
39,2
40,3
41,3
42,4
43,2000
44,30
45,30
46,5
47,10
48,60
49,20
50,1
51,30
52,90
53,30
54,60
55,57
56,56
57,90
58,30
59,30
60,110
61,26
62,30
63,30
64,05
65,10
66,90
67,30
68,30
69,30
70,05
71,86
72,30
73,30
74,30
75,354
76,235
77,124
78,255
79,204
80,254
81,304
82,195
83,64
84,114
85,355
86,45
87,65
88,105
89,154
90,264
91,194
92,234
93,54
94,224
95,285
96,335
97,184
98,55
99,34
100,15
101,185
102,175
103,205
104,25
105,315
106,214
107,344
108,14
109,94
110,245
111,155
112,284
113,144
114,294
115,145
116,324
117,5
118,74
119,35
120,295
121,115
122,325
123,265
124,334
125,314
126,165
127,104
128,225
129,135
130,305
131,84
132,85
133,134
134,95
135,275
136,164
137,4
138,174
139,24
140,274
141,44
142,345
143,215
144,125
145,75
146,244
147,30
148,30
149,30
150,30
151,30
152,30
153,30
154,30
155,30
156,30
157,18
158,180
159,0
160,2
161,8
162,5
163,6
164,13
165,46
166,60
167,30
168,4
169,90
170,10
171,100
172,180
173,67
174,15
175,432
176,385
177,35
178,420
179,270
180,500
181,39
182,100
183,300
184,350
185,212
186,180
187,180
188,0
189,78
190,166
191,8
192,5
193,52
194,48
195,50
196,92
197,50
198,360
199,30
200,6
201,11
202,56
203,5
204,33
205,17
206,12
207,15
208,60
209,4
210,70
211,6
212,80
213,16
214,0
215,3
216,2
217,67
218,9
219,40
220,8
221,22
222,44
223,7
224,28
225,20
226,00
227,10
228,1
229,45
230,30
231,5
232,90
233,30
234,30
235,60
236,0
237,25
238,13
239,30
240,30
241,30
242,30
243,30
244,30
245,30
246,60
247,30
248,30
249,30
250,30
251,30
252,05
253,10
254,30
255,19
256,35
257,55
258,80
259,000
260,354
261,235
262,124
263,255
264,204
265,254
266,304
267,195
268,64
269,114
270,355
271,45
272,65
273,105
274,154
275,264
276,194
277,234
278,54
279,224
280,285
281,335
282,184
283,55
284,34
285,15
286,185
287,175
288,205
289,25
290,315
291,214
292,344
293,14
294,94
295,245
296,155
297,284
298,144
299,294
300,145
301,324
302,5
303,74
304,35
305,295
306,115
307,325
308,265
309,334
310,314
311,165
312,104
313,225
314,135
315,305
316,84
317,85
318,134
319,95
320,275
321,164
322,4
323,174
324,24
325,274
326,44
327,345
328,215
329,125
330,75
331,244
332,90
333,45
334,3
335,55
336,230
337,60
338,70
339,30
340,30
341,30
342,30
343,30
344,30
345,30
346,30
347,30
348,30
349,10
350,5
351,15
352,6
353,10
354,22
355,18
356,4
357,5
358,108
359,0
360,81
361,268
362,450
363,5
364,0
365,5
366,90
367,4
368,2
369,18
370,10
371,60
372,703125
373,125
374,8
375,7
376,4
377,45
378,196
379,50
380,4
381,8
382,7
383,180
384,1
385,15
386,59
387,3
388,4
389,9
390,10
391,703125
392,125
393,56
394,58
395,60
396,56
397,5
398,008333333333333
399,60
400,8
401,45
402,273
403,0
404,28
405,60
406,70
407,10
408,100
409,32
410,30
411,5
412,35
413,459
414,140
415,15
416,360
417,80
418,3
419,40
420,98
421,135
422,212
423,90
424,500
425,000
426,75
427,180
428,56
429,57
430,144
431,171
432,45
433,55
434,180
435,30
436,40
437,56
438,57
439,144
440,171
441,45
442,55
443,180
444,20
445,3
446,30
447,30
448,05
449,50
450,56
451,5
452,34
453,17
454,90
455,37
456,53
457,60
458,4
459,6
460,80
461,0
462,3
463,2
464,9
465,40
466,8
467,22
468,33
469,7
470,20
471,67
472,51
473,10
474,1
475,90
476,30
477,30
478,30
479,86
480,37
481,105
482,60
483,30
484,56
485,58
486,83
487,3
488,47
489,30
490,30
491,30
492,30
493,90
494,30
495,30
496,30
497,30
498,30
499,60
500,90
501,86
502,2
503,2
504,45
505,83
506,3
507,66
508,70
509,25
510,90
511,30
512,30
513,30
514,30
515,30
516,30
517,30
518,30
519,90
520,15
521,87
522,51
523,65
524,30
525,3
526,240
527,1000
528,6
529,3
530,2
531,7
532,10
533,3
534,2
535,65
536,000
537,5
538,6
539,2
540,10
541,2
542,5
543,136
544,6000
545,273
546,15
547,25
548,32
549,0
550,127
551,100
552,18
553,212
554,10
555,30
556,65
557,2
558,56
559,129
560,25
561,760
562,400
563,40
564,5800
565,3
566,0
567,5
568,90
569,40
570,25
571,30
572,88
573,70
574,92
575,6
576,20
577,20
578,4
579,70
580,20
581,130
582,50
583,200
584,6
585,30
586,8
587,7
588,4
589,3
590,46
591,46
592,20
593,45
594,12
595,45
596,30
597,45
598,2
599,90
600,90
601,180
602,20
603,12
604,11
605,56
606,5
607,33
608,17
609,12
610,15
611,60
612,4
613,70
614,6
615,80
616,16
617,0
618,3
619,2
620,67
621,9
622,40
623,8
624,22
625,44
626,7
627,28
628,20
629,00
630,10
631,1
632,30
633,37
634,105
635,60
636,30
637,56
638,58
639,65
640,57
641,30
642,30
643,25
644,86
645,30
646,30
647,10
648,30
649,05
650,30
651,30
652,90
653,30
654,86
655,90
656,360
657,80
658,26
659,30
660,30
661,30
662,30
663,30
664,30
665,30
666,30
667,30
668,30
669,30
670,3
671,10
672,3
673,19
674,5
675,29
676,5
677,0
678,100
679,5
