date,value
1,3400
2,25000
3,1400
4,1000
5,16
6,16
7,16
8,2
9,20
10,1300
11,800
12,3
13,320
14,000
15,500
16,5
17,15
18,000
19,320
20,425
21,000
22,612
23,594
24,800
25,200
26,926
27,317
28,430
29,620
30,500
31,250
32,900
33,500
34,9
35,900
36,8
37,2500
38,8
39,8
40,000
41,000
42,000
43,112
44,65
45,2
46,5
47,3
48,60
49,25
50,300
51,9
52,1
53,22
54,8
55,8
56,943
57,8
58,48
59,000
60,8
61,156
62,5
63,8
64,8
65,197
66,8
67,8
68,8
69,8
70,8
71,8
72,000
73,750
74,160
75,8
76,8
77,8
78,8
79,8
80,8
81,8
82,8
83,8
84,8
85,800
86,4
87,45
88,13
89,8
90,30
91,20
92,5
93,100
94,3
95,655
96,738
97,780
98,000
99,6
100,16
101,760
102,100
103,000
104,23
105,200
106,700
107,000
108,300
109,100
110,10
111,2
112,600
113,3
114,5000
115,8874
116,38
117,8
118,8
119,132
120,173
121,000
122,50
123,40
124,300
125,80
126,30
127,000
128,500
129,8
130,8
131,8
132,8
133,10
134,000
135,307
136,12
137,9
138,15
139,60
140,630
141,8
142,5
143,8
144,8
145,310
146,260
147,8
148,8
149,295
150,98
151,000
152,8
153,8
154,8
155,8
156,8
157,000
158,8
159,8
160,8
161,8
162,8
163,8
164,8
165,8
166,8
167,8
168,18
169,500
170,100
171,13
172,788
173,000
174,40
175,400
176,20
177,150
178,798
179,2165
180,160
181,118
182,892
183,1315
184,3840
185,615
186,1270
187,1460
188,518
189,1280
190,2236
191,850
192,1200
193,1123
194,578
195,2220
196,132
197,137
198,161
199,450
200,1352
201,89
202,1003
203,29
204,342
205,525
206,105
207,608
208,1404
209,811
210,1062
211,1175
212,28
213,1950
214,108
215,2649
216,185
217,1020
218,571
219,2690
220,1675
221,2238
222,195
223,594
224,43
225,1421
226,789
227,294
228,288
229,2070
230,585
231,655
232,1330
233,175
234,1800
235,538
236,2680
237,3200
238,356
239,636
240,2100
241,1640
242,257
243,187
244,100
245,60
246,153
247,2850
248,711
249,213
250,800
251,317
252,1120
253,630
254,323
255,1466
256,830
257,2385
258,849
259,1400
260,380
261,2249
262,540
263,964
264,2050
265,109
266,898
267,17
268,4
269,580
270,725
271,1190
272,224
273,84
274,476
275,392
276,841
277,69
278,824
279,2380
280,765
281,1780
282,680
283,1026
284,1
285,1177
286,1912
287,203
288,260
289,1012
290,2658
291,13
292,298
293,8
294,158
295,758
296,640
297,46
298,1910
299,61
300,416
301,620
302,1396
303,862
304,130
305,1465
306,26
307,435
308,322
309,11
310,969
311,162
312,2160
313,428
314,635
315,65
316,825
317,19
318,622
319,670
320,1070
321,145
322,926
323,1076
324,644
325,75
326,3360
327,112
328,280
329,155
330,90
331,39
332,24
333,3464
334,2450
335,200
336,2875
337,592
338,1464
339,107
340,31
341,92
342,445
343,678
344,1320
345,2040
346,332
347,397
348,125
349,890
350,202
351,600
352,33
353,590
354,750
355,1152
356,468
357,30
358,589
359,124
360,1037
361,2192
362,910
363,1125
364,77
365,2500
366,617
367,215
368,21
369,219
370,242
371,6
372,169
373,5053
374,1425
375,2770
376,210
377,820
378,55
379,245
380,217
381,265
382,2151
383,80
384,728
385,10
386,2800
387,575
388,56
389,128
390,710
391,1220
392,623
393,545
394,486
395,760
396,167
397,565
398,2650
399,880
400,920
401,918
402,271
403,782
404,25
405,390
406,748
407,667
408,542
409,780
410,1775
411,177
412,660
413,220
414,960
415,1275
416,610
417,70
418,1850
419,875
420,262
421,144
422,123
423,420
424,930
425,840
426,2549
427,165
428,994
429,685
430,360
431,95
432,370
433,6240
434,315
435,45
436,639
437,552
438,495
439,759
440,236
441,1920
442,2810
443,751
444,300
445,451
446,12
447,9
448,337
449,270
450,147
451,624
452,225
453,1560
454,190
455,201
456,975
457,198
458,174
459,330
460,1659
461,1591
462,7
463,85
464,641
465,2200
466,1189
467,3080
468,38
469,900
470,808
471,1949
472,980
473,569
474,15
475,5300
476,797
477,962
478,501
479,3
480,775
481,314
482,68
483,1576
484,1143
485,480
486,950
487,126
488,1567
489,928
490,340
491,688
492,1470
493,1996
494,3770
495,595
496,2125
497,400
498,870
499,1915
500,371
501,500
502,41
503,3068
504,230
505,159
506,510
507,154
508,423
509,368
510,695
511,2357
512,310
513,308
514,730
515,350
516,1770
517,938
518,1375
519,741
520,1440
521,2360
522,14
523,121
524,2190
525,560
526,193
527,2103
528,679
529,50
530,512
531,168
532,418
533,700
534,2093
535,3355
536,96
537,2155
538,240
539,1310
540,995
541,1848
542,1594
543,229
544,550
545,180
546,20
547,290
548,23
549,1048
550,940
551,164
552,18
553,1145
554,140
555,103
556,233
557,1041
558,115
559,318
560,42
561,802
562,35
563,709
564,785
565,2225
566,5
567,1170
568,146
569,646
570,1390
571,98
572,810
573,805
574,520
575,250
576,49
577,354
578,1045
579,40
580,189
581,720
582,1493
583,32
584,740
585,1650
586,311
587,631
588,113
589,410
590,16
591,490
592,53
593,659
594,2110
595,675
596,530
597,285
598,176
599,1040
600,461
601,448
602,1230
603,2000
604,1022
605,1010
606,1733
607,110
608,917
609,1100
610,343
611,152
612,1160
613,120
614,689
615,63
616,818
617,22
618,440
619,943
620,258
621,208
622,0
623,2520
624,690
625,726
626,150
627,1162
628,320
629,2117
630,430
631,3
632,131
633,000
634,8
635,548
636,12
637,000
638,000
639,600
640,500
641,1
642,700
643,20
644,2
645,19
646,1
647,000
648,300
649,600
650,000
651,109
652,38
653,8
654,8
655,000
656,75
657,500
658,25
659,1
660,000
661,000
662,20
663,420
664,000
665,5
666,8
667,4
668,8
669,000
670,000
671,8
672,8
673,8
674,8
675,8
676,8
677,8
678,8
679,8
680,8
681,8
682,295
683,98
684,8
685,100
686,9
687,350
688,400
689,40
690,15
691,500
692,9
693,300
694,850
695,260
696,310
697,8
698,8
699,8
700,8
701,8
702,8
703,8
704,8
705,5
706,000
707,000
708,000
709,2
710,3
711,5
712,5
713,3
714,2
715,000
716,1000
717,000
718,5
719,100
720,8
721,16
722,200
723,000
724,500
725,000
726,900
727,150
728,1300
729,800
730,3
731,320
732,000
733,1
734,8
735,38
736,8
737,230
738,000
739,100
740,8
741,800
742,300
743,60
744,25
745,300
746,8
747,130
748,500
749,8
750,8
751,8
752,8
753,8
754,8
755,8
756,60
757,200
758,75
759,1
760,4
761,000
762,3
763,1800
764,1600
765,200
766,13
767,6900
768,2300
769,000
770,8
771,8
772,8
773,8
774,8
775,8
776,8
777,8
778,3
779,8
780,8
781,000
782,775
783,83
784,770
785,5
786,320
787,775
788,83
789,770
790,5
791,320
792,310
793,260
794,8
795,250
796,310
797,235
798,9
799,5
800,5
801,3
802,2
803,000
