date,value
1,9373
2,5676
3,3
4,5
5,750
6,750
7,4300
8,46
9,31
10,20
11,25
12,15
13,13
14,9
15,10
16,8
17,11
18,27
19,1
20,16
21,24
22,29
23,5
24,14
25,13
26,19
27,8
28,11
29,3
30,2
31,21
32,500
33,750
34,90
35,40
36,30
37,180
38,000
39,27
40,1
41,16
42,24
43,29
44,5
45,14
46,13
47,19
48,8
49,11
50,3
51,2
52,21
53,700
54,1
55,100
56,5
57,10
58,9
59,4
60,8
61,7
62,6
63,3
64,2
65,320
66,070
67,500
68,50
69,4000
70,80
71,9600
72,9600
73,2
74,4
75,217
76,750
77,000
78,800
79,500
80,400
81,820
82,75
83,30
84,6
