date,value
1,1
2,24
3,24
4,1
5,1
6,2
7,24
8,12
9,48
10,18
11,24
12,30
13,36
14,24
15,12
16,12
17,12
18,12
19,12
20,12
21,12
22,12
23,12
24,12
25,12
26,1
27,1
28,24
29,12
30,72
31,24
32,1
33,1
34,8
35,24
36,1
37,1
38,12
39,12
40,12
41,12
42,12
43,12
44,12
45,24
46,1
47,40
48,1
49,24
50,24
51,24
52,1
53,1
54,24
55,24
56,48
57,72
58,36
59,48
60,24
61,12
62,12
63,12
64,12
65,12
66,12
67,12
68,12
69,2
70,12
71,24
72,1
73,24
74,1
75,24
76,24
77,1
78,1
79,24
80,24
81,24
82,36
83,48
84,1
85,1
86,12
87,12
88,12
89,12
90,12
91,12
92,12
93,12
94,1
95,24
