date,value
1,35
2,35
3,20
4,9
5,10
6,50
7,25
8,200
9,70
10,100
11,370
12,1
13,250
14,100
15,6
16,2300
17,705
18,1
19,1
20,10
21,40
22,50
23,100
24,24
25,180
26,35
27,160
28,90
29,705
30,7
31,2
32,201
33,5
34,25
35,1
36,25
37,40
38,40
39,1
40,50
41,200
42,18
43,9
44,40
45,6000
46,50
47,14
48,100
49,165
50,000
51,645
52,83
53,10
54,500
55,200
56,200
57,200
58,200
59,5
60,1
61,200
62,200
63,200
64,234
65,171
66,600
67,200
68,10
69,100
70,14
71,330
72,1
73,60
74,250
75,350
76,4
77,20
78,10
79,50
80,2
81,13
82,4
83,25
84,1
85,000
86,116
87,70
88,50
89,982
90,5
91,5
92,2
93,10
94,1
95,800
96,1
97,50
98,25
99,40
100,35
101,30
102,20
103,610
104,37
105,33
106,70
107,300
108,1000
109,1250
110,18
111,600
112,350
113,24
114,48
115,13
116,740
117,1000
118,50
119,2
120,1
121,350
122,403
123,10
124,40
125,000
126,000
127,8
128,2400
129,4
130,1
131,118
132,39
133,12
134,0
135,62
136,89
137,8
138,000
139,800
140,000
141,40
142,1
143,1
144,50
145,790
146,1200
147,40
148,40
149,1000
150,2000
151,600
152,15
153,230
154,821
155,50
156,000
157,200
158,350
159,200
160,60
161,3
162,60
163,330
164,60
165,4
166,20
167,10
168,50
169,2
170,50
171,100
172,4
173,121
174,93
175,400
176,12
177,3
178,450
179,470
180,5
181,700
182,580
183,821
184,144
185,16
186,798
187,785
188,7
189,783
190,8
191,40
192,50
193,4
194,830
195,955
196,1400
197,60
198,40
199,1000
200,16
201,4
202,1
203,245
204,885
205,705
206,200
207,100
208,30
209,200
210,8
211,335
212,402
213,350
214,705
215,100
216,25
217,10
218,24
219,24
220,3
221,5
222,25
223,1
224,28
225,9
226,228
227,8
228,000
229,40
230,24
231,000
232,300
233,1000
234,8
235,1000
236,80
237,500
238,790
239,4
240,40
241,1
242,8
243,44
244,15
245,50
246,1000
247,185
248,25
249,000
250,265
251,200
252,195
253,0
254,5
255,50
256,1000
257,7625
258,14
259,200
260,233
261,225
262,50
263,259
264,60
265,200
266,60
267,60
268,1200
269,2343
270,45
271,50
272,2
273,1
274,150
275,25
276,60
277,10
278,20
279,160
280,100
281,1
282,1
283,90
284,1000
285,10
286,1
287,12
288,25
289,500
290,50
291,3
292,500
293,800
294,75
295,8
296,5
297,74
298,900
299,220
300,1300
301,3
302,5
303,300
304,4
305,1
306,6
307,645
308,1000
309,50
310,402
311,405
312,10
313,4
314,1
315,2
316,1
317,335
318,402
319,350
320,645
321,24
322,5
323,25
324,4
325,9
326,100
327,25
328,25
329,1
330,200
331,100
332,000
333,385
334,200
335,1000
336,2000
337,686
338,587
339,400
340,500
341,495
342,179
343,786
344,80
345,705
346,673
347,360
348,281
349,950
350,758
351,10
352,3
353,90
354,201
355,7
356,3
357,10
358,5
359,10
360,1
361,84
362,10
363,8
364,200
365,100
366,40
367,22
368,56
369,3
370,5
371,50
372,38
373,64
374,21
375,12
376,25
377,4
378,20
379,40
380,1
381,201
382,40
383,40
384,7
385,2
386,201
387,7
388,500
389,40
390,3000
391,1000
392,5
393,1
394,1000
395,130
396,2978
397,1400
398,500
399,200
400,2
401,400
402,3
403,36
404,9
405,10
406,40
407,1
408,233
409,225
410,360
411,257
412,224
413,40
414,60
415,20
416,10
417,600
418,60
419,5
420,3
421,10
422,1
423,1
424,1
425,1200
426,3
427,18
428,10
429,100
430,2
431,600
432,1000
