date,value
1,70
2,72
3,75
4,30
5,1
6,25
7,10
8,50
9,1
10,000
11,315
12,105
13,000
14,50
15,20
16,1
17,5
18,1
19,5
20,1
21,5
22,1
23,1
24,279
25,5
26,1
27,00
28,1
29,5
30,10
31,5
32,50
33,98
34,99
35,50
36,55
37,375
38,000
39,000
40,350
41,2
42,1
43,000
44,00
45,000
46,195
47,14
48,20
49,5
50,1
51,01
52,10
53,1
54,10
55,1
56,10
57,000
58,1
59,5
60,5
61,5
62,00
63,100
64,150
65,14
66,18
67,7
68,5
69,10
70,5
71,1
72,10
73,5
74,42
75,58
76,88
77,10
78,18
79,54
80,19
81,91
82,000
83,713
84,000
85,000
86,000
87,6
88,2
89,2
90,6
91,000
92,00
93,00
94,2
95,2
96,20
97,10
98,5
99,5
100,5
101,5
102,5
103,1
104,35
105,71
106,17
107,2
108,00
109,10
110,000
111,200
112,100
113,00
114,3
115,1
116,5
117,5
118,1
119,1
120,5
121,10
122,5
123,1
124,5
125,5
126,1
127,1
128,10
129,1
130,5
131,1
132,5
133,48
134,88
135,18
136,42
137,10
138,53
139,110
140,120
141,2
142,100
143,25
144,75
145,40
146,13
147,5
148,115
149,20
150,10
151,42
152,500
153,45
154,35
155,60
156,000
157,2
158,6
159,2
160,40
161,1
162,5
163,1
164,5
165,1
166,1
167,5
168,5
169,5
170,5
171,1
172,20
173,5
174,1
175,35
176,40
177,71
178,5
179,97
180,03
181,75
182,00
183,20
184,1
185,5
186,1
187,5
188,10
189,1
190,10
191,5
192,1
193,20
194,10
195,12
196,1
197,1
198,85
199,30
