date,value
1,2
2,1
3,37
4,30
5,1
6,11
7,30
8,15
9,14
10,1
11,2
12,2014
13,10
14,5
15,30
16,30
17,2014
18,75
19,10
20,10
21,30
22,160
23,10
24,1
25,8
26,30
27,1
28,1
29,2013
30,000
31,12
32,10
33,5
34,40
35,1
36,35
37,8
38,35
39,8
40,5
41,2014
42,2010
43,2
44,30
45,111
46,48
47,2
48,36
49,100
50,30
51,100
52,25
53,10
54,3
55,6
56,40
57,25
58,30
59,000
60,30
61,3
62,1
63,9
64,5
65,2
66,1
67,120
68,5
69,20
70,30
71,8
72,135
73,2014
74,10
75,2014
76,10
77,2
78,1
79,50
80,000
81,5
82,10
83,10
84,30
85,10
86,5
87,15
88,30
89,60
90,11
91,100
92,700
93,30
94,600
95,30
96,160
97,117
98,5
99,25
100,16
101,30
102,50
103,30
104,10
105,10
106,1
107,12
108,5
109,2
110,1
111,17
112,11
113,28
114,35
115,8
116,1
117,10
118,2014
119,10
120,10
121,30
122,20
123,000
124,48
125,11
126,5
127,10
128,5
129,8
130,10
131,2012
132,15
133,25
134,30
135,1
136,15
137,3
