date,value
1,80
2,80
3,127
4,50
5,23
6,23
7,89
8,89
9,51
10,189
11,606
12,779
13,144
14,165
15,754
16,371
17,153
18,171
19,160
20,162
21,158
22,142
23,127
24,148
25,156
26,782
27,665
28,733
29,586
30,504
31,914
32,779
33,144
34,165
35,754
36,371
37,153
38,171
39,160
40,162
41,158
42,142
43,127
44,148
45,156
46,606
47,606
48,23
49,51
50,189
51,119
52,114
53,189
54,140
55,63
56,276
57,151
58,224
59,240
60,645
61,853
62,22
63,433
64,354
65,301
66,209
67,215
68,449
69,731
70,715
71,377
72,230
73,601
74,343
75,435
76,358
77,607
78,232
79,348
80,710
81,521
82,376
83,307
84,341
85,420
86,267
87,739
88,528
89,469
90,413
91,876
92,769
93,29
94,22
95,504
96,446
97,616
98,30
99,917
100,140
101,97
102,189
103,51
104,119
105,114
106,127
107,50
108,97
