date,value
1,985
2,14
3,75
4,180
5,1
6,15
7,300
8,6
9,25
10,6
11,0
12,3
13,5
14,8
15,6
16,319
17,335
18,325
19,80
20,110
21,900
22,300
23,45
24,330
25,55
26,25
27,5
28,75
29,180
30,2
31,3
32,5
33,1
34,22
35,24
36,6
37,60
38,118
39,30
40,22
41,7
42,25
43,3
44,85
45,88
46,80
47,1
48,15
49,300
50,6
51,7
52,6
53,2
54,0
55,3
56,5
57,8
58,1
59,2
60,2
61,3
62,5
63,7
64,25
65,3
66,1
67,64
68,5
69,2
70,3
71,5
72,1
73,22
74,24
75,132
76,25
77,54
78,5
79,3
80,1
81,0
82,2
83,4
84,2
85,0
86,8
87,2
88,3
89,5
90,6
