date,value
1,30
2,90
3,365
4,20
5,90
6,30
7,25
8,5
9,16
10,4
11,85
12,20
13,10
14,182
15,31
16,0
17,4
18,29
19,102
20,638
21,491
22,729
23,196
24,207
25,365
26,30
27,365
28,90
29,30
30,365
31,90
32,2
33,15
34,30
35,15
36,30
37,8
38,10
39,182
40,31
41,0
42,182
43,31
44,0
45,105
46,30
47,3
48,5
49,6
50,315
51,5
52,9
53,7
54,5
55,3
56,4
57,90
58,10
59,2
60,100
61,5
62,3
63,11
64,10
65,2
66,4
67,15
68,22
69,20
70,350
71,160
72,200
73,276
74,180
75,7
76,182
77,31
78,0
79,5
80,3
81,4
82,6
83,2
84,5
85,7
86,3
87,2
88,32
89,15
90,138
91,300
92,406
93,202
94,873
95,36
96,726
97,738
98,465
99,1692
100,861
101,736
102,571
103,644
104,10
