date,value
1,0
2,5
3,5
4,10
5,000
6,45
7,3
8,4
9,2000
10,0
11,4
12,35
13,8
14,5
15,52
16,48
17,50
18,92
19,6
20,11
21,56
22,5
23,33
24,17
25,12
26,15
27,60
28,4
29,70
30,6
31,80
32,16
33,0
34,3
35,2
36,67
37,9
38,40
39,8
40,22
41,44
42,7
43,28
44,20
45,00
46,10
47,1
48,3
49,10
50,0
51,81
52,0
53,5
54,60
55,56
56,30
57,05
58,50
59,56
60,5
61,34
62,17
63,90
64,37
65,53
66,60
67,4
68,6
69,80
70,0
71,3
72,2
73,9
74,40
75,8
76,22
77,33
78,7
79,20
80,67
81,51
82,10
83,1
84,45
85,83
86,3
87,66
88,70
89,25
90,0
91,5
92,25
93,92
94,6
95,12
96,180
97,11
98,56
99,5
100,33
101,17
102,12
103,15
104,60
105,4
106,70
107,6
108,80
109,16
110,0
111,3
112,2
113,67
114,9
115,40
116,8
117,22
118,44
119,7
120,28
121,20
122,00
123,10
124,1
